Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Audi,,,,,,Fair Price,
Audi,,,,,,Fair Price,
Audi,,,,,,No Rating,
Audi,Audi A3,Sedan 30TFSI,2020,100 100,Automatic,Great Price,R 279 800
Audi,Audi Q2,35TFSI Black Edition,2026,1 800,Automatic,Great Price,R 669 995
Audi,Audi Q8,45TDI Quattro Black Edition,2026,1 800,Automatic,No Rating,R 2 099 995
Audi,Audi SQ5,TFSI Quattro,2018,99 000,Automatic,Fair Price,R 549 950
Audi,Audi Q2,35TFSI Black Edition,2026,10 000,Automatic,Great Price,R 639 900
Audi,Audi Q3,Sportback 35TFSI Black Edition,2026,8 000,Automatic,Great Price,R 789 995
Audi,Audi Q8,55TFSI Quattro,2019,99 000,Automatic,Fair Price,R 819 950
Audi,Audi S4,TFSI Quattro,2023,18 118,Automatic,No Rating,R 819 900
Audi,Audi SQ7,TFSI Quattro Black Edition,2025,15 500,Automatic,No Rating,R 2 099 995
Audi,Audi Q5,Sportback 40TDI Quattro Black Edition,2024,19 000,Automatic,Fair Price,R 949 000
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,Audi Q3,1.4TFSI Auto,2018,146 400,Automatic,Fair Price,R 269 900
Audi,Audi Q3,1.4TFSI Auto,2016,167 000,Automatic,Fair Price,R 219 900
Audi,Audi Q5,40TDI Quattro,2021,66 000,Automatic,Fair Price,R 559 000
Audi,Audi TT,Coupe 2.0TFSI,2019,56 594,Automatic,No Rating,R 469 900
Audi,Audi A3,Sportback 35TFSI Black Edition,2025,8 000,Automatic,Great Price,R 659 900
Audi,ined,,unde,,,,
Audi,Audi Q3,Sportback 35TDI Black Edition,2026,4 000,Automatic,No Rating,R 829 995
Audi,Audi A1,Sportback 30TFSI Advanced,2025,13 559,Automatic,Great Price,R 459 995
Audi,Audi Q7,45TDI Quattro S Line,2024,23 000,Automatic,Great Price,R 1 199 000
Audi,Audi A4,35TFSI,2019,133 650,Automatic,Great Price,R 249 995
Audi,Audi Q3,35TFSI,2022,62 456,Automatic,Great Price,R 449 900
Audi,Audi A3,3-Door 1.4TFSI S Auto,2013,214 000,Automatic,Great Price,R 109 900
Audi,Audi Q3,Sportback 35TDI Black Edition,2026,1 800,Automatic,No Rating,R 899 995
Audi,Audi A3,Sportback 35TFSI,2022,69 253,Automatic,Fair Price,R 439 995
Audi,Audi Q2,35TFSI Black Edition,2026,1 500,Automatic,Great Price,R 639 990
Audi,Audi A3,Sportback 35TFSI Advanced,2023,55 600,Automatic,Fair Price,R 489 900
Audi,,,,,,Fair Price,
Audi,,,,,,No Rating,
Audi,,,,,,Great Price,
Audi,Audi Q3,35TFSI Black Edition,2024,34 000,Automatic,Great Price,R 659 950
Audi,Audi A3,Sportback TFSI Black Edition,2026,1 800,Automatic,No Rating,R 709 995
Audi,Audi Q5,2.0TDI S Quattro,2019,82 500,Automatic,Great Price,R 339 995
Audi,Audi Q5,2.0TDI S Quattro,2020,118 130,Automatic,Great Price,R 349 990
Audi,Audi A3,Sportback 30TFSI,2020,111 000,Automatic,Fair Price,R 319 900
Audi,Audi A3,Sportback 35TFSI,2023,37 000,Automatic,Fair Price,R 529 995
Audi,Audi Q8,45TDI Quattro,2023,36 423,Automatic,Great Price,R 1 139 995
Audi,Audi Q2,Sportback 35TFSI Black Edition  110kW,2026,16,Automatic,Great Price,R 679 995
Audi,Audi A1,Sportback 30TFSI Advanced,2026,7 181,Automatic,Great Price,R 459 001
Audi,Audi A3,Sportback 35TFSI Advanced,2023,48 465,Automatic,Great Price,R 449 500
Audi,,,,,,Fair Price,
Audi,,,,,,Fair Price,
Audi,,,,,,Great Price,
Audi,Audi Q3,35TFSI Black Edition,2026,5 354,Automatic,No Rating,R 839 900
Audi,Audi A1,Sportback 35TFSI S Line,2023,53 000,Automatic,No Rating,R 429 950
Audi,Audi Q5,40TDI Quattro,2018,149 922,Automatic,Fair Price,R 329 950
Audi,Audi Q3,Sportback 35TDI Black Edition,2026,7 000,Automatic,No Rating,R 819 995
Audi,Audi RS3,Sportback Quattro,2023,17 000,Automatic,Great Price,R 1 059 995
Audi,Audi A3,Sedan 40TFSI S Line,2022,49 800,Automatic,No Rating,R 479 995
Audi,Audi A3,Sedan 30TFSI,2021,128 000,Automatic,Fair Price,R 269 500
Audi,Audi A3,Sportback 35TFSI Black Edition,2025,14 335,Automatic,Great Price,R 679 900
Audi,Audi RS3,Sportback Quattro,2016,86 546,Automatic,Fair Price,R 599 000
Audi,Audi S5,TFSI Coupe Quattro,2023,56 000,Automatic,No Rating,R 949 995
Audi,ined,,unde,,,,
Audi,Audi Q2,35TFSI Black Edition,2026,4 000,Automatic,Great Price,R 639 995
Audi,Audi Q5,40TDI Quattro Advanced,2021,95 840,Automatic,No Rating,R 539 995
Audi,Audi RSQ3,Sportback Quattro,2021,81 000,Automatic,No Rating,R 949 000
Audi,Audi A4,40TFSI S Line,2021,44 500,Automatic,No Rating,R 459 995
Audi,Audi A3,Sportback 30TFSI,2020,137 000,Automatic,Fair Price,R 299 950
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,,,,,,Fair Price,
Audi,Audi A1,Sportback 30TFSI Advanced,2025,2 021,Automatic,Great Price,R 469 995
Audi,Audi A3,Sedan 30TFSI,2021,102 000,Automatic,Great Price,R 299 950
Audi,Audi A3,Sedan 35TFSI Black Edition,2025,10 100,Automatic,Fair Price,R 719 900
Audi,Audi Q5,40TDI Quattro Black Edition,2026,7 000,Automatic,Fair Price,R 979 995
Audi,Audi Q2,35TFSI Black Edition,2026,1 500,Automatic,Fair Price,R 724 691
Audi,Audi Q8,55TFSI Quattro,2019,91 352,Automatic,Great Price,R 799 900
Audi,ined,,unde,,,,
Audi,Audi Q2,30TFSI,2019,132 368,Automatic,Great Price,R 249 995
Audi,Audi Q3,Sportback 35TFSI,2024,50 578,Automatic,Fair Price,R 639 950
Audi,Audi A1,Sportback 35TFSI,2022,58 500,Automatic,No Rating,R 409 900
Audi,Audi RS3,Sportback Quattro,2025,8 540,Automatic,Great Price,R 1 249 990
Audi,,,,,,Great Price,
Audi,,,,,,No Rating,
Audi,,,,,,Fair Price,
Audi,Audi Q5,Sportback 40TDI Quattro Black Edition,2025,9 000,Automatic,Great Price,R 960 000
Audi,Audi A3,Sportback 30TFSI,2019,81 788,Automatic,Fair Price,R 279 990
Audi,Audi A1,Sportback 40TFSI S Line,2021,88 863,Automatic,No Rating,R 399 900
Audi,Audi RSQ8,Quattro,2022,33 934,Automatic,Great Price,R 1 789 995
Audi,Audi Q3,35TFSI,2021,80 000,Automatic,Fair Price,R 429 996
Audi,Audi Q2,Sportback 35TFSI Black Edition  110kW,2026,550,Automatic,Great Price,R 699 901
Audi,Audi A3,Sedan 1.4TFSI SE Auto,2016,58 869,Automatic,Fair Price,R 329 950
Audi,Audi A3,Sedan 35TFSI,2024,43 058,Automatic,Fair Price,R 479 900
Audi,Audi A3,Sedan 35TFSI,2022,44 275,Automatic,Great Price,R 399 900
Audi,Audi A1,Sportback 30TFSI Advanced,2025,13 000,Automatic,Fair Price,R 479 900
Audi,Audi SQ5,Sportback TFSI Quattro Black Edition,2025,13 000,Automatic,No Rating,R 1 329 900
Audi,Audi Q2,35TFSI S Line,2023,33 131,Automatic,Great Price,R 399 800
Audi,Audi A1,Sportback 30TFSI Advanced,2025,7 000,Automatic,Fair Price,R 489 900
Audi,Audi S3,Sedan Quattro,2019,129 783,Automatic,Fair Price,R 449 950
Audi,Audi A3,Sportback 30TFSI,2020,33 774,Automatic,Fair Price,R 359 900
Audi,,,,,,Fair Price,
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,Audi RSQ8,Quattro Performance,2025,10 101,Automatic,No Rating,R 2 999 999
Audi,Audi Q3,40TFSI Quattro S Line,2022,46 500,Automatic,No Rating,R 629 000
Audi,Audi Q2,35TFSI  Urban Edition 110kW,2025,15 800,Automatic,Great Price,R 539 995
Audi,Audi Q3,Sportback 40TFSI Quattro S Line,2022,56 500,Automatic,Great Price,R 549 995
Audi,Audi A3,Sportback 30TFSI,2021,40 100,Automatic,Fair Price,R 349 995
Audi,Audi Q7,45TDI Quattro,2020,126 000,Automatic,Fair Price,R 579 950
Audi,Audi A3,Sportback 35TFSI Advanced,2022,73 428,Automatic,Fair Price,R 444 950
Audi,ined,,unde,,,,
Audi,Audi Q5,Sportback 40TDI Quattro Advanced,2022,58 786,Automatic,Great Price,R 599 950
Audi,Audi RS3,Sportback Quattro,2016,150 000,Automatic,Great Price,R 489 900
Audi,Audi Q2,35TFSI,2024,64 520,Automatic,Fair Price,R 449 900
Audi,,,,,,High Price,
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,Audi Q2,35TFSI Urban Edition,2026,2 500,Automatic,No Rating,R 644 000
Audi,Audi Q5,40TDI Quattro,2018,47 000,Automatic,Fair Price,R 429 900
Audi,Audi Q2,30TFSI,2019,60 106,Automatic,High Price,R 359 900
Audi,Audi RS3,Sportback Quattro,2021,38 450,Automatic,Fair Price,R 979 500
Audi,Audi RS6,Avant Quattro,2016,133 000,Automatic,Great Price,R 849 890
Audi,Audi R8,Spyder V10 Performance Quattro,2023,2 500,Automatic,No Rating,R 4 395 995
Audi,Audi S3,Sedan Quattro,2019,86 836,Automatic,No Rating,R 479 995
Audi,Audi A1,Sportback 1.0TFSI SE Auto,2017,58 887,Automatic,Fair Price,R 229 900
Audi,Audi RS3,Sportback Quattro,2023,24 401,Automatic,Great Price,R 1 080 000
Audi,Audi Q5,2.0TDI S Quattro,2020,67 500,Automatic,Fair Price,R 449 995
Audi,Audi Q2,35TFSI,2021,90 826,Automatic,Fair Price,R 379 995
Audi,Audi Q2,1.4TFSI Sport,2017,88 612,Manual,No Rating,R 309 995
Audi,Audi S3,Sportback TFSI Quattro,2026,100,Automatic,No Rating,R 1 150 000
Audi,Audi Q7,45TDI Quattro S Line,2021,73 046,Automatic,Great Price,R 849 900
Audi,Audi Q8,45TDI Quattro Black Edition,2025,40 228,Automatic,No Rating,R 1 629 995
Audi,,,,,,No Rating,
Audi,,,,,,No Rating,
Audi,,,,,,Fair Price,
Audi,Audi Q3,Sportback 35TFSI Urban Edition,2022,89 000,Automatic,Fair Price,R 479 995
Audi,Audi Q2,35TFSI S Line,2023,48 500,Automatic,No Rating,R 439 995
