Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
BMW,,,,,,Fair Price,
BMW,,,,,,High Price,
BMW,,,,,,No Rating,
BMW,BMW 1 Series,118 M Sport,2025,17 456,Automatic,Great Price,R 649 990
BMW,BMW X4,xDrive20d M Sport,2024,40 660,Automatic,Fair Price,R 929 995
BMW,BMW M5,M5 Touring,2025,2 000,Automatic,No Rating,R 3 199 900
BMW,BMW X1,sDrive18d M Sport,2024,15 727,Automatic,Great Price,R 769 990
BMW,BMW 2 Series,218d Gran Coupe M Sport,2022,38 000,Automatic,Fair Price,R 549 000
BMW,BMW X5,xDrive30d M Sport,2017,130 536,Automatic,Fair Price,R 479 995
BMW,BMW X3,xDrive20d Auto,2017,193 000,Automatic,Great Price,R 239 900
BMW,ined,,unde,,,,
BMW,BMW X5,xDrive30d M Sport,2023,24 575,Automatic,Great Price,R 1 439 990
BMW,BMW X3,20d xDrive M Sport,2025,23 250,Automatic,Great Price,R 1 029 990
BMW,BMW M5,Standard Edition,2014,151 500,Automatic,Fair Price,R 449 900
BMW,,,,,,Fair Price,
BMW,,,,,,Fair Price,
BMW,,,,,,No Rating,
BMW,BMW X3,xDrive 30e M Sport Pro,2024,26 776,Automatic,No Rating,R 1 099 990
BMW,BMW X1,sDrive18i Auto,2018,108 000,Automatic,Great Price,R 249 950
BMW,BMW X3,sDrive20i,2022,57 882,Automatic,No Rating,R 589 990
BMW,BMW 3 Series,320i M Sport,2019,91 936,Automatic,Great Price,R 359 900
BMW,BMW X7,M50d,2020,80 000,Automatic,Fair Price,R 1 149 950
BMW,BMW 3 Series,318i M Sport,2021,146 650,Automatic,Great Price,R 359 900
BMW,BMW 1 Series,118 M Sport,2025,16 600,Automatic,Great Price,R 629 990
BMW,BMW 2 Series,220i Coupe Sport Line Shadow Edition,2020,108 596,Automatic,Fair Price,R 379 000
BMW,BMW 3 Series,330i M Sport,2021,62 937,Automatic,Fair Price,R 579 000
BMW,BMW X3,xDrive20d M Sport,2023,81 000,Automatic,Fair Price,R 735 000
BMW,BMW X5,M50d,2022,66 200,Automatic,Great Price,R 1 249 000
BMW,BMW X1,sDrive18i M Sport,2022,95 000,Automatic,Great Price,R 429 900
BMW,BMW 2 Series,218d Gran Coupe M Sport,2024,23 950,Automatic,Great Price,R 599 990
BMW,BMW X3,xDrive20d M Sport,2023,26 000,Automatic,Great Price,R 799 000
BMW,BMW X3,20d xDrive M Sport,2026,150,Automatic,Great Price,R 1 179 995
BMW,,,,,,Great Price,
BMW,,,,,,No Rating,
BMW,,,,,,No Rating,
BMW,BMW X5,M competition,2022,61 250,Automatic,Great Price,R 1 669 900
BMW,BMW 2 Series,220d Coupe M Sport,2025,21 712,Automatic,No Rating,R 819 990
BMW,BMW 1 Series,118d M Sport,2021,81 000,Automatic,Great Price,R 449 995
BMW,BMW X3,20d xDrive,2025,20 000,Automatic,Low Price,R 959 990
BMW,BMW X5,xDrive30d xLine,2020,79 632,Automatic,Great Price,R 779 900
BMW,BMW Z4,M40i,2025,3 700,Automatic,Great Price,R 1 199 900
BMW,BMW M4,Competition Coupe M xDrive,2025,2 500,Automatic,Great Price,R 2 069 900
BMW,BMW 3 Series,320d M Sport,2025,18 500,Automatic,Great Price,R 869 900
BMW,BMW X3,M40i,2023,84 000,Automatic,Fair Price,R 949 500
BMW,BMW X5,xDrive30d M Sport,2023,50 000,Automatic,Great Price,R 1 249 950
BMW,,,,,,No Rating,
BMW,,,,,,Fair Price,
BMW,,,,,,Great Price,
BMW,BMW X3,20d xDrive M Sport,2025,33 735,Automatic,Fair Price,R 1 049 990
BMW,BMW X4,M competition,2024,25 000,Automatic,Great Price,R 1 599 900
BMW,BMW X3,20d xDrive M Sport,2025,11 000,Automatic,Great Price,R 1 099 900
BMW,BMW 2 Series,220i Coupe M Sport,2024,56 800,Automatic,Great Price,R 689 900
BMW,BMW X7,xDrive40d M Sport PRO (G07),2025,13 000,Automatic,Great Price,R 1 959 000
BMW,BMW 2 Series,220d Gran Coupe M Sport,2020,105 000,Automatic,Great Price,R 399 000
BMW,BMW 4 Series,M440i xDrive Convertible,2023,23 000,Automatic,Fair Price,R 1 099 000
BMW,BMW X3,20d xDrive M Sport,2025,21 582,Automatic,Great Price,R 1 049 000
BMW,ined,,unde,,,,
BMW,BMW X5,xDrive30d xLine,2022,58 000,Automatic,Fair Price,R 999 900
BMW,BMW 2 Series,218 Gran Coupe M Sport,2025,17 000,Automatic,Great Price,R 659 900
BMW,BMW X1,sDrive18i M Sport,2021,76 000,Automatic,Fair Price,R 439 950
BMW,BMW 1 Series,118i Sport Line,2021,83 458,Automatic,Great Price,R 379 900
BMW,BMW 1 Series,128ti,2021,94 461,Automatic,Great Price,R 479 950
BMW,BMW 3 Series,320i M Sport Auto,2018,61 000,Automatic,Great Price,R 299 900
BMW,BMW X5,xDrive30d M Sport,2023,63 800,Automatic,Fair Price,R 1 369 990
BMW,,,,,,Great Price,
BMW,,,,,,High Price,
BMW,,,,,,No Rating,
BMW,BMW 4 Series,420i Gran Coupe M Sport,2022,41 000,Automatic,Great Price,R 649 900
BMW,BMW M4,Convertible,2019,54 502,Automatic,No Rating,R 999 000
BMW,BMW 3 Series,318i M Sport,2022,42 950,Automatic,Great Price,R 519 900
BMW,BMW 1 Series,118 M Sport,2025,13 500,Automatic,Great Price,R 659 990
BMW,BMW X1,sDrive20d xLine Auto,2016,95 000,Automatic,Fair Price,R 309 900
BMW,BMW X7,xDrive30d M Sport,2022,94 600,Automatic,Great Price,R 1 019 000
BMW,BMW X3,xDrive20d M Sport,2024,25 000,Automatic,Fair Price,R 889 900
BMW,ined,,unde,,,,
BMW,BMW 2 Series,218 Gran Coupe M Sport,2025,18 000,Automatic,Fair Price,R 729 990
BMW,BMW 3 Series,318i Sport Line,2021,96 000,Automatic,Great Price,R 389 999
BMW,BMW X3,20d xDrive M Sport,2024,70 000,Automatic,Fair Price,R 999 990
BMW,,,,,,Fair Price,
BMW,,,,,,No Rating,
BMW,,,,,,Great Price,
BMW,BMW 1 Series,118 M Sport,2025,11 863,Automatic,Great Price,R 649 900
BMW,BMW 3 Series,320i M Sport,2022,85 644,Automatic,Fair Price,R 499 900
BMW,BMW X1,sDrive18d M Sport,2025,20 000,Automatic,Great Price,R 819 900
BMW,BMW X2,sDrive18i M Sport,2021,89 000,Automatic,Fair Price,R 419 000
BMW,BMW 3 Series,320i M Sport,2025,5 500,Automatic,Fair Price,R 899 990
BMW,BMW 1 Series,118 M Sport,2025,20 000,Automatic,Great Price,R 629 000
BMW,BMW 1 Series,118 M Sport,2025,26 000,Automatic,Great Price,R 629 000
BMW,BMW 4 Series,420i Coupe M Sport Sports-Auto,2018,125 000,Automatic,No Rating,R 339 000
BMW,BMW X4,M competition,2021,69 850,Automatic,Fair Price,R 1 129 000
BMW,BMW X3,M40i,2022,46 761,Automatic,Great Price,R 889 900
BMW,BMW 2 Series,220i Coupe M Sport,2024,11 256,Automatic,Great Price,R 739 900
BMW,BMW 1 Series,120i 5-Door M Sport Auto,2019,132 000,Automatic,Fair Price,R 289 900
BMW,BMW X5,xDrive30d M Sport,2024,30 500,Automatic,Fair Price,R 1 599 999
BMW,BMW X4,xDrive30d M Sport,2016,219 304,Automatic,Fair Price,R 379 950
BMW,BMW X3,20d xDrive M Sport,2025,28 000,Automatic,Great Price,R 1 049 000
BMW,,,,,,No Rating,
BMW,,,,,,Great Price,
BMW,,,,,,No Rating,
BMW,BMW X6,xDrive30d M Sport,2025,10 000,Automatic,Great Price,R 1 749 900
BMW,BMW X3,xDrive30d M Sport,2023,45 000,Automatic,Fair Price,R 959 950
BMW,BMW X7,xDrive40d M Sport PRO (G07),2025,22 000,Automatic,Great Price,R 1 899 990
BMW,BMW X1,sDrive18d M Sport,2024,17 102,Automatic,Great Price,R 769 001
BMW,BMW X3,M50,2026,1 000,Automatic,Great Price,R 1 599 000
BMW,BMW 4 Series,420i Gran Coupe M Sport,2022,65 798,Automatic,Great Price,R 649 995
BMW,BMW i3,eDrive,2019,108 700,Automatic,No Rating,R 385 950
BMW,BMW X1,sDrive18d M Sport,2023,61 849,Automatic,Fair Price,R 649 900
BMW,BMW X3,20d xDrive,2025,9 400,Automatic,Great Price,R 999 000
BMW,BMW 1 Series,118i 5-Door Auto,2018,112 700,Automatic,Fair Price,R 249 950
BMW,,,,,,High Price,
BMW,,,,,,Fair Price,
BMW,,,,,,High Price,
BMW,BMW 1 Series,128ti,2021,58 000,Automatic,Great Price,R 549 995
BMW,BMW X6,M50d,2023,34 000,Automatic,Fair Price,R 1 599 900
BMW,BMW X4,M40i,2021,9 900,Automatic,Fair Price,R 959 900
BMW,BMW X7,xDrive40d M Sport PRO (G07),2025,9 900,Automatic,Great Price,R 1 999 500
BMW,BMW 5 Series,520d M SPORT PRO,2025,26 063,Automatic,No Rating,R 1 229 950
BMW,BMW 1 Series,128ti,2022,22 000,Automatic,Great Price,R 618 500
BMW,BMW 1 Series,M140i 5-Door Edition Shadow Sports-Auto,2019,144 000,Automatic,Great Price,R 419 890
BMW,BMW X5,M60i,2025,7 000,Automatic,Great Price,R 1 989 890
BMW,BMW 5 Series,520d M Sport,2025,7 000,Automatic,Great Price,R 1 199 900
BMW,BMW X3,xDrive20d M Sport,2023,45 800,Automatic,Great Price,R 729 995
BMW,ined,,unde,,,,
BMW,BMW 1 Series,118i Mzansi Edition,2023,70 871,Automatic,Fair Price,R 549 900
BMW,BMW X5,M50d,2023,16 000,Automatic,Great Price,R 1 599 900
BMW,BMW X4,M competition,2024,19 500,Automatic,Great Price,R 1 639 950
BMW,BMW X4,M40i,2021,92 300,Automatic,Fair Price,R 799 999
BMW,BMW X6,M50d,2020,87 000,Automatic,Great Price,R 899 990
