Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Continental,GT W12 Coupe,2021,5 150,Automatic,No Rating,R 4 500 000
Bentley,Bentley Bentayga,W12,2016,61 500,Automatic,No Rating,R 2 299 999
Bentley,Bentley Continental,Convertible,2009,37 000,Automatic,No Rating,R 1 749 950
Bentley,ined,,unde,,,,
Bentley,Bentley Continental,GT W12,2012,65 039,Automatic,No Rating,R 1 399 900
Bentley,Bentley Continental,GT V8 S,2018,30 000,Automatic,No Rating,R 2 299 900
Bentley,Bentley Bentayga,Diesel,2018,68 000,Automatic,No Rating,R 2 199 999
Bentley,Bentley S3,Continental,1963,151 275,Automatic,No Rating,R 699 000
Bentley,Bentley Flying Spur,W12,2020,34 500,Automatic,No Rating,R 3 499 900
Bentley,Bentley Continental,GT W12 Coupe,2018,33 000,Automatic,No Rating,R 3 329 995
Bentley,Bentley Flying Spur,W12,2020,19 000,Automatic,,POA
Bentley,,,,,,No Rating,
Bentley,Bentley Continental,GT V8,2023,12 000,Automatic,No Rating,R 4 299 000
Bentley,Bentley Continental,GT W12,2012,50 000,Automatic,No Rating,R 1 599 990
Bentley,Bentley Continental,GT V8 Convertible,2017,11 000,Automatic,No Rating,R 2 999 999
Bentley,Bentley Flying Spur,W12,2009,65 969,Automatic,No Rating,R 899 900
Bentley,Bentley Continental,GT Speed W12 Convertible,2014,48 000,Automatic,No Rating,R 2 299 950
Bentley,Bentley Continental,GT W12 Convertible,2020,10 000,Automatic,No Rating,R 4 599 999
Bentley,Bentley Arnage,RL,2005,32 300,Automatic,,POA
Bentley,Bentley Flying Spur,W12,2021,59 995,Automatic,No Rating,R 1 599 950
Bentley,Bentley Continental,GT W12 Coupe,2019,32 074,Automatic,No Rating,R 3 999 000
Bentley,Bentley Bentayga,V8,2021,20 000,Automatic,No Rating,R 3 999 900
Bentley,Bentley Continental,GT V8 Convertible,2016,26 000,Automatic,No Rating,R 2 599 995
Bentley,Bentley Eight,Base 8,1992,78 000,Automatic,No Rating,R 650 000
Bentley,Bentley Continental,GT V8 S Convertible,2016,21 000,Automatic,No Rating,R 2 599 900
Bentley,Bentley Continental,GT V8 S,2016,95 000,Automatic,No Rating,R 1 288 888
Bentley,Bentley Bentayga,Diesel,2018,131 000,Automatic,,POA
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Flying Spur,W12,2016,66 623,Automatic,No Rating,R 1 999 000
Bentley,Bentley Continental,GT V8 Coupe,2016,48 770,Automatic,No Rating,R 1 899 000
Bentley,Bentley Bentayga,V8,2019,54 300,Automatic,No Rating,R 2 499 900
Bentley,Bentley Continental,SuperSports Coupe,2017,30 000,Automatic,No Rating,R 2 999 950
Bentley,Bentley Continental,GT V8 Coupe,2020,18 000,Automatic,No Rating,R 3 499 500
Bentley,Bentley Bentayga,S,2022,16 000,Automatic,No Rating,R 4 899 900
Bentley,Bentley Bentayga,Diesel,2018,82 000,Automatic,No Rating,R 2 599 900
Bentley,Bentley Continental,GT W12 Convertible,2020,24 150,Automatic,No Rating,R 4 399 850
Bentley,Bentley Continental,Flying Spur W12,2016,41 010,Automatic,No Rating,R 1 999 000
Bentley,Bentley Flying Spur,V8,2016,52 500,Automatic,No Rating,R 1 799 990
Bentley,,,,,,No Rating,
Bentley,Bentley Bentayga,Speed,2021,39 820,Automatic,,POA
Bentley,ined,,unde,,,,
Bentley,Bentley Flying Spur,W12,2020,17 500,Automatic,,POA
Bentley,Bentley Continental,GT V8 Coupe,2015,82 000,Automatic,No Rating,R 1 549 500
Bentley,Bentley Flying Spur,V8,2015,34 474,Automatic,No Rating,R 1 999 999
Bentley,Bentley Continental,GT,2015,83 000,Automatic,No Rating,R 1 699 995
Bentley,Bentley Flying Spur,V8 Azure,2023,16 000,Automatic,No Rating,R 4 999 990
Bentley,Bentley Bentayga,S,2022,21 000,Automatic,No Rating,R 4 899 990
Bentley,Bentley Continental,GT V8 Coupe,2016,53 000,Automatic,No Rating,R 1 899 900
Bentley,Bentley Flying Spur,Speed,2023,20 000,Automatic,No Rating,R 6 199 950
Bentley,Bentley Flying Spur,V8,2016,40 900,Automatic,No Rating,R 1 775 000
Bentley,,,,,,No Rating,
Bentley,,,,,,No Rating,
Bentley,Bentley Continental,GT W12 Coupe,2021,5 150,Automatic,No Rating,R 4 500 000
Bentley,Bentley Bentayga,W12,2016,61 500,Automatic,No Rating,R 2 299 999
Bentley,Bentley Continental,GT V8 S,2018,30 000,Automatic,No Rating,R 2 299 900
Bentley,Bentley Bentayga,Diesel,2018,68 000,Automatic,No Rating,R 2 199 999
Bentley,Bentley Flying Spur,W12,2020,34 500,Automatic,No Rating,R 3 499 900
Bentley,Bentley Continental,GT W12 Coupe,2018,33 000,Automatic,No Rating,R 3 329 995
Bentley,Bentley Flying Spur,W12,2020,19 000,Automatic,,POA
Bentley,Bentley Continental,GT V8,2023,12 000,Automatic,No Rating,R 4 299 000
Bentley,Bentley Continental,GT V8 Convertible,2017,11 000,Automatic,No Rating,R 2 999 999
Bentley,Bentley Continental,GT W12 Convertible,2020,10 000,Automatic,No Rating,R 4 599 999
Bentley,,,,,,No Rating,
Bentley,ined,,unde,,,,
Bentley,Bentley Flying Spur,W12,2021,59 995,Automatic,No Rating,R 1 599 950
Bentley,Bentley Continental,GT W12 Coupe,2019,32 074,Automatic,No Rating,R 3 999 000
Bentley,Bentley Bentayga,V8,2021,20 000,Automatic,No Rating,R 3 999 900
Bentley,Bentley Continental,GT V8 Convertible,2016,26 000,Automatic,No Rating,R 2 599 995
Bentley,Bentley Continental,GT V8 S Convertible,2016,21 000,Automatic,No Rating,R 2 599 900
Bentley,Bentley Continental,GT V8 S,2016,95 000,Automatic,No Rating,R 1 288 888
Bentley,Bentley Bentayga,Diesel,2018,131 000,Automatic,,POA
Bentley,Bentley Bentayga,W12,2017,49 000,Automatic,No Rating,R 2 699 900
Bentley,Bentley Flying Spur,Speed,2023,20 000,Automatic,No Rating,R 6 199 950
