Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Ferrari,,,,,,High Price,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 488,Spider,2017,24 500,Automatic,Fair Price,R 5 499 999
Ferrari,Ferrari 488,Spider,2019,20 000,Automatic,Fair Price,R 5 999 900
Ferrari,Ferrari 488,488 GTB,2017,7 900,Automatic,High Price,R 5 999 900
Ferrari,Ferrari 458,Speciale,2015,11 700,Automatic,,POA
Ferrari,Ferrari 308,GTS,1980,111 700,Manual,No Rating,R 1 595 000
Ferrari,Ferrari California,30,2017,19 500,Automatic,No Rating,R 2 449 000
Ferrari,Ferrari 12Cilindri,Coupe,2025,4 900,Automatic,No Rating,R 12 595 000
Ferrari,Ferrari 12Cilindri,Coupe,2026,500,Automatic,No Rating,R 16 499 900
Ferrari,Ferrari Purosangue,Purosangue,2025,700,Automatic,No Rating,R 15 999 995
Ferrari,Ferrari SF90,Stradale,2021,4 850,Automatic,No Rating,R 12 995 000
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari FF,FF,2012,20 000,Automatic,Great Price,R 2 799 990
Ferrari,Ferrari Portofino,Portofino,2020,11 500,Automatic,No Rating,R 4 495 000
Ferrari,Ferrari 488,488 GTB,2018,10 000,Automatic,Fair Price,R 5 495 000
Ferrari,ined,,unde,,,,
Ferrari,Ferrari F430,Spider,2007,28 859,Automatic,No Rating,R 2 199 000
Ferrari,Ferrari F430,F1,2005,29 000,Automatic,No Rating,R 2 499 000
Ferrari,Ferrari SF90,Spider,2023,5 000,Automatic,No Rating,R 14 999 995
Ferrari,Ferrari 812,GTS,2022,2 000,Automatic,,POA
Ferrari,Ferrari FF,FF,2017,11 000,Automatic,No Rating,R 3 999 995
Ferrari,Ferrari Mondial,T,1991,47 709,Manual,No Rating,R 1 149 000
Ferrari,Ferrari 612 Scaglietti,F1A,2011,17 000,Automatic,No Rating,R 2 499 999
Ferrari,Ferrari 330,GT Series 1,1965,104 000,Manual,,POA
Ferrari,Ferrari SF90,Stradale,2023,2 000,Automatic,No Rating,R 11 995 000
Ferrari,Ferrari SF90,Stradale,2021,3 000,Automatic,No Rating,R 12 695 000
Ferrari,Ferrari 296,GTB,2023,1 500,Automatic,No Rating,R 7 595 000
Ferrari,Ferrari 348,TS,1991,9 127,Manual,No Rating,R 2 200 000
Ferrari,,,,,,No Rating,
Ferrari,,,,,,Fair Price,
Ferrari,Ferrari 488,Spider,2017,12 980,Automatic,Fair Price,R 5 999 999
Ferrari,Ferrari 296,GTS,2024,3 000,Automatic,No Rating,R 8 995 000
Ferrari,Ferrari Roma,Roma,2021,2 500,Automatic,No Rating,R 4 895 000
Ferrari,Ferrari 296,GTS,2026,280,Automatic,No Rating,R 9 995 000
Ferrari,Ferrari 488,488 GTB,2016,25 600,Automatic,,POA
Ferrari,Ferrari Purosangue,Purosangue,2024,3 100,Automatic,No Rating,R 13 995 000
Ferrari,Ferrari 488,488 GTB,2016,8 700,Automatic,High Price,R 7 999 999
Ferrari,Ferrari 488,Spider,2016,17 000,Automatic,Fair Price,R 5 899 000
Ferrari,Ferrari SF90,Spider,2024,10 268,Automatic,,POA
Ferrari,Ferrari 488,488 GTB,2016,24 000,Automatic,Fair Price,R 4 950 000
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari F8,Spider,2022,7 500,Automatic,,POA
Ferrari,Ferrari F8,Spider,2022,15 000,Automatic,No Rating,R 9 999 995
Ferrari,Ferrari 488,488 GTB,2018,2 568,Automatic,Fair Price,R 5 799 900
Ferrari,Ferrari GTC4Lusso,GTC4Lusso,2018,7 300,Automatic,No Rating,R 5 795 000
Ferrari,Ferrari Portofino,Portofino,2020,23 000,Automatic,No Rating,R 4 149 900
Ferrari,Ferrari 296,GTB,2025,1 050,Automatic,No Rating,R 7 999 950
Ferrari,ined,,unde,,,,
Ferrari,Ferrari F8,Tributo,2021,9 800,Automatic,No Rating,R 9 999 995
Ferrari,Ferrari California,T,2015,19 500,Automatic,No Rating,R 2 795 000
Ferrari,Ferrari 296,GTS,2024,5 850,Automatic,No Rating,R 8 495 000
Ferrari,Ferrari F8,Tributo,2021,4 000,Automatic,No Rating,R 10 999 995
Ferrari,Ferrari Roma,Roma,2021,5 500,Automatic,No Rating,R 4 699 999
Ferrari,Ferrari 488,488 GTB,2017,7 000,Automatic,Fair Price,R 5 599 995
Ferrari,Ferrari 488,488 GTB,2016,30 000,Automatic,Fair Price,R 4 950 995
Ferrari,Ferrari 488,Spider,2016,24 763,Automatic,Fair Price,R 5 599 995
Ferrari,Ferrari 296,GTS,2025,400,Automatic,No Rating,R 10 795 000
Ferrari,,,,,,Fair Price,
Ferrari,,,,,,Fair Price,
Ferrari,Ferrari 488,488 GTB,2017,17 000,Automatic,Fair Price,R 5 299 999
Ferrari,Ferrari 488,Spider,2018,22 800,Automatic,Fair Price,R 5 799 995
Ferrari,Ferrari Portofino,Portofino,2019,15 800,Automatic,No Rating,R 4 395 000
Ferrari,Ferrari SF90,Spider,2023,1 300,Automatic,No Rating,R 15 499 900
Ferrari,Ferrari Roma,Roma,2022,12 000,Automatic,No Rating,R 4 799 995
Ferrari,Ferrari 488,488 GTB,2018,12 000,Automatic,Fair Price,R 5 499 995
Ferrari,Ferrari Roma,Roma,2022,11 500,Automatic,No Rating,R 4 695 000
Ferrari,Ferrari Portofino,Portofino,2019,1 050,Automatic,No Rating,R 4 395 000
Ferrari,Ferrari F8,Spider,2022,5 600,Automatic,,POA
Ferrari,Ferrari GTC4Lusso,T,2021,17 000,Automatic,No Rating,R 4 999 900
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari Roma,Roma,2021,7 933,Automatic,No Rating,R 4 999 000
Ferrari,Ferrari 488,Spider,2016,17 446,Automatic,Fair Price,R 5 499 990
Ferrari,Ferrari 296,GTS,2025,2 500,Automatic,No Rating,R 8 995 000
Ferrari,Ferrari Roma,Roma,2022,12 900,Automatic,No Rating,R 4 699 995
Ferrari,Ferrari 488,Spider,2019,15 000,Automatic,Fair Price,R 5 999 999
Ferrari,Ferrari 488,488 GTB,2018,4 673,Automatic,High Price,R 5 999 900
Ferrari,ined,,unde,,,,
Ferrari,Ferrari F8,Tributo,2022,4 400,Automatic,,POA
Ferrari,Ferrari Purosangue,Purosangue,2024,7 260,Automatic,,POA
Ferrari,Ferrari SF90,Stradale,2022,1 600,Automatic,No Rating,R 14 500 000
Ferrari,Ferrari 488,488 GTB,2017,29 700,Automatic,Fair Price,R 4 999 500
Ferrari,Ferrari SF90,Stradale,2022,100,Automatic,No Rating,R 14 250 000
Ferrari,Ferrari F8,Tributo,2021,5 000,Automatic,No Rating,R 10 499 995
Ferrari,Ferrari 296,GTB,2023,4 380,Automatic,No Rating,R 7 695 000
Ferrari,Ferrari 296,GTB,2023,3 260,Automatic,No Rating,R 7 695 000
Ferrari,Ferrari 488,488 GTB,2016,18 000,Automatic,Fair Price,R 5 199 995
Ferrari,,,,,,No Rating,
Ferrari,,,,,,Fair Price,
Ferrari,Ferrari Portofino,Portofino,2019,21 300,Automatic,No Rating,R 4 295 000
Ferrari,Ferrari California,T,2017,17 000,Automatic,,POA
Ferrari,Ferrari 296,GTS,2025,250,Automatic,No Rating,R 9 325 000
Ferrari,Ferrari Portofino,M,2023,3 500,Automatic,No Rating,R 5 499 990
Ferrari,Ferrari 296,GTB,2024,4 200,Automatic,No Rating,R 8 349 000
Ferrari,ined,,unde,,,,
Ferrari,Ferrari 488,488 GTB,2018,5 200,Automatic,High Price,R 5 799 995
Ferrari,Ferrari 458,Italia,2015,11 000,Automatic,,POA
Ferrari,Ferrari SF90,Spider,2024,300,Automatic,,POA
Ferrari,,,,,,Fair Price,
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 488,Spider,2017,24 500,Automatic,Fair Price,R 5 499 999
Ferrari,Ferrari 488,Spider,2019,20 000,Automatic,Fair Price,R 5 999 900
Ferrari,ined,,unde,,,,
Ferrari,Ferrari 488,488 GTB,2017,7 900,Automatic,High Price,R 5 999 900
Ferrari,Ferrari 458,Speciale,2015,11 700,Automatic,,POA
Ferrari,Ferrari California,30,2017,19 500,Automatic,No Rating,R 2 449 000
Ferrari,Ferrari 12Cilindri,Coupe,2025,4 900,Automatic,No Rating,R 12 595 000
Ferrari,Ferrari 12Cilindri,Coupe,2026,500,Automatic,No Rating,R 16 499 900
Ferrari,Ferrari Purosangue,Purosangue,2025,700,Automatic,No Rating,R 15 999 995
Ferrari,Ferrari SF90,Stradale,2021,4 850,Automatic,No Rating,R 12 995 000
Ferrari,Ferrari Portofino,Portofino,2020,11 500,Automatic,No Rating,R 4 495 000
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,,,,,,No Rating,
Ferrari,Ferrari 488,488 GTB,2018,10 000,Automatic,Fair Price,R 5 495 000
