Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Fiat,,,,,,No Rating,
Fiat,,,,,,Fair Price,
Fiat,,,,,,No Rating,
Fiat,Fiat 500,1.4 Lounge,2013,107 000,Manual,No Rating,R 99 900
Fiat,Fiat 500X,1.4T Sport,2023,49 000,Automatic,Great Price,R 289 899
Fiat,Fiat 500X,1.4T Sport,2023,37 000,Automatic,Great Price,R 299 900
Fiat,Fiat Fiorino,1.4 Panel Van,2022,10 000,Manual,No Rating,R 239 995
Fiat,Fiat 500X,1.4T Connect,2021,87 939,Manual,No Rating,R 279 950
Fiat,Fiat 500X,1.4T Sport,2024,66 000,Automatic,Great Price,R 299 900
Fiat,Fiat 500,500C TwinAir Lounge,2019,61 500,Manual,No Rating,R 189 995
Fiat,Fiat Palio,1.2ED,2003,155 000,Manual,No Rating,R 59 999
Fiat,Fiat 500X,1.4T Sport,2023,37 000,Automatic,No Rating,R 289 900
Fiat,Fiat 500,TwinAir Dolcevita,2023,39 058,Automatic,Fair Price,R 249 000
Fiat,,,,,,No Rating,
Fiat,,,,,,No Rating,
Fiat,,,,,,Great Price,
Fiat,Fiat 500,TwinAir Pop,2021,29 082,Manual,No Rating,R 179 900
Fiat,Fiat 500X,1.4T Sport,2023,45 000,Automatic,Fair Price,R 299 900
Fiat,Fiat Tipo,Sedan 1.4,2024,50 000,Manual,No Rating,R 159 900
Fiat,ined,,unde,,,,
Fiat,Fiat 500X,1.4T Connect,2022,64 293,Manual,No Rating,R 315 995
Fiat,Fiat 500,1.2 Pop,2014,118 000,Manual,Fair Price,R 109 900
Fiat,Fiat 500,TwinAir Dolcevita,2022,24 000,Automatic,Fair Price,R 269 995
Fiat,Fiat 500,TwinAir Sport,2021,47 300,Manual,Great Price,R 209 900
Fiat,Fiat 500,TwinAir Pop Star Auto,2019,75 000,Automatic,No Rating,R 159 899
Fiat,Fiat Doblo,Maxi 1.6 Multijet Panel Van,2026,200,Manual,No Rating,R 409 900
Fiat,Fiat Fullback,2.4DI-D Double Cab 4x4 Auto,2017,155 000,Automatic,No Rating,R 274 900
Fiat,Fiat 500,1.4 Lounge,2014,145 000,Manual,No Rating,R 109 900
Fiat,Fiat Qubo,1.4,2013,188 000,Manual,No Rating,R 75 000
Fiat,Fiat 500,1.2,2011,119 500,Manual,Fair Price,R 109 900
Fiat,Fiat Tipo,Sedan 1.4,2024,30 000,Manual,No Rating,R 209 900
Fiat,Fiat 500,TwinAir Dolcevita,2023,35 000,Automatic,Great Price,R 239 900
Fiat,,,,,,No Rating,
Fiat,,,,,,Great Price,
Fiat,,,,,,No Rating,
Fiat,Fiat 500,500C TwinAir 500 60th Anniversary Auto,2017,104 778,Automatic,No Rating,R 159 995
Fiat,Fiat 500,TwinAir Pop Star Auto,2016,110 000,Automatic,No Rating,R 137 999
Fiat,Fiat 500,TwinAir 63kW Lounge,2017,106 000,Manual,No Rating,R 137 999
Fiat,ined,,unde,,,,
Fiat,Fiat 500X,1.4T Cross Auto,2015,82 000,Automatic,No Rating,R 178 999
Fiat,Fiat 500,1.2 Base,2025,3 700,Automatic,Great Price,R 239 995
Fiat,Fiat Doblo,Maxi 1.6 Multijet Panel Van,2018,198 000,Manual,No Rating,R 149 899
Fiat,Fiat 500,900T Sport Cabriolet,2022,21 000,Manual,No Rating,R 219 900
Fiat,Fiat 500,TwinAir Connect,2022,8 300,Manual,No Rating,R 200 000
Fiat,Fiat 500,TwinAir Lounge,2019,69 500,Manual,No Rating,R 169 900
Fiat,Fiat 500,TwinAir Sport,2022,46 500,Manual,Fair Price,R 224 900
Fiat,,,,,,No Rating,
Fiat,,,,,,No Rating,
Fiat,,,,,,Fair Price,
Fiat,Fiat 500X,1.4T Cross,2015,73 832,Manual,No Rating,R 139 950
Fiat,Fiat 500X,1.4t Sport Est,2023,18 000,Automatic,No Rating,R 319 950
Fiat,Fiat 500,TwinAir Dolcevita,2022,64 000,Automatic,Fair Price,R 229 900
Fiat,Fiat 500,1.2 Lounge Auto,2015,72 165,Automatic,No Rating,R 179 900
Fiat,Fiat 500,1.4 Lounge,2015,148 000,Manual,No Rating,R 99 900
Fiat,Fiat 500,TwinAir Pop Star Auto,2020,57 000,Automatic,No Rating,R 179 900
Fiat,Fiat 500,1.2 Base,2025,6 144,Automatic,Fair Price,R 260 000
Fiat,Fiat Fiorino,1.3 Multijet Panel Van (Aircon),2018,124 000,Manual,No Rating,R 149 995
Fiat,Fiat 500X,1.4T Cross Auto,2017,72 000,Automatic,Fair Price,R 214 900
Fiat,Fiat 500X,1.4T Cross Auto,2017,126 734,Automatic,Fair Price,R 165 587
Fiat,Fiat Fullback,2.5DI-D Double Cab,2018,193 962,Manual,No Rating,R 229 900
Fiat,Fiat 500X,1.4T Cult,2023,26 000,Manual,No Rating,R 199 900
Fiat,Fiat 500,500S TwinAir Sport,2020,65 000,Manual,No Rating,R 209 900
