Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Ford,,,,,,No Rating,
Ford,,,,,,Fair Price,
Ford,,,,,,Great Price,
Ford,ined,,unde,,,,
Ford,Ford Ranger,3.2TDCi SuperCab 4x4 XLT Auto,2018,154 800,Automatic,No Rating,R 369 900
Ford,Ford Ranger,3.0TD V6 Double Cab Platinum 4WD,2025,6 977,Automatic,Great Price,R 899 500
Ford,Ford Everest,3.0 V6 4WD Platinum,2023,56 500,Automatic,Great Price,R 805 500
Ford,Ford Figo,1.5Ti VCT TREND (5DR),2020,96 000,Manual,Fair Price,R 169 900
Ford,Ford Ranger,3.2TDCi Double Cab Hi-Rider XLT Auto,2016,164 500,Automatic,Great Price,R 249 900
Ford,Ford Tourneo Custom,2.2TDCi SWB Ambiente,2014,197 313,Manual,Great Price,R 249 950
Ford,Ford EcoSport,1.5TiVCT Ambiente,2021,61 000,Manual,Great Price,R 189 900
Ford,Ford Ranger,2.0Bi-Turbo Double Cab Hi-Rider Stormtrak,2022,88 000,Automatic,Great Price,R 449 990
Ford,Ford PUMA,1.0T Titanium,2023,2 020,Automatic,Great Price,R 339 900
Ford,Ford Ranger,2.0 Biturbo Double Cab Wildtrak,2024,25 030,Automatic,Great Price,R 688 500
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,Ford Ranger,2.0Bi-Turbo Double Cab 4x4 Wildtrak,2019,119 000,Automatic,Great Price,R 399 900
Ford,Ford Everest,3.0TD V6 4WD Wildtrak,2025,6 500,Automatic,Great Price,R 979 900
Ford,Ford Ranger,2.0 Biturbo Double Cab XLT 4x4,2024,12 697,Automatic,Fair Price,R 699 500
Ford,Ford Ranger,2.0 Sit Double Cab XLT,2025,7 886,Automatic,Fair Price,R 619 500
Ford,Ford Ranger,2.0 Sit Double Cab XL Manual,2025,8 001,Manual,Fair Price,R 499 500
Ford,Ford Everest,2.0SiT 4WD XLT Sport,2021,91 000,Automatic,Great Price,R 449 990
Ford,Ford Ranger,2.0 Sit Double Cab XLT,2025,7 818,Automatic,Fair Price,R 619 500
Ford,Ford Ranger,2.0 Biturbo Double Cab Wildtrak,2026,5 583,Automatic,Great Price,R 749 890
Ford,Ford Everest,2.0SiT XLT,2022,75 000,Automatic,Great Price,R 454 900
Ford,Ford Ranger,3.0 V6 Ecoboost Double Cab Raptor 4WD,2023,61 551,Automatic,Fair Price,R 929 900
Ford,Ford Ranger,2.0Bi-Turbo Double Cab 4x4 Thunder,2021,99 000,Automatic,Great Price,R 459 900
Ford,Ford Ranger,2.0 Sit Double Cab XL Auto,2023,60 000,Automatic,Great Price,R 449 900
Ford,Ford Everest,2.0 Biturbo 4x4 Sport,2024,32 000,Automatic,Great Price,R 779 900
Ford,Ford EcoSport,1.5TDCi Ambiente,2018,131 000,Manual,Fair Price,R 179 900
Ford,Ford Ranger,2.2TDCi Double Cab 4x4 XLS,2015,158 855,Manual,Fair Price,R 259 900
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,,,,,,No Rating,
Ford,Ford Everest,2.0 Biturbo 4x4 Sport,2023,32 000,Automatic,Great Price,R 739 900
Ford,Ford Ranger,2.2TDCi Double Cab Hi-Rider XLT Auto,2017,190 400,Automatic,Great Price,R 259 900
Ford,Ford EcoSport,1.0T Trend Auto,2021,79 618,Automatic,Great Price,R 209 900
