Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Haval,,,,,,Low Price,
Haval,,,,,,Fair Price,
Haval,,,,,,No Rating,
Haval,Haval H6 GT,2.0GDIT 4WD Super Luxury,2025,1 197,Automatic,Great Price,R 559 900
Haval,Haval H6,1.5T HEV Ultra Luxury,2024,16 300,Automatic,Fair Price,R 489 000
Haval,Haval H6,2.0T Luxury,2022,78 500,Automatic,Great Price,R 299 900
Haval,Haval Jolion,1.5T S Super Luxury,2023,73 000,Automatic,Great Price,R 309 900
Haval,Haval Jolion,1.5T Super Luxury,2022,78 427,Automatic,Great Price,R 274 900
Haval,Haval H6,1.5T HEV Ultra Luxury,2023,56 000,Automatic,Great Price,R 399 900
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2023,62 000,Automatic,Great Price,R 399 950
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2023,35 138,Automatic,Great Price,R 429 900
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2023,47 000,Automatic,Great Price,R 399 900
Haval,Haval H7,2.0T 4WD Super Luxury,2025,14 000,Automatic,Great Price,R 534 900
Haval,,,,,,Fair Price,
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,Haval Jolion Pro,1.5T S Ultra Luxury,2025,9 950,Automatic,Great Price,R 410 150
Haval,Haval Jolion,1.5T Super Luxury,2022,30 900,Automatic,Fair Price,R 309 990
Haval,Haval H6 C,2.0T Luxury Auto,2020,118 200,Automatic,Great Price,R 209 900
Haval,Haval Jolion Pro,1.5T Super Luxury,2024,21 000,Automatic,Great Price,R 349 900
Haval,Haval H2,1.5T Luxury,2020,34 587,Manual,Great Price,R 209 950
Haval,Haval H6,2.0T Luxury,2026,450,Automatic,Great Price,R 465 000
Haval,Haval Jolion Pro,1.5T Premium,2024,18 000,Automatic,Great Price,R 319 995
Haval,Haval H6 C,2.0T Luxury Auto,2019,139 000,Automatic,Great Price,R 199 900
Haval,Haval H6,2.0T Ultra Luxury 4WD,2025,16 225,Automatic,No Rating,R 489 900
Haval,Haval Jolion Pro,1.5 HEV Ultra Luxury,2026,8 141,Automatic,No Rating,R 454 900
Haval,ined,,unde,,,,
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2024,32 000,Automatic,Great Price,R 469 900
Haval,Haval Jolion,1.5T City Plus,2024,45 620,Automatic,Fair Price,R 299 990
Haval,Haval Jolion Pro,1.5T Super Luxury,2026,500,Automatic,No Rating,R 479 950
Haval,Haval H7,1.5T HEV Super Luxury Black Edition,2026,750,Automatic,No Rating,R 689 900
Haval,Haval H7,1.5T HEV Super Luxury Black Edition,2026,750,Automatic,No Rating,R 689 900
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,Haval H6,2.0T Luxury,2022,77 000,Automatic,Great Price,R 309 900
Haval,Haval Jolion Pro,1.5T Premium,2026,Automa,Petrol,No Rating,R 359 900
Haval,Haval Jolion,1.5 HEV Super Luxury,2023,57 524,Automatic,Great Price,R 354 500
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2024,49 500,Automatic,Fair Price,R 509 900
Haval,Haval H6,1.5T HEV Ultra Luxury,2025,50 000,Automatic,Fair Price,R 489 900
Haval,Haval H6,1.5T HEV Ultra Luxury,2025,18 379,Automatic,Fair Price,R 548 500
Haval,Haval H7,1.5T HEV Super Luxury,2025,9 147,Automatic,Fair Price,R 584 500
Haval,Haval Jolion Pro,1.5T Super Luxury Limited Edition,2026,3 800,Automatic,No Rating,R 384 995
Haval,Haval H6,2.0T 4WD Luxury,2024,30 150,Automatic,High Price,R 409 990
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2023,85 000,Automatic,Fair Price,R 389 900
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,Haval H6,2.0T 4WD Super Luxury,2024,61 856,Automatic,Fair Price,R 389 900
Haval,ined,,unde,,,,
Haval,Haval Jolion Pro,1.5T Super Luxury,2025,20 731,Automatic,Great Price,R 359 900
Haval,Haval Jolion,1.5T City Plus,2026,3 000,Automatic,No Rating,R 359 990
Haval,Haval Jolion Pro,1.5T Super Luxury,2026,Automa,Petrol,No Rating,R 428 950
Haval,Haval Jolion Pro,1.5T Super Luxury,2026,Automa,Petrol,No Rating,R 428 950
Haval,Haval Jolion Pro,1.5T Premium,2026,Automa,Petrol,No Rating,R 392 150
Haval,Haval Jolion Pro,1.5T Super Luxury,2026,Automa,Petrol,No Rating,R 428 950
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2022,48 500,Automatic,Great Price,R 399 999
Haval,Haval H2,1.5T Luxury,2019,96 000,Manual,Great Price,R 159 999
Haval,Haval Jolion Pro,1.5T Super Luxury,2024,12 000,Automatic,Fair Price,R 379 950
Haval,Haval Jolion,1.5T Super Luxury,2023,49 361,Automatic,Fair Price,R 339 900
Haval,Haval H6,2.0T 4WD Luxury,2022,112 653,Automatic,Fair Price,R 319 950
Haval,Haval Jolion,1.5T S Super Luxury,2024,30 210,Automatic,Fair Price,R 368 500
Haval,Haval Jolion,1.5T City Plus,2026,869,Automatic,No Rating,R 338 900
Haval,Haval Jolion,1.5T City Plus,2024,51 700,Automatic,Low Price,R 289 900
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,,,,,,No Rating,
Haval,Haval H1,1.5,2020,71 628,Manual,Fair Price,R 159 950
Haval,Haval Jolion,1.5T Super Luxury,2021,75 000,Automatic,Great Price,R 274 900
Haval,Haval Jolion,1.5T Super Luxury,2022,56 500,Automatic,Great Price,R 289 995
Haval,Haval Jolion,1.5T Premium,2022,38 720,Automatic,Great Price,R 249 150
Haval,Haval H6 GT,2.0GDIT 4WD Super Luxury,2024,42 986,Automatic,Fair Price,R 479 500
Haval,Haval Jolion,1.5T City Plus,2024,33 197,Automatic,Great Price,R 294 500
Haval,Haval H6 GT,2.0T 4WD Super Luxury,2023,95 500,Automatic,Great Price,R 369 900
Haval,ined,,unde,,,,
Haval,Haval H6,2.0T Premium,2021,112 000,Automatic,Great Price,R 264 990
