Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Honda,,,,,,No Rating,
Honda,,,,,,Great Price,
Honda,,,,,,Fair Price,
Honda,Honda Amaze,1.2 Trend,2024,40 845,Manual,Great Price,R 194 500
Honda,Honda HR-V,1.8 Elegance,2021,131 000,Automatic,Great Price,R 269 900
Honda,ined,,unde,,,,
Honda,Honda HR-V,1.8 Elegance,2016,152 111,Automatic,Great Price,R 189 995
Honda,Honda CR-V,2.2i-DTEC Elegance AWD Auto,2013,211 100,Automatic,No Rating,R 149 900
Honda,Honda Amaze,1.2 Comfort Auto,2024,44 500,Automatic,Great Price,R 204 900
Honda,Honda Amaze,1.2 Trend,2024,42 112,Manual,Great Price,R 194 900
Honda,Honda HR-V,1.5 Comfort,2019,75 000,Automatic,Fair Price,R 249 900
Honda,Honda Civic,Sedan 1.8 Elegance,2017,259 700,Automatic,Great Price,R 129 900
Honda,Honda HR-V,1.8 Elegance,2016,112 000,Automatic,Great Price,R 199 990
Honda,Honda Amaze,1.2 Comfort Auto,2024,42 757,Automatic,Great Price,R 208 500
Honda,,,,,,Fair Price,
Honda,,,,,,No Rating,
Honda,,,,,,Great Price,
Honda,Honda WR-V,1.2 Elegance,2023,42 500,Manual,Great Price,R 219 895
Honda,Honda CR-V,2.0 Comfort,2020,56 953,Automatic,Great Price,R 319 990
Honda,Honda Amaze,1.2 Comfort Auto,2024,43 100,Automatic,Fair Price,R 219 900
Honda,Honda Amaze,1.2 Trend,2026,10 000,Manual,Fair Price,R 239 899
Honda,Honda Jazz,1.3 Trend,2013,158 000,Manual,Fair Price,R 114 999
Honda,Honda CR-V,1.5T Executive AWD,2018,135 000,Automatic,No Rating,R 299 000
Honda,Honda HR-V,1.8 Elegance,2018,96 000,Automatic,Great Price,R 219 000
Honda,Honda Amaze,1.2 Trend,2025,40 000,Manual,Great Price,R 209 900
Honda,Honda Civic,Type R,2019,63 000,Manual,No Rating,R 699 900
Honda,Honda Amaze,1.2 Comfort Auto,2024,46 000,Automatic,Great Price,R 209 900
Honda,Honda Amaze,1.2 Comfort Auto,2024,46 000,Automatic,Great Price,R 209 900
Honda,Honda Amaze,1.2 Trend,2024,44 115,Manual,Fair Price,R 199 900
Honda,Honda BR-V,1.5 Trend,2023,25 132,Manual,No Rating,R 279 800
Honda,Honda Jazz,1.5 Elegance Auto,2021,88 400,Automatic,High Price,R 259 900
Honda,Honda Fit,1.5 Comfort,2026,105,Automatic,Fair Price,R 329 900
Honda,,,,,,Fair Price,
Honda,,,,,,Fair Price,
Honda,,,,,,High Price,
Honda,Honda BR-V,1.5 Elegance Auto,2021,76 000,Automatic,Great Price,R 264 888
Honda,Honda Amaze,1.2 Trend,2026,7 500,Manual,Low Price,R 214 900
Honda,Honda Jazz,1.5 Elegance Auto,2021,29 502,Automatic,Fair Price,R 259 950
Honda,Honda Amaze,1.2 Trend,2024,51 363,Manual,Fair Price,R 209 900
Honda,Honda HR-V,1.8 Elegance,2019,84 000,Automatic,Great Price,R 239 900
Honda,Honda Ballade,1.5 Elegance Auto,2017,333 000,Automatic,No Rating,R 119 950
Honda,Honda Amaze,1.2 Comfort Auto,2024,47 332,Automatic,Fair Price,R 214 900
Honda,Honda Ballade,1.5 Trend Auto,2017,213 000,Automatic,No Rating,R 129 900
Honda,ined,,unde,,,,
Honda,Honda Amaze,1.2 Comfort Auto,2026,101,Automatic,Great Price,R 274 800
Honda,Honda CR-V,2.0 Elegance,2019,121 000,Automatic,Great Price,R 279 900
Honda,,,,,,No Rating,
Honda,,,,,,No Rating,
Honda,,,,,,No Rating,
Honda,Honda WR-V,1.2 Elegance,2023,33 881,Manual,Great Price,R 219 950
Honda,Honda Elevate,1.5 Elegance,2026,50,Automatic,Fair Price,R 384 900
Honda,Honda Amaze,1.2 Trend,2025,101,Manual,Great Price,R 229 800
Honda,Honda Fit,1.5 Comfort,2026,101,Automatic,Great Price,R 309 800
Honda,Honda Elevate,1.5 Elegance,2026,50,Automatic,Fair Price,R 384 900
Honda,Honda BR-V,1.5 Elegance Auto,2020,151 200,Automatic,Fair Price,R 229 950
Honda,Honda Jazz,1.5 Sport,2018,44 100,Automatic,Fair Price,R 229 900
Honda,Honda Fit,1.5 Comfort,2026,50,Automatic,Fair Price,R 329 900
Honda,Honda Amaze,1.2 Trend,2026,7 887,Manual,Low Price,R 209 700
Honda,Honda HR-V,1.5 Elegance,2026,101,Automatic,Great Price,R 479 800
Honda,Honda Brio,Hatch 1.2 Comfort Auto,2019,82 000,Automatic,High Price,R 179 800
Honda,Honda Fit,1.5 Comfort,2026,50,Automatic,Great Price,R 319 900
Honda,Honda Fit,1.5 Comfort,2026,50,Automatic,Great Price,R 319 900
Honda,Honda Civic,Sedan 1.8 Elegance,2021,100 000,Automatic,No Rating,R 279 995
Honda,Honda Civic,Sedan 1.5T RS,2024,34 505,Automatic,Fair Price,R 489 895
Honda,,,,,,Fair Price,
Honda,,,,,,Great Price,
Honda,,,,,,No Rating,
