Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Isuzu,,,,,,No Rating,
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Great Price,
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,2023,40 500,Automatic,Great Price,R 679 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross,2026,10,Automatic,No Rating,R 838 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride Auto,2021,102 100,Automatic,Great Price,R 329 950
Isuzu,Isuzu KB,250D-Teq Double Cab X-Rider,2017,132 000,Manual,Fair Price,R 339 900
Isuzu,Isuzu mu-X,3.0TD Onyx XT 4WD,2026,274,Automatic,Great Price,R 929 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab LS Auto,2026,11,Automatic,Great Price,R 509 900
Isuzu,Isuzu mu-X,3.0TD Onyx 4x4,2025,19 755,Automatic,Great Price,R 799 900
Isuzu,Isuzu D-Max Gen 6,250 Double Cab Hi-Ride (Manual),2023,137 000,Manual,Great Price,R 344 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,2022,73 500,Manual,Fair Price,R 349 900
Isuzu,ined,,unde,,,,
Isuzu,Isuzu D-Max,3.0TD Extended Cab LSE,2024,51 000,Automatic,Fair Price,R 559 950
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max,1.9TD Single Cab,2025,21 000,Manual,Fair Price,R 399 900
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,2026,100,Manual,Fair Price,R 369 800
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,2021,100 500,Manual,Great Price,R 304 999
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,2026,100,Manual,Fair Price,R 369 800
Isuzu,Isuzu mu-X,3.0TD Onyx 4x4,2023,40 458,Automatic,Great Price,R 689 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,2025,29 000,Manual,No Rating,R 379 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride Auto,2022,56 000,Automatic,Fair Price,R 429 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab LS (Auto),2023,101 000,Automatic,Great Price,R 384 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,2026,3 000,Automatic,Fair Price,R 599 900
Isuzu,Isuzu KB,250D-Teq Double Cab LE,2019,173 992,Manual,No Rating,R 299 950
Isuzu,Isuzu mu-X,3.0TD Onyx XT 4WD,2026,100,Automatic,Great Price,R 920 000
Isuzu,Isuzu D-Max,250 Double Cab 4x4 Hi-Ride,2019,168 100,Manual,Fair Price,R 319 950
Isuzu,Isuzu KB,250D-Teq Double Cab X-Rider,2017,70 000,Manual,High Price,R 369 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,2021,144 000,Manual,Great Price,R 259 990
Isuzu,Isuzu D-Max Gen 6,250 Single Cab Fleetside Safety,2026,500,Manual,No Rating,R 374 900
Isuzu,,,,,,No Rating,
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,No Rating,
Isuzu,ined,,unde,,,,
Isuzu,Isuzu D-Max,1.9TD Single Cab Low-Rider,2026,500,Manual,No Rating,R 384 900
Isuzu,Isuzu D-Max,250C,2022,185 000,Manual,Fair Price,R 249 990
Isuzu,Isuzu D-Max,300 3.0TD Double Cab 4x4 LX Auto,2019,190 000,Automatic,High Price,R 449 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Manual,2024,24 899,Manual,Great Price,R 459 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,2023,113 200,Automatic,Fair Price,R 449 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Manual,2024,28 000,Manual,Great Price,R 519 950
Isuzu,Isuzu D-Max,1.9TD Single Cab L Auto,2025,30 358,Automatic,Great Price,R 389 900
Isuzu,Isuzu mu-X,3.0,2021,93 152,Automatic,Fair Price,R 449 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,2022,75 500,Manual,Great Price,R 349 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,2023,55 500,Automatic,Great Price,R 699 900
Isuzu,,,,,,No Rating,
Isuzu,,,,,,No Rating,
Isuzu,,,,,,Great Price,
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,2026,102,Automatic,Fair Price,R 579 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L Auto,2024,60 000,Automatic,Great Price,R 429 990
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross 4x4,2024,25 000,Automatic,Great Price,R 749 900
Isuzu,Isuzu D-Max Gen 6,250 Double Cab Hi-Ride (Manual),2024,236 504,Manual,Great Price,R 309 990
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Auto,2026,4 109,Automatic,Fair Price,R 619 700
Isuzu,Isuzu D-Max,1.9TD Single Cab L Manual,2024,35 335,Manual,Fair Price,R 369 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab LS (Auto),2023,48 000,Automatic,Fair Price,R 439 900
Isuzu,Isuzu D-Max,250C,2022,62 000,Manual,Fair Price,R 299 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L 4x4 Manual,2026,1 000,Manual,Great Price,R 539 900
Isuzu,Isuzu D-Max Gen 6,250C Single Cab,2024,100 212,Manual,Great Price,R 269 990
Isuzu,Isuzu D-Max,3.0TD Double Cab LSE 4x4,2026,10,Automatic,No Rating,R 844 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Auto,2025,6 348,Automatic,Fair Price,R 589 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,2025,24 000,Automatic,Great Price,R 499 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L 4x4 Manual,2024,71 162,Manual,Fair Price,R 449 900
Isuzu,Isuzu D-Max Gen 6,250C Single Cab Fleetside,2026,10 000,Manual,Great Price,R 339 900
Isuzu,,,,,,Great Price,
Isuzu,,,,,,Great Price,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max Gen 6,250C Single Cab,2024,200 000,Manual,Great Price,R 249 990
Isuzu,Isuzu D-Max,1.9TD Single Cab,2022,85 000,Manual,High Price,R 369 950
Isuzu,Isuzu mu-X,3.0TD LSE,2026,6 225,Automatic,No Rating,R 749 700
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Manual,2026,1 000,Manual,Great Price,R 569 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab LS Auto,2024,36 000,Automatic,Fair Price,R 479 900
Isuzu,Isuzu D-Max Gen 6,250C Single Cab,2026,8 000,Manual,Great Price,R 299 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross,2024,37 708,Automatic,Fair Price,R 689 900
Isuzu,Isuzu D-Max,1.9TD Extended Cab L,2023,101 000,Manual,Fair Price,R 369 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Manual,2026,10,Manual,Great Price,R 569 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride,2021,99 200,Manual,Fair Price,R 319 900
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Great Price,
Isuzu,,,,,,Great Price,
Isuzu,ined,,unde,,,,
Isuzu,Isuzu mu-X,3.0TD LSE,2023,94 000,Automatic,No Rating,R 559 900
Isuzu,Isuzu D-Max,1.9TD Single Cab L 4x4 Manual,2025,32 794,Manual,Fair Price,R 449 900
Isuzu,Isuzu D-Max,250 Double Cab Hi-Ride Auto,2022,88 500,Automatic,Fair Price,R 359 900
Isuzu,Isuzu mu-X,3.0TD Onyx XT 4WD,2025,14 288,Automatic,Fair Price,R 869 900
Isuzu,Isuzu D-Max,1.9TD Single Cab,2026,1 000,Manual,High Price,R 457 000
Isuzu,Isuzu D-Max Gen 6,250C Single Cab Fleetside,2025,1 000,Manual,Great Price,R 334 900
Isuzu,Isuzu D-Max,1.9TD Double Cab L Auto,2026,7 500,Automatic,Fair Price,R 519 950
Isuzu,Isuzu D-Max,1.9TD Double Cab L Manual,2025,132,Manual,Great Price,R 460 000
Isuzu,Isuzu mu-X,3.0TD LSE,2023,85 880,Automatic,Fair Price,R 599 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Manual,2026,Man,Diesel,No Rating,R 569 995
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider 4x4 Auto,2025,29 000,Automatic,Fair Price,R 629 950
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,2024,22 000,Automatic,Fair Price,R 529 900
Isuzu,Isuzu D-Max,3.0TD Double Cab V-Cross,2023,58 000,Automatic,Fair Price,R 669 900
Isuzu,Isuzu mu-X,3.0TD Onyx XT 4WD,2026,101,Automatic,Great Price,R 919 900
Isuzu,Isuzu mu-X,1.9TD LS,2026,5 000,Automatic,No Rating,R 679 900
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max,3.0TD Double Cab LS 4x4 Auto,2026,5 000,Automatic,No Rating,R 749 900
Isuzu,Isuzu D-Max,1.9TD Single Cab,2023,110 000,Manual,Fair Price,R 324 899
Isuzu,Isuzu D-Max,1.9TD Double Cab L Manual,2023,24 850,Manual,Fair Price,R 479 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Auto,2025,33 822,Automatic,Fair Price,R 589 950
Isuzu,Isuzu D-Max Gen 6,250 Single Cab Fleetside Safety,2026,10,Manual,Great Price,R 374 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Manual,2026,1 500,Manual,Fair Price,R 619 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,2020,190 000,Manual,Fair Price,R 259 990
Isuzu,Isuzu D-Max,250C Fleetside,2021,165 000,Manual,Fair Price,R 249 990
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,2026,150,Manual,Low Price,R 334 900
Isuzu,ined,,unde,,,,
Isuzu,Isuzu mu-X,3.0TD LS 4x4,2024,53 450,Automatic,Fair Price,R 619 900
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Fair Price,
Isuzu,Isuzu mu-X,3.0TD LS 4x4,2024,55 000,Automatic,Fair Price,R 609 900
Isuzu,Isuzu mu-X,3.0TD LS 4x4,2024,54 800,Automatic,Fair Price,R 619 900
Isuzu,Isuzu D-Max,1.9 DDI HR X-RIDER AT,2024,36 000,Automatic,Fair Price,R 579 995
Isuzu,Isuzu D-Max,1.9TD Double Cab LS Auto,2023,148 238,Automatic,Fair Price,R 410 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS 4x4,2023,83 839,Automatic,Fair Price,R 479 900
Isuzu,Isuzu D-Max,250C Fleetside,2019,78 000,Manual,Fair Price,R 289 950
Isuzu,Isuzu D-Max,1.9TD Single Cab L (Manual),2022,150 500,Manual,Great Price,R 259 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,2022,172 273,Manual,Fair Price,R 259 900
Isuzu,Isuzu D-Max,250 Fleetside Safety,2022,178 062,Manual,Fair Price,R 259 900
Isuzu,Isuzu D-Max,3.0TD Double Cab LSE 4x4,2025,29 500,Automatic,Fair Price,R 759 800
Isuzu,Isuzu D-Max,3.0TD Extended Cab LSE 4x4,2024,52 100,Automatic,Fair Price,R 629 800
Isuzu,Isuzu D-Max Gen 6,250C Single Cab Fleetside,2024,51 500,Manual,Fair Price,R 329 900
Isuzu,Isuzu KB,300D-Teq Double Cab LX,2016,167 000,Manual,Great Price,R 279 900
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Auto,2026,Automa,Diesel,No Rating,R 589 995
Isuzu,Isuzu D-Max,250C Fleetside S/C P/U,2026,586,Manual,Fair Price,R 389 900
Isuzu,,,,,,Fair Price,
Isuzu,,,,,,Great Price,
Isuzu,,,,,,No Rating,
Isuzu,Isuzu D-Max,1.9TD Double Cab LS X-Rider Manual,2026,Man,Diesel,No Rating,R 569 995
Isuzu,Isuzu D-Max,1.9TD Double Cab LS (Auto),2023,97 578,Automatic,Fair Price,R 449 900
Isuzu,Isuzu D-Max,250 Double Cab X-Rider X Limited,2021,93 000,Manual,No Rating,R 409 900
Isuzu,Isuzu D-Max Gen 6,250C Single Cab,2026,150,Manual,Great Price,R 309 900
