Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
JAECOO,,,,,,Great Price,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J7,1.5T SHS,2026,1 500,Automatic,Great Price,R 617 800
JAECOO,Jaecoo J5,1.5T Vortex,2026,5 500,Automatic,Fair Price,R 359 900
JAECOO,Jaecoo J7,1.6T Inferno AWD,2026,1 013,Automatic,Fair Price,R 594 800
JAECOO,Jaecoo J7,1.5T SHS,2026,5 500,Automatic,Fair Price,R 649 900
JAECOO,Jaecoo J7,1.6T Inferno AWD,2025,13 500,Automatic,Great Price,R 445 000
JAECOO,Jaecoo J7,1.6T Inferno AWD,2026,300,Automatic,Fair Price,R 594 800
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J7,1.5T SHS,2026,Automa,Hybrid,No Rating,R 608 700
JAECOO,,,,,,No Rating,
JAECOO,,,,,,High Price,
JAECOO,,,,,,Great Price,
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J7,1.6T Glacier,2026,Automa,Petrol,No Rating,R 508 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,Automa,Petrol,No Rating,R 508 900
JAECOO,Jaecoo J5,1.5T Core,2026,Automa,Petrol,No Rating,R 298 900
JAECOO,Jaecoo J5,1.5T Core,2026,Automa,Petrol,No Rating,R 298 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J5,1.5T Core,2026,Automa,Petrol,No Rating,R 298 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,,,,,,Great Price,
JAECOO,,,,,,Great Price,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,Jaecoo J7,1.5T SHS,2026,Automa,Hybrid,No Rating,R 608 700
JAECOO,Jaecoo J7,1.6T Glacier,2026,Automa,Petrol,No Rating,R 508 900
JAECOO,Jaecoo J5,1.5T Core,2026,Automa,Petrol,No Rating,R 298 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J7,1.6T Glacier,2026,Automa,Petrol,No Rating,R 508 900
JAECOO,Jaecoo J7,1.6T Vortex,2025,34 600,Automatic,Fair Price,R 419 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,1 400,Automatic,Great Price,R 329 890
JAECOO,Jaecoo J7,1.5T SHS,2026,5,Automatic,Great Price,R 605 000
JAECOO,Jaecoo J5,1.5T Vortex,2026,5,Automatic,Great Price,R 339 900
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J5,1.5T Vortex,2026,5 500,Automatic,Fair Price,R 359 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,10 000,Automatic,Fair Price,R 424 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,19,Automatic,Great Price,R 435 000
JAECOO,Jaecoo J7,1.6T Vortex,2026,22,Automatic,Great Price,R 435 000
JAECOO,Jaecoo J7,1.5T SHS,2025,6 000,Automatic,Great Price,R 579 900
JAECOO,Jaecoo J7,1.5T SHS,2026,Automa,Hybrid,No Rating,R 689 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 448 000
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J7,1.5T SHS,2025,9 292,Automatic,Great Price,R 559 900
JAECOO,Jaecoo J7,1.6T Glacier,2025,1 500,Automatic,Fair Price,R 508 700
JAECOO,Jaecoo J7,1.6T Vortex,2026,12,Automatic,Great Price,R 448 000
JAECOO,Jaecoo J7,1.6T Vortex,2026,12,Automatic,Great Price,R 448 000
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 349 500
JAECOO,Jaecoo J7,1.6T Glacier,2026,Automa,Petrol,No Rating,R 524 500
JAECOO,Jaecoo J5,1.5T Vortex,2026,2 100,Automatic,Great Price,R 329 890
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J7,1.6T Glacier,2026,17 500,Automatic,Great Price,R 439 000
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 480,Automatic,Great Price,R 384 890
JAECOO,Jaecoo J7,1.6T Glacier,2024,17 000,Automatic,Great Price,R 429 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,5,Automatic,No Rating,R 479 990
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,12,Automatic,Great Price,R 394 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,12,Automatic,Great Price,R 334 900
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J5,1.5T Vortex,2026,12,Automatic,Great Price,R 334 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,12,Automatic,Great Price,R 334 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,12,Automatic,Great Price,R 334 900
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 890,Automatic,Great Price,R 379 860
JAECOO,Jaecoo J5,1.5T Glacier,2026,3 100,Automatic,Great Price,R 399 890
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Fair Price,R 439 900
JAECOO,Jaecoo J7,1.6T Inferno AWD,2024,35 000,Automatic,Fair Price,R 459 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Fair Price,R 439 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,12 500,Automatic,Fair Price,R 414 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,Automa,Petrol,No Rating,R 479 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 369 900
JAECOO,Jaecoo J7,1.5T SHS,2025,12 099,Automatic,Great Price,R 559 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 000,Automatic,Fair Price,R 439 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,,,,,,No Rating,
JAECOO,,,,,,Great Price,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 379 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,4 500,Automatic,Great Price,R 449 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,1 250,Automatic,Great Price,R 339 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,2 500,Automatic,Fair Price,R 349 900
JAECOO,Jaecoo J7,1.6T Inferno AWD,2026,5,Automatic,High Price,R 669 900
JAECOO,Jaecoo J7,1.6T Vortex,2025,12 148,Automatic,Great Price,R 409 900
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,,,,,,Fair Price,
JAECOO,,,,,,Fair Price,
JAECOO,,,,,,Fair Price,
JAECOO,Jaecoo J5,1.5T Vortex,2026,101,Automatic,Great Price,R 339 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 369 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 369 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 369 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,29,Automatic,Great Price,R 435 000
JAECOO,Jaecoo J5,1.5T Glacier,2026,6 125,Automatic,Great Price,R 389 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,28,Automatic,Great Price,R 495 000
JAECOO,Jaecoo J7,1.6T Vortex,2026,1 250,Automatic,High Price,R 519 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,12,Automatic,Fair Price,R 508 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,12,Automatic,Fair Price,R 508 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,12,Automatic,Fair Price,R 508 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,12,Automatic,Fair Price,R 508 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,100,Automatic,Great Price,R 399 900
JAECOO,Jaecoo J5,1.5T Core,2026,200,Automatic,No Rating,R 309 995
JAECOO,Jaecoo J5,1.5T Vortex,2025,7 500,Automatic,Fair Price,R 329 900
JAECOO,,,,,,Great Price,
JAECOO,,,,,,Great Price,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J5,1.5T Inferno,2026,2 300,Automatic,No Rating,R 429 890
JAECOO,Jaecoo J5,1.5T Vortex,2026,1 000,Automatic,High Price,R 379 900
JAECOO,Jaecoo J5,1.5T Core,2026,500,Automatic,No Rating,R 339 990
JAECOO,Jaecoo J5,1.5T Glacier,2026,6 000,Automatic,Great Price,R 384 000
JAECOO,Jaecoo J5,1.5T Glacier,2026,10 000,Automatic,Great Price,R 384 000
JAECOO,Jaecoo J5,1.5T Vortex,2026,4 000,Automatic,Fair Price,R 329 900
JAECOO,Jaecoo J7,1.6T Inferno AWD,2026,250,Automatic,Fair Price,R 594 800
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J7,1.6T Glacier,2026,29,Automatic,Great Price,R 495 000
JAECOO,Jaecoo J5,1.5T Core,2026,Automa,Petrol,No Rating,R 298 900
JAECOO,Jaecoo J7,1.5T SHS,2026,Automa,Hybrid,No Rating,R 605 900
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J7,1.6T Inferno AWD,2026,Automa,Petrol,No Rating,R 599 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,Automa,Petrol,No Rating,R 508 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,Automa,Petrol,No Rating,R 447 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 394 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 333 500
JAECOO,Jaecoo J7,1.6T Glacier,2025,22 897,Automatic,Great Price,R 429 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 800,Automatic,Great Price,R 384 890
JAECOO,Jaecoo J5,1.5T Inferno,2025,7 096,Automatic,No Rating,R 389 900
JAECOO,Jaecoo J7,1.5T SHS,2025,6 594,Automatic,Fair Price,R 589 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,12,Automatic,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,12,Automatic,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,12,Automatic,No Rating,R 429 900
JAECOO,Jaecoo J7,1.6T Vortex,2026,2 000,Automatic,Great Price,R 449 890
JAECOO,Jaecoo J7,1.5T SHS,2026,3 358,Automatic,Fair Price,R 644 900
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,Fair Price,
JAECOO,Jaecoo J7,1.6T Vortex,2025,1 150,Automatic,Fair Price,R 489 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Fair Price,R 414 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,5 500,Automatic,Fair Price,R 409 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,1 250,Automatic,Fair Price,R 519 900
JAECOO,Jaecoo J5,1.5T Core,2026,1 250,Automatic,No Rating,R 319 900
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Fair Price,R 409 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,1 900,Automatic,Great Price,R 498 890
JAECOO,Jaecoo J7,1.5T SHS,2026,4 500,Automatic,Fair Price,R 639 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,2 150,Automatic,Great Price,R 329 890
JAECOO,Jaecoo J7,1.6T Glacier,2026,5,Automatic,Fair Price,R 559 900
JAECOO,,,,,,Great Price,
JAECOO,,,,,,Great Price,
JAECOO,,,,,,Low Price,
JAECOO,Jaecoo J5,1.5T Core,2026,1 500,Automatic,No Rating,R 319 900
JAECOO,Jaecoo J7,1.6T Glacier,2025,23 796,Automatic,Great Price,R 429 900
JAECOO,Jaecoo J5,1.5T Core,2026,200,Automatic,No Rating,R 344 888
JAECOO,Jaecoo J5,1.5T Vortex,2026,100,Automatic,Great Price,R 337 900
JAECOO,Jaecoo J7,1.5T SHS,2026,Automa,Hybrid,No Rating,R 639 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,Automa,Petrol,No Rating,R 369 900
JAECOO,Jaecoo J7,1.6T Vortex,2025,9 200,Automatic,Great Price,R 399 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,9 500,Automatic,Great Price,R 319 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,15,Automatic,Great Price,R 335 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,16,Automatic,Great Price,R 335 900
JAECOO,Jaecoo J5,1.5T Vortex,2026,1 500,Automatic,Great Price,R 329 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,21,Automatic,No Rating,R 449 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,Automa,Petrol,No Rating,R 464 900
JAECOO,,,,,,No Rating,
JAECOO,,,,,,No Rating,
JAECOO,,,,,,Fair Price,
JAECOO,Jaecoo J5,1.5T Glacier,2026,5 300,Automatic,Great Price,R 374 880
JAECOO,Jaecoo J7,1.6T Vortex,2026,2 500,Automatic,Great Price,R 449 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,Automa,Petrol,No Rating,R 429 900
JAECOO,Jaecoo J7,1.5T SHS,2026,2 490,Automatic,Great Price,R 619 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Great Price,R 389 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Great Price,R 389 900
JAECOO,Jaecoo J5,1.5T Glacier,2026,1 250,Automatic,Great Price,R 389 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,19,Automatic,Great Price,R 495 000
JAECOO,Jaecoo J7,1.6T Glacier,2025,10 000,Automatic,Great Price,R 429 900
JAECOO,ined,,unde,,,,
JAECOO,Jaecoo J7,1.5T SHS,2025,1 500,Automatic,Great Price,R 609 800
JAECOO,,,,,,Great Price,
JAECOO,,,,,,Great Price,
JAECOO,,,,,,No Rating,
JAECOO,Jaecoo J7,1.6T Vortex,2025,30 000,Automatic,Great Price,R 409 900
JAECOO,Jaecoo J5,1.5T Core,2026,200,Automatic,No Rating,R 309 900
JAECOO,Jaecoo J7,1.6T Glacier,2025,10 956,Automatic,Fair Price,R 479 900
JAECOO,Jaecoo J5,1.5T Inferno,2026,15 212,Automatic,No Rating,R 399 900
JAECOO,Jaecoo J7,1.6T Vortex,2025,8 000,Automatic,Low Price,R 399 900
JAECOO,Jaecoo J7,1.6T Glacier,2026,6 777,Automatic,Fair Price,R 489 900
JAECOO,Jaecoo J7,1.5T SHS,2026,5 942,Automatic,Great Price,R 609 900
JAECOO,Jaecoo J5,1.5T Core,2026,450,Automatic,No Rating,R 304 995
