Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Jaguar,,,,,,No Rating,
Jaguar,,,,,,Fair Price,
Jaguar,,,,,,Fair Price,
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2024,12 000,Automatic,Fair Price,R 979 950
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2024,22 000,Automatic,Great Price,R 869 950
Jaguar,Jaguar F-Type,S Coupe,2016,29 950,Automatic,Fair Price,R 729 950
Jaguar,Jaguar F-Pace,30d AWD R-Sport,2017,133 000,Automatic,No Rating,R 429 950
Jaguar,Jaguar E-Pace,P300 AWD R-Dynamic HSE,2018,126 000,Automatic,No Rating,R 359 950
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic HSE,2022,39 300,Automatic,No Rating,R 569 900
Jaguar,Jaguar XF,20d R-Sport,2018,143 000,Automatic,No Rating,R 249 900
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2024,24 989,Automatic,Fair Price,R 1 039 999
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic SE,2024,17 400,Automatic,No Rating,R 849 900
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2024,24 000,Automatic,Great Price,R 899 950
Jaguar,,,,,,Fair Price,
Jaguar,,,,,,No Rating,
Jaguar,,,,,,No Rating,
Jaguar,Jaguar XK,5.0 Luxury,2010,85 500,Automatic,No Rating,R 425 995
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2024,22 500,Automatic,Great Price,R 899 950
Jaguar,Jaguar XF,3.0 Supercharged Premium Luxury,2013,150 106,Automatic,No Rating,R 189 995
Jaguar,Jaguar F-Pace,SVR,2020,65 000,Automatic,Great Price,R 779 900
Jaguar,ined,,unde,,,,
Jaguar,Jaguar I-Pace,EV400 AWD S Black,2025,17 500,Automatic,No Rating,R 1 099 990
Jaguar,Jaguar F-Pace,SVR,2021,45 273,Automatic,No Rating,R 899 900
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic SE,2023,64 000,Automatic,No Rating,R 619 990
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic SE,2024,17 000,Automatic,No Rating,R 899 950
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic HSE,2022,31 680,Automatic,No Rating,R 619 990
Jaguar,Jaguar E-Pace,D240 AWD R-Dynamic HSE,2019,72 000,Automatic,No Rating,R 529 900
Jaguar,Jaguar XE,20d R-Sport,2017,119 000,Automatic,No Rating,R 229 900
Jaguar,Jaguar E-Pace,D150 AWD S,2018,134 523,Automatic,No Rating,R 299 800
Jaguar,Jaguar E-Pace,D240 AWD R-Dynamic SE,2019,96 000,Automatic,No Rating,R 364 890
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic SE,2024,18 000,Automatic,No Rating,R 879 950
Jaguar,Jaguar F-Pace,30d AWD R-Sport,2020,124 000,Automatic,No Rating,R 499 900
Jaguar,,,,,,No Rating,
Jaguar,,,,,,No Rating,
Jaguar,,,,,,No Rating,
Jaguar,Jaguar F-Type,Convertible,2015,63 000,Automatic,No Rating,R 509 900
Jaguar,Jaguar F-Pace,20d AWD R-Sport,2019,123 558,Automatic,No Rating,R 349 800
Jaguar,Jaguar E-Pace,D240 AWD R-Dynamic SE,2018,53 000,Automatic,No Rating,R 399 950
Jaguar,Jaguar E-Pace,D200 AWD R-Dynamic HSE,2025,19 000,Automatic,No Rating,R 899 950
Jaguar,Jaguar E-Pace,D180 AWD HSE,2019,55 343,Automatic,No Rating,R 399 900
Jaguar,Jaguar E-Pace,P250 AWD R-Dynamic SE,2020,96 819,Automatic,No Rating,R 468 800
Jaguar,Jaguar I-Pace,EV400 AWD HSE,2019,121 000,Automatic,No Rating,R 599 990
Jaguar,Jaguar F-Pace,SVR,2020,64 600,Automatic,Fair Price,R 849 990
Jaguar,Jaguar F-Pace,20d AWD R-Sport,2019,78 000,Automatic,No Rating,R 360 000
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2023,48 210,Automatic,Great Price,R 825 900
Jaguar,,,,,,Great Price,
Jaguar,,,,,,Great Price,
Jaguar,,,,,,No Rating,
Jaguar,Jaguar F-Type,S Coupe,2017,36 000,Automatic,Fair Price,R 749 950
Jaguar,Jaguar F-Pace,P250 AWD S,2021,53 000,Automatic,No Rating,R 799 900
Jaguar,Jaguar F-Pace,SVR,2020,68 658,Automatic,Fair Price,R 889 900
Jaguar,Jaguar F-Pace,SVR,2019,85 240,Automatic,Fair Price,R 799 990
Jaguar,Jaguar F-Type,S Coupe,2016,41 000,Automatic,Fair Price,R 629 900
Jaguar,ined,,unde,,,,
Jaguar,Jaguar F-Pace,D300 AWD R-Dynamic HSE,2024,32 000,Automatic,No Rating,R 1 149 950
Jaguar,Jaguar F-Pace,30d AWD S,2018,115 568,Automatic,No Rating,R 419 995
Jaguar,Jaguar F-Pace,D200 AWD R-Dynamic SE,2024,14 186,Automatic,Fair Price,R 1 069 500
Jaguar,Jaguar F-Pace,SVR,2021,39 000,Automatic,Fair Price,R 1 099 990
Jaguar,Jaguar F-Pace,SVR,2019,88 000,Automatic,Fair Price,R 729 900
Jaguar,Jaguar F-Type,SVR Coupe AWD,2018,66 100,Automatic,No Rating,R 1 299 000
Jaguar,Jaguar E-Pace,D180 AWD SE,2019,123 136,Automatic,No Rating,R 334 900
Jaguar,Jaguar F-Pace,20d AWD R-Sport,2019,162 758,Automatic,No Rating,R 399 995
