Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Jeep,,,,,,Fair Price,
Jeep,,,,,,High Price,
Jeep,,,,,,Fair Price,
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2017,162 259,Automatic,Great Price,R 399 600
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2015,120 563,Automatic,Great Price,R 359 600
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2017,187 117,Automatic,Fair Price,R 399 600
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2022,36 000,Automatic,Great Price,R 919 900
Jeep,Jeep Renegade,1.6L Longitude,2016,176 000,Manual,Great Price,R 129 900
Jeep,Jeep Wrangler,3.6L Rubicon,2018,106 500,Automatic,No Rating,R 449 995
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2015,155 000,Automatic,Fair Price,R 439 900
Jeep,Jeep Grand Cherokee,3.6L Overland,2020,77 000,Automatic,No Rating,R 539 900
Jeep,ined,,unde,,,,
Jeep,Jeep Wrangler,Unlimited 3.6 Rubicon,2021,70 000,Automatic,Fair Price,R 799 900
Jeep,Jeep Wrangler,3.6L Sahara,2014,133 494,Automatic,Great Price,R 299 950
Jeep,,,,,,Fair Price,
Jeep,,,,,,Great Price,
Jeep,,,,,,Great Price,
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Limited,2023,29 000,Automatic,Great Price,R 779 900
Jeep,Jeep Wrangler,Sahara (6 Wheel) 2.0 Turbo,2025,7 500,Automatic,No Rating,R 1 019 900
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2016,184 500,Automatic,Great Price,R 379 900
Jeep,Jeep Wrangler,4.0L Sahara Auto,2006,171 159,Automatic,No Rating,R 179 000
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2015,161 315,Automatic,Great Price,R 379 600
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2017,173 991,Automatic,Great Price,R 399 600
Jeep,Jeep Wrangler,Unlimited 3.6 Rubicon,2022,32 034,Automatic,Great Price,R 839 000
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2025,26 000,Automatic,No Rating,R 1 220 000
Jeep,Jeep Wrangler,3.6L Sahara,2014,142 000,Automatic,Great Price,R 299 995
Jeep,Jeep Wrangler,4.0L Sahara Auto,2006,74 000,Automatic,No Rating,R 279 995
Jeep,Jeep Wrangler,Unlimited 3.8L Rubicon,2008,154 000,Automatic,High Price,R 305 000
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Limited,2023,64 600,Automatic,Fair Price,R 679 999
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2015,95 741,Automatic,Fair Price,R 439 900
Jeep,Jeep Wrangler,Unlimited 3.6L Rubicon,2013,142 700,Automatic,Fair Price,R 399 900
Jeep,Jeep Wrangler,Unlimited 2.8CRD Sahara,2012,181 959,Automatic,Fair Price,R 309 600
Jeep,,,,,,Fair Price,
Jeep,,,,,,No Rating,
Jeep,,,,,,No Rating,
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Limited,2025,14 000,Automatic,Great Price,R 829 900
Jeep,Jeep Wrangler,Unlimited 3.6 Sahara,2020,120 000,Automatic,Great Price,R 499 900
Jeep,Jeep Wrangler,3.6L Sahara,2017,77 956,Automatic,Fair Price,R 499 900
Jeep,Jeep Grand Cherokee,SRT,2015,124 784,Automatic,Fair Price,R 499 950
Jeep,Jeep Renegade,1.4T Limited,2022,81 841,Automatic,Fair Price,R 309 900
Jeep,Jeep Renegade,1.4T Sport,2020,65 000,Manual,No Rating,R 199 900
Jeep,Jeep Renegade,1.4T Longitude,2023,30 500,Automatic,No Rating,R 329 500
Jeep,Jeep Grand Cherokee,3.0CRD Overland,2015,145 408,Automatic,Great Price,R 209 995
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Limited,2025,6 000,Automatic,No Rating,R 809 900
Jeep,ined,,unde,,,,
Jeep,Jeep Cherokee,3.2L 4x4 Limited,2015,173 000,Automatic,No Rating,R 164 899
Jeep,,,,,,Fair Price,
Jeep,,,,,,Great Price,
Jeep,,,,,,Great Price,
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2023,20 000,Automatic,Great Price,R 929 900
Jeep,Jeep Wrangler,Unlimited 2.0t Sahara,2025,6 500,Automatic,Great Price,R 1 019 900
Jeep,Jeep Grand Cherokee,3.6 4x4 Overland,2026,Automa,Petrol,No Rating,R 1 169 900
Jeep,Jeep Wrangler,Unlimited 3.6 Sahara,2021,73 500,Automatic,Great Price,R 679 900
Jeep,Jeep Wrangler,Unlimited 2.0T Rubicon,2026,Automa,Petrol,No Rating,R 1 279 900
Jeep,Jeep Compass,1.4T Limited,2021,59 154,Manual,No Rating,R 309 995
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2016,105 600,Automatic,Great Price,R 399 900
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2025,12 316,Automatic,No Rating,R 1 149 995
Jeep,Jeep Wrangler,Unlimited 3.6 Rubicon,2023,27 500,Automatic,Great Price,R 899 000
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2018,132 760,Automatic,Great Price,R 449 900
Jeep,Jeep Cherokee,2.0T Trailhawk 4x4,2020,64 000,Automatic,No Rating,R 319 950
Jeep,Jeep Wrangler,Unlimited 2.0T Rubicon,2026,101,Automatic,High Price,R 1 339 900
Jeep,Jeep Grand Cherokee,3.6 4x4 Limited,2025,250,Automatic,No Rating,R 879 900
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2015,25 740,Automatic,High Price,R 799 900
Jeep,Jeep Grand Cherokee,SRT,2021,98 500,Automatic,No Rating,R 849 950
Jeep,,,,,,Fair Price,
Jeep,,,,,,Fair Price,
Jeep,,,,,,Great Price,
Jeep,Jeep Wrangler,Unlimited 2.0t Sahara,2026,Automa,Petrol,No Rating,R 1 129 900
Jeep,Jeep Renegade,1.4T Sport,2022,41 500,Manual,Great Price,R 249 500
Jeep,Jeep Wrangler,Unlimited 3.6L Rubicon,2017,125 200,Automatic,Fair Price,R 419 850
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Limited,2023,59 942,Automatic,High Price,R 739 995
Jeep,Jeep Renegade,1.4T Longitude,2023,42 000,Automatic,High Price,R 369 950
Jeep,Jeep Renegade,1.4T Longitude,2020,91 810,Manual,No Rating,R 279 900
Jeep,Jeep Wrangler,Unlimited 2.0T Rubicon,2025,8 200,Automatic,Fair Price,R 1 099 900
Jeep,ined,,unde,,,,
Jeep,Jeep Wrangler,Unlimited 3.6 Rubicon,2024,33 000,Automatic,Fair Price,R 949 900
Jeep,Jeep Wrangler,Unlimited 3.6L Rubicon,2016,123 000,Automatic,Fair Price,R 479 900
Jeep,Jeep Grand Cherokee,3.0CRD Overland,2018,155 000,Automatic,No Rating,R 319 900
Jeep,,,,,,Great Price,
Jeep,,,,,,High Price,
Jeep,,,,,,Fair Price,
Jeep,Jeep Wrangler,Unlimited 2.8CRD Sahara,2017,164 000,Automatic,Great Price,R 409 990
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Summit Reserve,2022,54 500,Automatic,Fair Price,R 899 900
Jeep,Jeep Wrangler,Unlimited 2.8CRD Sahara,2016,85 216,Automatic,Great Price,R 499 900
Jeep,Jeep Grand Cherokee,L 3.6 4x4 Overland,2024,26 000,Automatic,Fair Price,R 949 900
Jeep,Jeep Cherokee,2.4L Longitude,2015,128 698,Automatic,No Rating,R 149 800
Jeep,Jeep Grand Cherokee,3.6 4x4 Limited,2025,3 720,Automatic,No Rating,R 849 990
Jeep,Jeep Wrangler,Unlimited 2.0T Rubicon,2026,Automa,Petrol,No Rating,R 1 279 900
Jeep,Jeep Grand Cherokee,SRT,2015,127 000,Automatic,Fair Price,R 499 950
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2024,40 000,Automatic,Great Price,R 919 900
Jeep,Jeep Grand Cherokee,3.6L Overland,2020,77 000,Automatic,No Rating,R 559 995
Jeep,Jeep Grand Cherokee,3.0CRD Limited,2015,212 000,Automatic,Low Price,R 179 899
Jeep,Jeep Grand Cherokee,3.6L Trailhawk,2021,133 000,Automatic,No Rating,R 459 900
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2016,168 567,Automatic,Fair Price,R 419 900
Jeep,Jeep Wrangler,3.6L Sahara,2015,162 951,Automatic,Fair Price,R 379 800
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2022,31 000,Automatic,Great Price,R 919 900
Jeep,,,,,,Fair Price,
Jeep,,,,,,No Rating,
Jeep,,,,,,Great Price,
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2016,137 132,Automatic,Fair Price,R 428 900
Jeep,Jeep Grand Cherokee,3.6 4x4 Overland,2023,72 000,Automatic,High Price,R 849 900
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2022,44 000,Automatic,Great Price,R 899 990
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2017,107 695,Automatic,High Price,R 499 990
Jeep,Jeep Gladiator,3.6 Rubicon Double Cab,2023,73 000,Automatic,Fair Price,R 949 899
Jeep,ined,,unde,,,,
Jeep,Jeep Wrangler,Unlimited 2.0t Sahara,2026,1 380,Automatic,High Price,R 1 299 900
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2015,94 000,Automatic,Fair Price,R 499 900
Jeep,Jeep Wrangler,Unlimited 2.8CRD Sahara,2015,113 340,Automatic,Great Price,R 399 995
Jeep,Jeep Grand Cherokee,3.6L Overland,2018,127 000,Automatic,Fair Price,R 349 900
Jeep,Jeep Grand Cherokee,3.6 4x4 Limited,2025,30 000,Automatic,No Rating,R 849 900
Jeep,,,,,,No Rating,
Jeep,,,,,,No Rating,
Jeep,,,,,,No Rating,
Jeep,Jeep Grand Cherokee,SRT,2020,76 500,Automatic,No Rating,R 979 900
Jeep,Jeep Grand Cherokee,3.0CRD Overland,2015,164 000,Automatic,Fair Price,R 279 995
Jeep,Jeep Renegade,1.4T Limited,2022,47 700,Automatic,Fair Price,R 284 950
Jeep,Jeep Wrangler,Unlimited 2.0T Rubicon,2026,6 500,Automatic,Fair Price,R 1 149 995
Jeep,Jeep Wrangler,Unlimited 3.6L Sahara,2016,155 537,Automatic,Fair Price,R 439 950
Jeep,Jeep Wrangler,Unlimited 2.0t Sahara,2025,17 000,Automatic,Great Price,R 989 900
Jeep,Jeep Wrangler,Unlimited 3.6 Rubicon,2024,19 800,Automatic,High Price,R 1 200 000
