Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour T2,2.0T Odyssey Dark Knight XWD,2026,78,Automatic,No Rating,R 729 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,4 500,Automatic,Great Price,R 409 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,10 803,Automatic,Great Price,R 399 900
Jetour,Jetour T2,2.0T Odyssey XWD,2025,8 300,Automatic,No Rating,R 679 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,1 500,Automatic,Great Price,R 439 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2026,6 641,Automatic,Great Price,R 429 000
Jetour,Jetour T2,2.0T Odyssey XWD,2026,100,Automatic,No Rating,R 789 000
Jetour,Jetour T1,2.0T Odyssey XWD,2026,5 000,Automatic,No Rating,R 599 995
Jetour,Jetour Dashing,1.5T Deluxe,2026,126,Automatic,Great Price,R 450 000
Jetour,Jetour T2,2.0T Odyssey XWD,2026,500,Automatic,No Rating,R 669 950
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour T1,1.5T Edge,2026,2 480,Automatic,No Rating,R 514 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,23 000,Automatic,Great Price,R 409 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,1 500,Automatic,Great Price,R 439 800
Jetour,Jetour T2,1.5T i-DM PHEV,2026,300,Automatic,No Rating,R 829 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,200,Automatic,No Rating,R 829 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,200,Automatic,No Rating,R 829 900
Jetour,ined,,unde,,,,
Jetour,Jetour T2,1.5T i-DM PHEV,2026,100,Automatic,No Rating,R 879 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,80,Automatic,No Rating,R 849 990
Jetour,Jetour X70 Plus,1.5T Deluxe,2026,Automa,Petrol,No Rating,R 484 900
Jetour,Jetour Dashing,1.5T Momentum,2026,5 000,Automatic,Fair Price,R 399 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,9 000,Automatic,Great Price,R 416 888
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,17 793,Automatic,Great Price,R 399 950
Jetour,Jetour T2,2.0T Odyssey XWD,2026,550,Automatic,No Rating,R 709 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,1 500,Automatic,Great Price,R 439 000
Jetour,Jetour T2,1.5T Aspire,2026,300,Automatic,No Rating,R 589 900
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour Dashing,1.5T Deluxe,2026,Automa,Petrol,No Rating,R 469 900
Jetour,Jetour T1,2.0T Odyssey Dark Knight XWD,2026,Automa,Petrol,No Rating,R 659 900
Jetour,Jetour T2,2.0T Odyssey XWD,2026,100,Automatic,No Rating,R 749 900
Jetour,Jetour T2,2.0T Odyssey XWD,2026,450,Automatic,No Rating,R 729 950
Jetour,Jetour Dashing,1.5T Deluxe,2025,9 000,Automatic,Great Price,R 399 990
Jetour,Jetour Dashing,1.5 Momentum,2026,2 000,Automatic,No Rating,R 439 995
Jetour,Jetour X70 Plus,1.5T Deluxe,2026,Automa,Petrol,No Rating,R 484 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,Automa,Petrol,No Rating,R 469 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,Automa,Petrol,No Rating,R 469 900
Jetour,Jetour T1,2.0T Odyssey XWD,2026,Automa,Petrol,No Rating,R 634 900
Jetour,ined,,unde,,,,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour X70 Plus,1.5T Momentum,2025,12 500,Automatic,Fair Price,R 399 900
Jetour,Jetour Dashing,1.5T Momentum,2026,100,Automatic,Fair Price,R 429 995
Jetour,Jetour T2,2.0T Odyssey XWD,2026,150,Automatic,No Rating,R 719 900
Jetour,Jetour T1,1.5T i-DM PHEV,2026,Automa,Hybrid,No Rating,R 689 900
Jetour,Jetour Dashing,1.5T Momentum,2026,8 000,Automatic,Fair Price,R 419 900
Jetour,Jetour T2,1.5T Aspire,2026,395,Automatic,No Rating,R 709 990
Jetour,Jetour Dashing,1.5T Momentum,2026,1 500,Automatic,Great Price,R 379 900
Jetour,Jetour T2,1.5T Aspire,2026,150,Automatic,No Rating,R 648 888
Jetour,Jetour T2,2.0T Odyssey XWD,2026,200,Automatic,No Rating,R 739 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,200,Automatic,No Rating,R 829 900
Jetour,Jetour X70,Plus Deluxe,2024,47 500,Automatic,No Rating,R 399 900
Jetour,Jetour T2,2.0T Odyssey XWD,2026,500,Automatic,No Rating,R 699 800
Jetour,Jetour T1,2.0T Odyssey XWD,2026,Automa,Petrol,No Rating,R 634 900
Jetour,Jetour Dashing,1.5T Momentum,2025,10 000,Automatic,Fair Price,R 379 995
Jetour,Jetour T2,2.0T Odyssey XWD,2026,99,Automatic,No Rating,R 729 990
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,High Price,
Jetour,Jetour X70 Plus,1.5T Deluxe,2026,7 200,Automatic,Fair Price,R 439 900
Jetour,Jetour T1,2.0T Odyssey XWD,2026,3 500,Automatic,No Rating,R 619 995
Jetour,Jetour X70,Plus Momentum,2025,11 000,Automatic,Fair Price,R 419 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,42,Automatic,No Rating,R 849 990
Jetour,Jetour T2,1.5T i-DM PHEV,2026,50,Automatic,No Rating,R 779 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,50,Automatic,No Rating,R 779 900
Jetour,Jetour T1,1.5T i-DM PHEV,2026,50,Automatic,No Rating,R 689 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,15 500,Automatic,Fair Price,R 429 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,3 000,Automatic,High Price,R 469 900
Jetour,Jetour T2,2.0T Odyssey XWD,2026,2 000,Automatic,No Rating,R 669 900
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,Great Price,
Jetour,Jetour T1,1.5T Aspire,2026,2 000,Automatic,No Rating,R 529 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,50,Automatic,No Rating,R 779 900
Jetour,Jetour T1,1.5T i-DM PHEV,2026,50,Automatic,No Rating,R 689 900
Jetour,Jetour T2,1.5T Aspire,2026,101,Automatic,No Rating,R 599 950
Jetour,ined,,unde,,,,
Jetour,Jetour T2,2.0T Odyssey XWD,2026,170,Automatic,No Rating,R 739 900
Jetour,Jetour Dashing,1.5T Momentum,2026,1 050,Automatic,Great Price,R 399 900
Jetour,Jetour T1,2.0T Xplora XWD,2026,7 000,Automatic,No Rating,R 589 995
Jetour,Jetour T1,2.0T Odyssey XWD,2026,4 250,Automatic,No Rating,R 599 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,200,Automatic,No Rating,R 829 900
Jetour,Jetour T2,2.0T Odyssey Dark Knight XWD,2026,Automa,Petrol,No Rating,R 704 900
Jetour,Jetour T1,1.5T i-DM PHEV,2026,Automa,Hybrid,No Rating,R 689 900
Jetour,Jetour T2,2.0T Odyssey Dark Knight XWD,2026,200,Automatic,No Rating,R 749 800
Jetour,Jetour T2,2.0T Odyssey Dark Knight XWD,2026,100,Automatic,No Rating,R 799 995
Jetour,Jetour T2,2.0T Odyssey XWD,2026,125,Automatic,No Rating,R 739 990
Jetour,Jetour T2,1.5T i-DM PHEV,2026,50,Automatic,No Rating,R 849 990
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,Fair Price,
Jetour,Jetour T2,2.0T Odyssey XWD,2026,9 850,Automatic,No Rating,R 699 990
Jetour,Jetour Dashing,1.5T Deluxe,2026,4 500,Automatic,Great Price,R 419 900
Jetour,Jetour Dashing,1.5T Deluxe,2026,1 500,Automatic,Great Price,R 419 700
Jetour,Jetour Dashing,1.5T Deluxe,2026,1 500,Automatic,Great Price,R 419 800
Jetour,Jetour Dashing,1.5T Deluxe,2026,1 500,Automatic,Great Price,R 419 600
Jetour,Jetour X70 Plus,1.5T Deluxe,2026,9 000,Automatic,Great Price,R 424 500
Jetour,Jetour T1,2.0T Odyssey XWD,2026,Automa,Petrol,No Rating,R 634 900
Jetour,Jetour T1,2.0T Odyssey XWD,2026,10 905,Automatic,No Rating,R 634 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,5 070,Automatic,Fair Price,R 439 900
Jetour,Jetour X70 Plus,1.5T Deluxe,2025,16 500,Automatic,Fair Price,R 439 900
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,,,,,,No Rating,
Jetour,Jetour Dashing,1.5T Deluxe,2026,500,Automatic,Great Price,R 449 990
Jetour,Jetour T1,2.0T Xplora XWD,2026,3 500,Automatic,No Rating,R 579 900
Jetour,Jetour Dashing,1.5T Momentum,2026,2 000,Automatic,Great Price,R 399 000
Jetour,Jetour T2,2.0T Odyssey Dark Knight XWD,2026,417,Automatic,No Rating,R 789 900
Jetour,Jetour T2,2.0T Odyssey XWD,2026,300,Automatic,No Rating,R 749 995
Jetour,Jetour T2,2.0T Odyssey XWD,2026,90,Automatic,No Rating,R 729 990
Jetour,Jetour T1,2.0T Odyssey XWD,2026,6 500,Automatic,No Rating,R 619 900
Jetour,Jetour T2,1.5T i-DM PHEV,2026,Automa,Hybrid,No Rating,R 779 900
Jetour,ined,,unde,,,,
Jetour,Jetour T1,2.0T Xplora XWD,2026,8 100,Automatic,No Rating,R 579 900
Jetour,Jetour T1,2.0T Odyssey XWD,2026,7 400,Automatic,No Rating,R 619 900
