Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Kia,,,,,,Fair Price,
Kia,,,,,,No Rating,
Kia,,,,,,Great Price,
Kia,Kia Sportage,1.6GDI Ignite,2018,128 000,Automatic,Great Price,R 199 995
Kia,Kia Sportage,2.0CRDi AWD,2013,208 112,Manual,No Rating,R 189 950
Kia,Kia Seltos,1.6 EX Auto,2021,109 500,Automatic,Great Price,R 249 900
Kia,Kia Picanto,1.0 Start Auto,2023,37 400,Automatic,Great Price,R 179 900
Kia,Kia Sonet,1.5 LX,2023,34 000,Manual,Low Price,R 229 900
Kia,Kia Sorento,2.2CRDi EX+,2023,66 000,Automatic,Great Price,R 529 900
Kia,Kia Sportage,1.6 CRDI LX,2023,71 000,Automatic,Fair Price,R 399 900
Kia,Kia K2700,2.7D Workhorse Dropside,2022,96 015,Manual,Fair Price,R 279 900
Kia,ined,,unde,,,,
Kia,Kia Sonet,1.5 EX,2024,44 200,Automatic,Great Price,R 259 995
Kia,Kia Sportage,2.0CRDi EX,2020,122 000,Automatic,Great Price,R 279 900
Kia,,,,,,No Rating,
Kia,,,,,,No Rating,
Kia,,,,,,No Rating,
Kia,Kia Sportage,1.6 CRDI GT Line Plus,2024,58 000,Automatic,No Rating,R 539 890
Kia,Kia K2700,2.7D Workhorse Dropside,2022,53 500,Manual,Great Price,R 259 900
Kia,Kia Sonet,1.0T EX,2022,64 000,Automatic,Great Price,R 249 950
Kia,Kia Sportage,2.0CRDi EX,2020,97 000,Automatic,Fair Price,R 309 950
Kia,Kia Seltos,1.5 LS Auto,2025,2 937,Automatic,Great Price,R 359 900
Kia,Kia Seltos,1.5CRDi EX,2024,38 188,Automatic,Fair Price,R 379 995
Kia,Kia Rio,Sedan 1.4 Auto,2018,78 740,Automatic,Fair Price,R 189 950
Kia,Kia Sportage,2.0 EX,2019,100 463,Automatic,Fair Price,R 249 900
Kia,Kia Seltos,1.6 EX+,2021,90 365,Automatic,Great Price,R 239 900
Kia,Kia Picanto,1.2 EX,2015,135 000,Manual,Fair Price,R 119 900
Kia,Kia Rio,Hatch 1.4,2017,91 000,Manual,Great Price,R 119 900
Kia,Kia Picanto,1.0 STREET,2021,92 000,Manual,Great Price,R 155 900
Kia,Kia Seltos,1.6 EX Auto,2021,88 000,Automatic,Fair Price,R 279 800
Kia,Kia Sonet,1.5 LX Auto,2022,91 083,Automatic,Low Price,R 234 900
Kia,Kia K2700,2.7D Workhorse Dropside,2023,20 084,Manual,Great Price,R 299 500
Kia,,,,,,Great Price,
Kia,,,,,,Fair Price,
Kia,,,,,,Great Price,
Kia,Kia Sonet,1.0T EX,2026,2 300,Automatic,Great Price,R 339 995
Kia,Kia Seltos,1.4T-GDI GT Line,2022,48 500,Automatic,Great Price,R 329 900
Kia,Kia Sonet,1.0T EX,2024,41 000,Automatic,Fair Price,R 289 900
Kia,Kia Carens,1.5D LX,2026,Automa,Diesel,No Rating,R 449 995
Kia,Kia Sportage,1.6T-GDi GT Line Plus,2024,26 000,Automatic,Great Price,R 529 899
Kia,Kia Sonet,1.5 EX,2023,33 644,Manual,Fair Price,R 269 900
Kia,Kia Sonet,1.5 EX Auto,2021,219 900,Automatic,Fair Price,R 219 900
Kia,Kia Picanto,1.0 STREET,2019,46 563,Manual,Great Price,R 134 900
Kia,ined,,unde,,,,
Kia,Kia Rio,hatch 1.2 LS,2022,100 844,Manual,Great Price,R 179 900
Kia,Kia Sorento,2.2CRDi AWD SX,2022,87 412,Automatic,Great Price,R 479 900
Kia,,,,,,Fair Price,
Kia,,,,,,Fair Price,
Kia,,,,,,Fair Price,
Kia,Kia K2500,2.5TD workhorse dropside,2022,139 000,Manual,Fair Price,R 289 950
Kia,Kia Picanto,1.2 EX Auto,2025,14 953,Automatic,Fair Price,R 269 900
Kia,Kia Sonet,1.5 LS Auto,2025,45 000,Automatic,Great Price,R 269 800
Kia,Kia Sonet,1.5 LX Auto,2024,62 476,Automatic,Great Price,R 269 900
Kia,Kia Sonet,1.5 LS Auto,2026,Automa,Petrol,No Rating,R 324 990
Kia,Kia Seltos,1.5 LS Auto,2026,Automa,Petrol,No Rating,R 394 995
Kia,Kia Sonet,1.5 LX Auto,2024,50 212,Automatic,Great Price,R 259 800
Kia,Kia Sorento,2.2CRDi AWD EX+,2024,37 892,Automatic,Fair Price,R 665 900
Kia,Kia Seltos,1.5T-GDI GT Line,2024,27 800,Automatic,Fair Price,R 469 990
Kia,Kia Sportage,1.6 CRDI GT Line Plus,2024,45 000,Automatic,No Rating,R 588 888
Kia,Kia Picanto,1.2 X-Line,2022,70 000,Manual,Fair Price,R 216 888
Kia,Kia Seltos,1.5CRDi EX+,2022,96 874,Automatic,Great Price,R 289 900
Kia,Kia Rio,Hatch 1.4 EX Auto,2023,64 375,Automatic,Fair Price,R 269 000
Kia,Kia Sportage,2.0 Ignite,2018,191 000,Manual,Fair Price,R 169 900
Kia,Kia Sportage,2.0 Ignite Plus,2020,94 739,Manual,Great Price,R 234 900
Kia,,,,,,Fair Price,
Kia,,,,,,High Price,
Kia,,,,,,Great Price,
Kia,Kia K2500,2.5TD workhorse dropside (aircon),2024,27 390,Manual,Fair Price,R 359 900
Kia,Kia Picanto,1.2 Style,2022,62 500,Manual,Fair Price,R 189 950
Kia,Kia Picanto,1.0 LX Manual,2026,100,Manual,Fair Price,R 259 800
Kia,Kia Picanto,1.0 LX Manual,2026,100,Manual,Fair Price,R 249 800
Kia,Kia Picanto,1.0 Street auto,2023,30 785,Automatic,Great Price,R 199 800
Kia,Kia Seltos,1.6 EX Auto,2021,100 000,Automatic,Great Price,R 249 900
Kia,Kia Sonet,1.5 LS Manual,2025,7 700,Manual,Great Price,R 269 800
Kia,Kia Seltos,1.5CRDi EX+,2020,88 000,Automatic,No Rating,R 319 950
Kia,Kia Picanto,1.0 LS Manual,2025,17 500,Manual,Great Price,R 198 900
Kia,Kia Picanto,1.0 LX Manual,2025,7 694,Manual,Fair Price,R 239 900
Kia,,,,,,Great Price,
Kia,,,,,,Great Price,
Kia,,,,,,Great Price,
Kia,Kia Soul,1.6CRDi Start,2019,114 345,Manual,No Rating,R 189 900
Kia,Kia Picanto,1.0 LX Auto,2025,12 000,Automatic,Great Price,R 238 218
Kia,Kia K2500,2.5TD workhorse dropside,2025,5 500,Manual,Great Price,R 349 900
Kia,Kia Seltos,1.5 EX,2024,40 800,Automatic,No Rating,R 379 900
Kia,ined,,unde,,,,
Kia,Kia K2700,2.7D Workhorse Dropside,2026,7 900,Manual,Great Price,R 324 500
Kia,Kia Grand Sedona,2.2CRDi EX+,2020,117 854,Automatic,Fair Price,R 429 900
Kia,Kia Rio,Hatch 1.4 Tec Auto,2021,60 000,Automatic,No Rating,R 289 950
