Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,Fair Price,
Lamborghini,Lamborghini Urus,Performante,2024,14 500,Automatic,No Rating,R 9 499 000
Lamborghini,Lamborghini Huracan,Evo Coupe,2020,16 000,Automatic,No Rating,R 9 299 950
Lamborghini,Lamborghini Urus,Urus,2021,55 390,Automatic,,POA
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,2015,34 000,Automatic,No Rating,R 5 295 000
Lamborghini,Lamborghini Urus,S,2024,800,Automatic,No Rating,R 8 999 999
Lamborghini,Lamborghini Urus,S,2023,7 000,Automatic,,POA
Lamborghini,Lamborghini Urus,S,2024,8 000,Automatic,,POA
Lamborghini,Lamborghini Urus,Urus,2019,38 000,Automatic,Fair Price,R 5 399 000
Lamborghini,Lamborghini Urus,Urus,2019,91 000,Automatic,Fair Price,R 4 299 995
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,2016,27 000,Automatic,No Rating,R 6 399 900
Lamborghini,,,,,,No Rating,
Lamborghini,Lamborghini Urus,Performante,2024,7 200,Automatic,No Rating,R 10 999 995
Lamborghini,Lamborghini Urus,Urus,2019,20 000,Automatic,Fair Price,R 6 499 999
Lamborghini,Lamborghini Huracan,LP640-4 Performante Spyder,2018,17 000,Automatic,No Rating,R 9 999 995
Lamborghini,Lamborghini Urus,Urus,2021,18 000,Automatic,No Rating,R 6 499 900
Lamborghini,ined,,unde,,,,
Lamborghini,Lamborghini Aventador,LP700-4 Coupe,2013,31 000,Automatic,No Rating,R 9 395 000
Lamborghini,Lamborghini Urus,Urus,2020,61 450,Automatic,Fair Price,R 5 499 995
Lamborghini,Lamborghini Urus,Urus,2020,34 000,Automatic,Fair Price,R 5 999 995
Lamborghini,Lamborghini Urus,Urus,2019,11 000,Automatic,Fair Price,R 5 799 900
Lamborghini,Lamborghini Urus,Urus,2023,10 200,Automatic,No Rating,R 6 998 000
Lamborghini,Lamborghini Aventador,S Coupe,2017,19 000,Automatic,No Rating,R 12 499 990
Lamborghini,Lamborghini Urus,Urus,2022,37 500,Automatic,No Rating,R 5 899 999
Lamborghini,Lamborghini Gallardo,LP550-2,2014,10 000,Automatic,No Rating,R 3 999 995
Lamborghini,Lamborghini Gallardo,LP560-4 Spyder,2009,5 000,Automatic,No Rating,R 3 499 999
Lamborghini,Lamborghini Huracan,LP580-2 Coupe,2017,36 000,Automatic,No Rating,R 5 199 900
Lamborghini,Lamborghini Urus,S,2023,20 456,Automatic,No Rating,R 7 899 000
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,No Rating,
Lamborghini,,,,,,Fair Price,
Lamborghini,Lamborghini Urus,Urus,2021,47 000,Automatic,No Rating,R 5 499 500
Lamborghini,Lamborghini Urus,Urus,2019,24 800,Automatic,Fair Price,R 5 799 995
Lamborghini,Lamborghini Urus,Urus,2021,3 000,Automatic,Fair Price,R 6 599 995
Lamborghini,Lamborghini Aventador,LP700-4 Coupe,2016,10 000,Automatic,No Rating,R 9 999 995
Lamborghini,Lamborghini Aventador,S Roadster,2019,7 500,Automatic,,POA
Lamborghini,Lamborghini Urus,Urus,2019,5 000,Automatic,Fair Price,R 5 999 995
Lamborghini,Lamborghini Urus,Urus,2020,32 600,Automatic,Fair Price,R 5 999 000
Lamborghini,Lamborghini Huracan,LP640-4 Performante Spyder,2018,21 000,Automatic,No Rating,R 9 999 990
Lamborghini,Lamborghini Huracan,Evo Coupe,2021,23 560,Automatic,,POA
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,2015,31 470,Automatic,,POA
Lamborghini,ined,,unde,,,,
Lamborghini,Lamborghini Urus,Urus,2019,72 000,Automatic,Fair Price,R 4 999 995
Lamborghini,Lamborghini Huracan,LP640-4 Performante Coupe,2018,33 742,Automatic,No Rating,R 8 999 000
Lamborghini,Lamborghini Urus,S,2022,34 000,Automatic,No Rating,R 5 999 500
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,2017,30 093,Automatic,No Rating,R 6 990 000
Lamborghini,Lamborghini Urus,Urus,2019,21 000,Automatic,Fair Price,R 5 399 995
Lamborghini,Lamborghini Huracan,LP610-4 Coupe,2016,39 000,Automatic,No Rating,R 5 199 995
