Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,,,,,,Great Price,
Land Rover,Land Rover Range Rover Sport,Supercharged,2010,175 000,Automatic,No Rating,R 259 950
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,2022,58 149,Automatic,Great Price,R 1 249 990
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,19 500,Automatic,Great Price,R 1 819 995
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,43 700,Automatic,Great Price,R 1 669 995
Land Rover,Land Rover Range Rover Sport,HSE TDV6,2022,124 000,Automatic,Great Price,R 849 995
Land Rover,Land Rover Defender,110 D300 X-Dynamic SE,2023,21 000,Automatic,Great Price,R 1 499 900
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,2024,24 000,Automatic,Fair Price,R 2 099 950
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,2025,12 800,Automatic,Fair Price,R 1 749 900
Land Rover,Land Rover Defender,D240 SE,2020,113 500,Automatic,Great Price,R 799 950
Land Rover,Land Rover Defender,110 D300 X,2023,40 000,Automatic,Great Price,R 1 499 950
Land Rover,,,,,,No Rating,
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Great Price,
Land Rover,ined,,unde,,,,
Land Rover,Land Rover Discovery Sport,SE SD4,2015,130 000,Automatic,Great Price,R 249 000
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,2022,66 714,Automatic,Fair Price,R 1 349 990
Land Rover,Land Rover Discovery Sport,D200 R-Dynamic SE,2023,40 000,Automatic,Great Price,R 749 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,15 000,Automatic,Fair Price,R 1 849 950
Land Rover,Land Rover Range Rover Evoque,HSE Dynamic TD4,2018,93 000,Automatic,Fair Price,R 399 950
Land Rover,Land Rover Discovery,SE Td6,2021,63 000,Automatic,Fair Price,R 889 000
Land Rover,Land Rover Range Rover Evoque,D200 R-Dynamic SE,2022,55 400,Automatic,Great Price,R 759 999
Land Rover,Land Rover Range Rover Evoque,D180 R-Dynamic HSE,2020,48 500,Automatic,No Rating,R 609 900
Land Rover,Land Rover Discovery Sport,D200 R-Dynamic SE,2023,38 000,Automatic,Great Price,R 749 950
Land Rover,Land Rover Range Rover Sport,P530 First Edition,2023,23 460,Automatic,Great Price,R 2 449 990
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,2024,27 200,Automatic,Great Price,R 1 549 990
Land Rover,Land Rover Defender,110 D300 X-Dynamic SE,2022,69 400,Automatic,Great Price,R 1 199 999
Land Rover,Land Rover Range Rover Evoque,D200 R-Dynamic SE,2022,48 600,Automatic,Great Price,R 779 999
Land Rover,Land Rover Range Rover Evoque,D200 Dynamic SE,2025,9 998,Automatic,Great Price,R 1 079 999
Land Rover,Land Rover Discovery,SCV6 HSE,2015,162 000,Automatic,No Rating,R 479 950
Land Rover,,,,,,No Rating,
Land Rover,,,,,,Great Price,
Land Rover,,,,,,Great Price,
Land Rover,Land Rover Defender,110 D300 X-Dynamic SE,2023,73 500,Automatic,Fair Price,R 1 229 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,45 750,Automatic,Great Price,R 1 669 995
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,2024,17 200,Automatic,Low Price,R 1 429 900
Land Rover,Land Rover Range Rover Sport,SE TDV6,2021,68 941,Automatic,Great Price,R 899 900
Land Rover,Land Rover Defender,130 D350 X-Dynamic HSE,2025,18 850,Automatic,No Rating,R 1 929 950
Land Rover,Land Rover Defender,110 D300 75 Years / 75th Limited Edition,2023,70 000,Automatic,No Rating,R 1 299 950
Land Rover,Land Rover Defender,130 D350 X-Dynamic HSE,2024,65 000,Automatic,No Rating,R 1 449 900
Land Rover,Land Rover Discovery Sport,SE SD4,2016,223 900,Automatic,Great Price,R 219 900
Land Rover,Land Rover Range Rover Sport,Autobiography Dynamic Supercharged,2021,72 000,Automatic,No Rating,R 1 449 950
Land Rover,Land Rover Range Rover Evoque,D180 R-Dynamic SE,2021,82 500,Automatic,No Rating,R 699 995
Land Rover,,,,,,No Rating,
Land Rover,,,,,,Great Price,
Land Rover,,,,,,No Rating,
Land Rover,Land Rover Range Rover Sport,D350 Dynamic SE,2023,44 000,Automatic,No Rating,R 1 799 950
Land Rover,Land Rover Defender,110 D240 X-Dynamic SE,2021,72 500,Automatic,Fair Price,R 1 139 995
Land Rover,Land Rover Discovery Sport,SE Si4,2016,127 662,Automatic,No Rating,R 209 950
Land Rover,Land Rover Range Rover Sport,HSE TDV6,2020,55 411,Automatic,Great Price,R 949 900
Land Rover,Land Rover Range Rover,P530 Autobiography,2025,19 500,Automatic,No Rating,R 3 499 950
Land Rover,ined,,unde,,,,
Land Rover,Land Rover Defender,110 P400 HSE,2021,72 000,Automatic,Great Price,R 979 900
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,2025,22 842,Automatic,Great Price,R 1 549 900
Land Rover,Land Rover Discovery,D300 Dynamic SE,2024,48 525,Automatic,No Rating,R 1 424 800
Land Rover,Land Rover Range Rover Evoque,D200 Dynamic SE,2025,9 652,Automatic,Great Price,R 1 104 900
Land Rover,Land Rover Discovery Sport,D200 Dynamic SE,2025,37 486,Automatic,Great Price,R 925 900
Land Rover,Land Rover Discovery Sport,D200 Dynamic SE,2025,9 562,Automatic,Great Price,R 999 900
Land Rover,Land Rover Range Rover Sport,HSE Dynamic SDV8,2021,85 000,Automatic,Fair Price,R 1 149 995
Land Rover,Land Rover Range Rover Sport,HSE TDV6,2020,95 500,Automatic,Fair Price,R 869 995
Land Rover,Land Rover Defender,110 V8,2022,67 500,Automatic,No Rating,R 1 645 995
Land Rover,Land Rover Range Rover Sport,HSE TDV6,2020,62 000,Automatic,Low Price,R 749 990
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,,,,,,High Price,
Land Rover,Land Rover Defender,110 D300 X-Dynamic SE,2024,21 500,Automatic,Fair Price,R 1 679 995
Land Rover,Land Rover Range Rover Sport,SE TDV6,2021,100 520,Automatic,Great Price,R 739 990
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,22 000,Automatic,Fair Price,R 1 779 900
Land Rover,Land Rover Discovery,D300 R-Dynamic HSE,2022,93 000,Automatic,Great Price,R 1 049 900
Land Rover,Land Rover Range Rover Sport,P360 Dynamic HSE,2026,3 005,Automatic,No Rating,R 2 499 999
Land Rover,ined,,unde,,,,
Land Rover,Land Rover Defender,P300 HSE,2022,75 000,Automatic,No Rating,R 1 099 950
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,2024,47 000,Automatic,Fair Price,R 1 969 950
Land Rover,Land Rover Range Rover Evoque,HSE Dynamic SD4,2017,93 500,Automatic,Great Price,R 349 990
Land Rover,Land Rover Discovery,D300 R-Dynamic SE,2021,51 000,Automatic,No Rating,R 979 900
Land Rover,Land Rover Discovery,D300 R-Dynamic SE,2022,35 000,Automatic,No Rating,R 1 349 950
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Low Price,
Land Rover,,,,,,Great Price,
Land Rover,Land Rover Discovery,D300 Dynamic HSE,2024,38 500,Automatic,Fair Price,R 1 549 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,18 000,Automatic,Fair Price,R 1 849 950
Land Rover,Land Rover Range Rover Velar,D200 R-Dynamic SE,2022,41 000,Automatic,Fair Price,R 999 950
Land Rover,Land Rover Range Rover Sport,HSE TDV6,2021,86 000,Automatic,Fair Price,R 929 950
Land Rover,Land Rover Discovery,D300 R-Dynamic SE,2021,65 000,Automatic,No Rating,R 1 149 950
Land Rover,Land Rover Range Rover Sport,P635 SV,2025,1 000,Automatic,No Rating,R 4 099 000
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,4 850,Automatic,Fair Price,R 1 949 950
Land Rover,Land Rover Range Rover,Vogue SE Supercharged,2018,119 000,Automatic,No Rating,R 799 950
Land Rover,Land Rover Range Rover Velar,D300 Dynamic HSE,2025,20 800,Automatic,Great Price,R 1 499 950
Land Rover,Land Rover Range Rover Velar,D300 Dynamic HSE,2025,25 120,Automatic,Great Price,R 1 499 950
Land Rover,Land Rover Discovery 4,SDV6 Graphite,2016,219 578,Automatic,Fair Price,R 359 950
Land Rover,Land Rover Defender,110 D350 X,2026,750,Automatic,No Rating,R 2 549 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2026,4 700,Automatic,Fair Price,R 2 049 950
Land Rover,Land Rover Defender,110 Octa,2026,16 009,Automatic,No Rating,R 3 699 950
Land Rover,Land Rover Defender,110 D300 SE,2022,59 000,Automatic,Fair Price,R 1 349 000
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,Land Rover Range Rover,D350 Autobiography L,2022,46 000,Automatic,No Rating,R 2 399 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,13 000,Automatic,Fair Price,R 1 849 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2025,18 000,Automatic,Fair Price,R 1 849 950
Land Rover,Land Rover Range Rover Sport,D350 Autobiography,2023,32 000,Automatic,No Rating,R 1 949 950
Land Rover,Land Rover Discovery,D300 R-Dynamic HSE,2021,49 500,Automatic,No Rating,R 1 049 950
Land Rover,Land Rover Range Rover,P530 First Edition L,2023,61 000,Automatic,No Rating,R 2 599 000
Land Rover,Land Rover Defender,130 V8,2024,10 800,Automatic,No Rating,R 2 399 999
Land Rover,Land Rover Range Rover Sport,P360 Dynamic SE,2026,6 300,Automatic,No Rating,R 2 199 999
Land Rover,Land Rover Discovery Sport,HSE SD4,2016,112 973,Automatic,Great Price,R 229 900
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,2025,17 090,Automatic,Fair Price,R 2 199 999
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Great Price,
Land Rover,ined,,unde,,,,
Land Rover,Land Rover Discovery Sport,D200 Dynamic HSE,2025,5 000,Automatic,No Rating,R 1 075 000
Land Rover,Land Rover Range Rover Evoque,D200 R-Dynamic SE,2023,30 000,Automatic,Fair Price,R 899 950
Land Rover,Land Rover Defender,110 TD Station Wagon S,2016,990,Manual,High Price,R 1 744 999
Land Rover,Land Rover Range Rover Sport,HSE Dynamic Supercharged,2020,43 500,Automatic,No Rating,R 1 299 950
Land Rover,Land Rover Defender,110 D300 X,2022,83 998,Automatic,Fair Price,R 1 379 500
Land Rover,Land Rover Range Rover Evoque,D200 Autobiography,2025,8 835,Automatic,No Rating,R 1 098 900
Land Rover,Land Rover Range Rover Sport,HSE Silver TDV6,2022,46 290,Automatic,No Rating,R 1 229 990
Land Rover,Land Rover Range Rover Evoque,HSE Dynamic SD4,2017,89 804,Automatic,Fair Price,R 379 900
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,2026,10 000,Automatic,No Rating,R 1 699 990
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,2026,10 000,Automatic,No Rating,R 1 699 990
Land Rover,Land Rover Defender,110 Octa Black,2026,10 000,Automatic,No Rating,R 3 999 990
Land Rover,Land Rover Defender,110 D240 X-Dynamic HSE,2022,53 000,Automatic,Great Price,R 1 279 950
Land Rover,Land Rover Defender,110 D350 X-Dynamic HSE,2024,23 590,Automatic,Fair Price,R 1 749 990
Land Rover,Land Rover Defender,90 D300 X-Dynamic HSE,2021,97 000,Automatic,No Rating,R 999 900
Land Rover,Land Rover Defender,110 D250 X-Dynamic SE,2025,33 850,Automatic,Great Price,R 1 529 950
Land Rover,,,,,,No Rating,
Land Rover,,,,,,Fair Price,
Land Rover,,,,,,Fair Price,
Land Rover,Land Rover Range Rover Sport,HSE Dynamic Supercharged,2019,133 870,Automatic,No Rating,R 879 990
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,2024,36 850,Automatic,Great Price,R 1 549 990
Land Rover,Land Rover Range Rover Evoque,D200 Autobiography,2025,13 200,Automatic,No Rating,R 1 269 995
Land Rover,Land Rover Defender,110 P425 X-Dynamic HSE,2026,800,Automatic,No Rating,R 2 179 999
Land Rover,Land Rover Discovery,D350 Dynamic SE,2024,25 794,Automatic,No Rating,R 1 599 950
Land Rover,Land Rover Defender,90 D240 X-Dynamic SE,2021,40 922,Automatic,No Rating,R 1 059 950
Land Rover,ined,,unde,,,,
Land Rover,Land Rover Defender,110 D300 X-Dynamic HSE,2024,27 400,Automatic,Fair Price,R 1 629 999
Land Rover,Land Rover Range Rover Sport,D350 Dynamic HSE,2026,3 024,Automatic,Fair Price,R 2 624 900
Land Rover,Land Rover Discovery Sport,D200 Dynamic HSE,2024,28 671,Automatic,No Rating,R 899 950
Land Rover,Land Rover Range Rover Evoque,D200 Dynamic SE,2026,6 000,Automatic,Fair Price,R 1 199 990
Land Rover,,,,,,Great Price,
Land Rover,,,,,,No Rating,
Land Rover,,,,,,No Rating,
Land Rover,Land Rover Discovery,D350 Dynamic SE,2026,22 500,Automatic,No Rating,R 1 749 990
Land Rover,Land Rover Discovery,D300 Dynamic SE,2025,17 160,Automatic,No Rating,R 1 569 990
