Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Lexus,,,,,,Fair Price,
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,Lexus UX,250h EX,2024,78 500,Automatic,No Rating,R 569 990
Lexus,Lexus ES,250 EX,2023,55 500,Automatic,High Price,R 529 990
Lexus,Lexus LX,570,2010,238 000,Automatic,No Rating,R 449 900
Lexus,Lexus LX,700h F Sport,2026,9 900,Automatic,No Rating,R 2 629 990
Lexus,Lexus LX,700h VIP,2025,24 500,Automatic,No Rating,R 2 499 990
Lexus,Lexus RZ,450e EX,2026,1 900,Automatic,No Rating,R 1 029 990
Lexus,Lexus GX,550 SE,2026,100,Automatic,No Rating,R 2 299 995
Lexus,Lexus NX,200t F-Sport,2016,103 000,Automatic,No Rating,R 349 990
Lexus,ined,,unde,,,,
Lexus,Lexus NX,350h EX,2026,7 500,Automatic,Fair Price,R 909 000
Lexus,Lexus ES,250 EX,2022,52 000,Automatic,No Rating,R 499 990
Lexus,,,,,,Fair Price,
Lexus,,,,,,Fair Price,
Lexus,,,,,,Fair Price,
Lexus,Lexus NX,350h EX,2026,80,Automatic,Fair Price,R 1 010 000
Lexus,Lexus LX,700h Overtrail,2026,77,Automatic,No Rating,R 2 812 900
Lexus,Lexus ES,250 EX,2018,72 000,Automatic,No Rating,R 349 900
Lexus,Lexus GX,550 Overtrail,2026,3 300,Automatic,No Rating,R 1 989 990
Lexus,Lexus NX,350h EX,2026,65,Automatic,Fair Price,R 1 020 000
Lexus,Lexus ES,250 EX,2023,34 000,Automatic,Great Price,R 489 900
Lexus,Lexus LX,500d F Sport,2024,45 763,Automatic,No Rating,R 2 049 900
Lexus,Lexus NX,350h F Sport,2026,77,Automatic,No Rating,R 1 230 000
Lexus,Lexus ES,300h EX,2026,10 000,Automatic,Fair Price,R 759 900
Lexus,Lexus NX,350h EX,2026,25 000,Automatic,Fair Price,R 869 900
Lexus,Lexus ES,250 EX,2023,15 000,Automatic,Fair Price,R 539 900
Lexus,Lexus LX,600 F Sport,2023,68 809,Automatic,No Rating,R 1 890 000
Lexus,Lexus LX,600 Urban,2025,1 400,Automatic,No Rating,R 3 299 999
Lexus,Lexus IS,200t EX,2016,140 100,Automatic,No Rating,R 239 900
Lexus,Lexus LX,600 VIP,2023,24 000,Automatic,No Rating,R 2 349 990
Lexus,,,,,,Fair Price,
Lexus,,,,,,No Rating,
Lexus,,,,,,No Rating,
Lexus,Lexus NX,350h EX,2026,3 000,Automatic,Great Price,R 899 990
Lexus,ined,,unde,,,,
Lexus,Lexus GX,550 SE,2025,23 000,Automatic,Great Price,R 1 799 990
Lexus,Lexus LX,500d F Sport,2025,2 425,Automatic,No Rating,R 2 599 999
Lexus,Lexus NX,350h EX,2026,5 000,Automatic,Great Price,R 889 900
Lexus,Lexus ES,300h SE,2019,123 500,Automatic,No Rating,R 539 900
Lexus,Lexus NX,350 F Sport,2026,45,Automatic,No Rating,R 1 200 000
Lexus,Lexus UX,300h EX,2026,550,Automatic,No Rating,R 880 000
Lexus,Lexus ES,250 EX,2025,26 500,Automatic,Fair Price,R 629 990
Lexus,Lexus GX,550 SE,2025,20 000,Automatic,Fair Price,R 1 899 900
Lexus,Lexus RX,350h,2023,39 900,Automatic,No Rating,R 959 990
Lexus,,,,,,No Rating,
Lexus,,,,,,Great Price,
Lexus,,,,,,No Rating,
Lexus,Lexus ES,250 EX,2025,4 999,Automatic,Fair Price,R 659 990
Lexus,Lexus NX,350h SE,2026,1 500,Automatic,No Rating,R 1 049 990
Lexus,Lexus GX,550 SE,2025,7 800,Automatic,Great Price,R 1 850 000
Lexus,Lexus LX,700h Overtrail,2026,3 400,Automatic,No Rating,R 2 629 900
Lexus,Lexus RZ,450e SE,2025,1 500,Automatic,No Rating,R 1 139 990
Lexus,Lexus NX,350h EX,2026,4 000,Automatic,Great Price,R 899 990
Lexus,Lexus NX,250 AWD EX,2022,64 000,Automatic,No Rating,R 639 900
Lexus,Lexus RX,350h,2025,19 990,Automatic,No Rating,R 1 199 990
Lexus,Lexus GX,550 Overtrail,2025,21 000,Automatic,Fair Price,R 1 799 900
Lexus,Lexus NX,250 AWD EX,2023,31 000,Automatic,No Rating,R 699 900
Lexus,Lexus GX,550 SE,2025,13 500,Automatic,Great Price,R 1 839 900
Lexus,Lexus NX,450h+ PHEV,2026,6 500,Automatic,No Rating,R 1 249 990
Lexus,Lexus GX,550 Overtrail,2025,24 000,Automatic,Fair Price,R 1 799 900
Lexus,Lexus UX,250h SE,2021,51 000,Automatic,No Rating,R 649 900
Lexus,Lexus LX,500d F Sport,2025,9 900,Automatic,No Rating,R 2 499 990
Lexus,,,,,,Low Price,
Lexus,,,,,,No Rating,
Lexus,,,,,,Fair Price,
Lexus,ined,,unde,,,,
Lexus,Lexus LX,450d,2018,85 000,Automatic,No Rating,R 1 299 900
Lexus,Lexus RX,350 F Sport,2026,3 000,Automatic,No Rating,R 1 239 990
Lexus,Lexus NX,350h EX,2024,34 700,Automatic,Fair Price,R 809 900
Lexus,Lexus NX,250 EX,2024,25 300,Automatic,Fair Price,R 709 900
