Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
MINI,,,,,,No Rating,
MINI,,,,,,No Rating,
MINI,,,,,,Fair Price,
MINI,MINI Cooper,S 5-door (F55),2022,92 000,Automatic,Fair Price,R 369 900
MINI,MINI Hatch,Cooper Hatch 5-Door Auto,2018,35 505,Automatic,No Rating,R 279 900
MINI,MINI Countryman,Cooper Countryman Auto,2018,55 021,Automatic,Fair Price,R 299 900
MINI,MINI Cooper,S 5-door (F55),2022,58 000,Automatic,Great Price,R 409 900
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2019,83 000,Automatic,Fair Price,R 265 000
MINI,MINI Hatch,Cooper S Hatch 3-Door Auto,2017,65 774,Automatic,Fair Price,R 289 900
MINI,MINI Clubman,John Cooper Works ALL4 Clubman Sports-Auto,2017,115 080,Automatic,No Rating,R 289 900
MINI,MINI Countryman,Cooper,2024,19 000,Automatic,Fair Price,R 619 900
MINI,MINI Countryman,Cooper Countryman,2020,37 278,Automatic,Fair Price,R 389 900
MINI,MINI Clubman,Cooper S Clubman Auto,2015,187 445,Automatic,High Price,R 239 950
MINI,,,,,,Fair Price,
MINI,,,,,,No Rating,
MINI,,,,,,Fair Price,
MINI,MINI Hatch,Cooper S Hatch 5-Door Auto,2018,122 133,Automatic,Fair Price,R 249 900
MINI,MINI Countryman,Cooper S Countryman,2021,65 000,Automatic,Fair Price,R 419 900
MINI,MINI Countryman,Cooper S Countryman Auto,2018,97 500,Automatic,Great Price,R 289 900
MINI,MINI Countryman,Cooper,2025,5 263,Automatic,Fair Price,R 699 000
MINI,ined,,unde,,,,
MINI,MINI Cooper,S 3-door,2024,6 700,Automatic,Great Price,R 558 500
MINI,MINI Cooper,S 3-door,2024,2 800,Automatic,Great Price,R 558 500
MINI,MINI Countryman,Cooper,2024,46 000,Automatic,Fair Price,R 569 900
MINI,MINI Countryman,Cooper Countryman Auto,2019,112 000,Automatic,Fair Price,R 269 900
MINI,MINI Cooper,S 5-door,2025,6 500,Automatic,No Rating,R 649 900
MINI,MINI Hatch,John Cooper Works Hatch 3-Door,2021,36 000,Automatic,Great Price,R 469 900
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2019,72 000,Automatic,Great Price,R 249 900
MINI,MINI Countryman,Cooper,2022,50 921,Automatic,No Rating,R 399 900
MINI,MINI Cooper,S 5-door,2025,4 400,Automatic,No Rating,R 649 900
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2019,41 000,Automatic,Fair Price,R 279 950
MINI,MINI Countryman,Cooper S Countryman Untamed Edition,2023,28 000,Automatic,No Rating,R 599 000
MINI,,,,,,No Rating,
MINI,,,,,,No Rating,
MINI,,,,,,Great Price,
MINI,MINI Hatch,John Cooper Works Hatch 3-Door Sports-Auto,2019,122 000,Automatic,Fair Price,R 319 900
MINI,MINI Hatch,Cooper Hatch 5-Door Auto,2020,44 000,Automatic,Fair Price,R 319 000
MINI,MINI Countryman,Cooper Countryman,2015,55 500,Manual,No Rating,R 189 900
MINI,MINI Hatch,Cooper S Hatch 3-Door,2020,112 389,Automatic,Great Price,R 279 900
MINI,MINI Countryman,Cooper S Countryman Untamed Edition,2023,43 000,Automatic,No Rating,R 579 000
MINI,MINI Countryman,Cooper S Countryman Auto,2019,105 000,Automatic,Fair Price,R 339 900
MINI,MINI Cooper,C 3-door,2025,9 000,Automatic,Fair Price,R 539 000
MINI,MINI Countryman,Cooper,2026,4 000,Automatic,Fair Price,R 699 000
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2020,79 000,Automatic,Fair Price,R 279 950
MINI,MINI Countryman,Cooper Countryman,2021,52 000,Automatic,Fair Price,R 409 950
MINI,,,,,,Fair Price,
MINI,,,,,,Fair Price,
MINI,,,,,,Fair Price,
MINI,MINI Countryman,Cooper,2022,33 500,Automatic,No Rating,R 419 900
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2020,56 000,Automatic,Great Price,R 268 888
MINI,MINI Hatch,John Cooper Works GP,2020,8 500,Automatic,No Rating,R 899 900
MINI,MINI Countryman,Cooper Countryman Auto,2019,109 500,Automatic,Fair Price,R 269 900
MINI,MINI Countryman,Cooper,2025,22 500,Automatic,Fair Price,R 649 900
MINI,ined,,unde,,,,
MINI,MINI Countryman,John Cooper Works ALL4 Countryman,2021,73 000,Automatic,Fair Price,R 499 900
MINI,MINI Countryman,Cooper S Countryman,2023,25 500,Automatic,Fair Price,R 569 900
MINI,MINI Cooper,C 5-door,2025,4 000,Automatic,Fair Price,R 549 900
MINI,MINI Countryman,Cooper,2025,4 250,Automatic,Great Price,R 646 907
MINI,MINI Countryman,Cooper,2024,15 000,Automatic,Great Price,R 599 900
MINI,MINI Hatch,Cooper S Hatch 5-Door Auto,2017,81 509,Automatic,Fair Price,R 289 995
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2019,130 113,Automatic,Fair Price,R 219 995
MINI,MINI Hatch,Cooper S Hatch 5-Door Auto,2018,66 928,Automatic,Fair Price,R 329 900
MINI,MINI Cooper,S 3-door,2024,2 500,Automatic,Great Price,R 554 500
MINI,MINI Countryman,Cooper Countryman,2021,57 500,Automatic,Great Price,R 379 000
MINI,,,,,,Fair Price,
MINI,,,,,,Great Price,
MINI,,,,,,Great Price,
MINI,ined,,unde,,,,
MINI,MINI Hatch,Cooper S Hatch 3-Door Auto,2019,121 000,Automatic,Great Price,R 259 900
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2015,147 856,Automatic,Fair Price,R 169 995
MINI,MINI Clubman,Cooper S,2022,66 000,Automatic,Fair Price,R 419 950
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2020,36 000,Automatic,Great Price,R 289 900
MINI,MINI Hatch,Cooper Hatch 3-Door Auto,2019,56 000,Automatic,Fair Price,R 269 900
MINI,MINI Clubman,John Cooper Works ALL4 Clubman,2023,44 872,Automatic,Low Price,R 539 900
MINI,MINI Clubman,Cooper S Clubman,2024,15 000,Automatic,No Rating,R 519 900
