Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra XUV500,2.2CRDe W8,2015,184 600,Manual,No Rating,R 139 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,40 000,Automatic,Great Price,R 239 900
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+ #DARE,2022,41 000,Manual,Great Price,R 129 900
Mahindra,Mahindra XUV700,2.0T AX5,2024,52 845,Automatic,Great Price,R 329 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,46 900,Automatic,Great Price,R 238 500
Mahindra,ined,,unde,,,,
Mahindra,Mahindra XUV300,1.2T W4 SE,2023,23 682,Manual,Great Price,R 199 890
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo Dawn,2026,6 500,Automatic,Fair Price,R 619 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo,2021,140 000,Automatic,Fair Price,R 329 900
Mahindra,Mahindra Pik Up,2.2 mHAWK S6 REFRESH P/U S/C,2022,166 500,Manual,Great Price,R 199 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S11,2025,50 000,Automatic,Fair Price,R 369 950
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,Mahindra XUV 3XO,1.2T AX5 Auto,2025,9 488,Automatic,Fair Price,R 289 950
Mahindra,Mahindra XUV700,2.0T AX7,2023,72 642,Automatic,Fair Price,R 359 950
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,46 160,Automatic,Fair Price,R 249 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S11 Karoo,2022,80 066,Automatic,Fair Price,R 344 900
Mahindra,Mahindra Bolero,2.5Di Maxitruck Plus,2022,94 000,Manual,Great Price,R 139 900
Mahindra,Mahindra XUV 3XO,1.2T AX5 Manual,2026,3 000,Manual,Great Price,R 289 700
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2023,38 000,Automatic,Great Price,R 429 950
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+ #DARE,2022,29 500,Manual,Great Price,R 129 995
Mahindra,Mahindra XUV 3XO,1.2T AX5 Auto,2025,29 000,Automatic,Great Price,R 279 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2025,47 000,Manual,Great Price,R 214 900
Mahindra,Mahindra XUV 3XO,1.2T MX3 Manual,2026,2 500,Manual,Great Price,R 249 900
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2026,9 500,Automatic,Great Price,R 254 900
Mahindra,Mahindra XUV700,2.0T AX5,2024,53 000,Automatic,Great Price,R 325 900
Mahindra,Mahindra Bolero,2.5Di Maxitruck Plus,2025,34 948,Manual,Great Price,R 169 950
Mahindra,Mahindra Scorpio,2.2TD S11,2022,101 223,Manual,Great Price,R 259 900
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Great Price,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S6,2025,29 000,Manual,Great Price,R 354 990
Mahindra,Mahindra XUV300,1.2T W4 SE,2023,35 634,Manual,Fair Price,R 199 890
Mahindra,Mahindra XUV 3XO,1.2T AX5 Auto,2025,14 000,Automatic,Great Price,R 279 900
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+,2020,84 000,Manual,Great Price,R 89 900
Mahindra,Mahindra Scorpio-n,2.2d Z4,2025,22 000,Automatic,Fair Price,R 409 999
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,43 000,Automatic,Great Price,R 246 900
Mahindra,Mahindra Pik Up,2.2CRDe S6,2020,93 000,Manual,Fair Price,R 269 950
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,45 700,Automatic,Great Price,R 246 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,Man,Petrol,No Rating,R 259 999
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+,2019,137 874,Manual,High Price,R 149 489
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,48 112,Automatic,Great Price,R 244 500
Mahindra,Mahindra XUV 3XO,1.2T AX7L,2024,21 000,Automatic,Fair Price,R 339 950
Mahindra,Mahindra XUV 3XO,1.2T AX5 Auto,2026,Automa,Petrol,No Rating,R 305 000
Mahindra,Mahindra XUV500,2.2CRDe W10,2019,145 623,Automatic,High Price,R 269 950
Mahindra,ined,,unde,,,,
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S6,2024,22 000,Manual,Fair Price,R 369 950
Mahindra,Mahindra TUV300,1.5CRDe T8,2018,94 300,Manual,Fair Price,R 159 900
Mahindra,Mahindra XUV300,1.5TD W8,2019,94 000,Manual,Great Price,R 189 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S6,2026,1 500,Manual,High Price,R 409 900
Mahindra,Mahindra Bolero,2.5Di Maxitruck Plus,2026,1 949,Manual,Fair Price,R 199 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S10,2024,125 745,Manual,No Rating,R 319 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S10,2024,94 535,Manual,No Rating,R 319 900
Mahindra,Mahindra Scorpio Pik-Up,2.2CRDe Single Cab S4,2026,785,Manual,Great Price,R 269 900
Mahindra,Mahindra XUV 3XO,1.2T AX7L,2026,1 000,Automatic,Fair Price,R 379 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,49 762,Automatic,Great Price,R 238 500
Mahindra,Mahindra Scorpio Pik-Up,2.2CRDe Single Cab S4,2026,1 200,Manual,Great Price,R 269 900
Mahindra,,,,,,Great Price,
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+,2019,101 726,Manual,Fair Price,R 129 000
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,45 187,Automatic,Great Price,R 244 500
Mahindra,Mahindra XUV 3XO,1.2T AX7L,2026,1 000,Automatic,Fair Price,R 379 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,1 000,Manual,Great Price,R 239 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,4 500,Manual,Great Price,R 239 990
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,42 670,Automatic,Fair Price,R 249 800
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2025,11 400,Automatic,Fair Price,R 254 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab Dropside S4 (aircon),2026,6 350,Manual,Great Price,R 279 890
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,2026,100,Manual,Great Price,R 299 800
Mahindra,ined,,unde,,,,
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2026,50,Automatic,Great Price,R 549 900
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,Mahindra XUV700,2.0T AX7 L,2023,72 297,Automatic,Fair Price,R 359 900
Mahindra,Mahindra XUV700,2.0T AX7 L Black Edition,2026,7 000,Automatic,No Rating,R 499 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S6,2026,Man,Diesel,No Rating,R 350 249
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,2026,Man,Diesel,No Rating,R 289 249
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor Adventure,2024,48 000,Automatic,No Rating,R 529 900
Mahindra,Mahindra Scorpio Pik Up,PIK UP 2.2 mHAWK S10 P/U D/C,2021,109 000,Manual,No Rating,R 299 950
Mahindra,Mahindra XUV300,1.2T W4 SE,2023,43 000,Manual,Great Price,R 189 890
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2026,Automa,Petrol,No Rating,R 278 000
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,2026,Man,Diesel,No Rating,R 350 249
Mahindra,Mahindra XUV500,2.2CRDe W10,2021,65 000,Automatic,High Price,R 349 950
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S6 Auto,2023,30 509,Automatic,No Rating,R 349 995
Mahindra,Mahindra XUV 3XO,1.2T AX5 Manual,2026,1 850,Manual,Great Price,R 279 950
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2025,20 000,Automatic,Fair Price,R 509 900
Mahindra,Mahindra XUV 3XO,1.2T AX7L,2025,15 800,Automatic,Fair Price,R 339 800
Mahindra,Mahindra XUV300,1.2T W6,2023,19 000,Manual,Great Price,R 199 900
Mahindra,,,,,,No Rating,
Mahindra,,,,,,Great Price,
Mahindra,,,,,,Great Price,
Mahindra,Mahindra XUV700,2.0T AX5,2024,55 000,Automatic,Great Price,R 325 900
Mahindra,Mahindra Bolero,2.5Di Maxitruck Plus,2025,19 000,Manual,Fair Price,R 199 950
Mahindra,Mahindra Scorpio-n,2.2d Z8,2026,Automa,Diesel,No Rating,R 458 000
Mahindra,Mahindra Pik Up,2.2 mHAWK S6 REFRESH P/U S/C,2022,111 000,Manual,Great Price,R 199 990
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2026,1 000,Automatic,Fair Price,R 262 999
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2026,80,Automatic,Fair Price,R 298 800
Mahindra,ined,,unde,,,,
Mahindra,Mahindra KUV100 Nxt,1.2 G80 K2+ #DARE,2022,60 035,Manual,Great Price,R 139 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab Dropside S4 (aircon),2026,1 789,Manual,Great Price,R 279 700
Mahindra,Mahindra XUV500,2.2CRDe W6,2021,76 000,Automatic,Great Price,R 249 950
Mahindra,Mahindra Scorpio,2.2CRDe 4x4 S11,2018,149 000,Manual,Fair Price,R 199 900
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,,,,,,No Rating,
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,2024,26 000,Manual,Fair Price,R 274 888
Mahindra,Mahindra Pik Up,2.2 mHAWK S6 REFRESH P/U S/C,2026,1 902,Manual,Great Price,R 309 800
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2025,41 000,Manual,Great Price,R 215 900
Mahindra,Mahindra Bolero,2.5Di Maxitruck Plus,2024,76 000,Manual,Fair Price,R 179 899
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab 4x4 S4 (aircon),2026,Man,Diesel,No Rating,R 347 249
Mahindra,Mahindra Bolero,2.5Di Maxitruck Plus,2026,Man,Diesel,No Rating,R 215 999
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,2026,50,Manual,Great Price,R 289 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab Dropside S4 (aircon),2026,50,Manual,Great Price,R 304 900
Mahindra,Mahindra XUV300,1.2T W4 SE,2023,54 782,Manual,Fair Price,R 214 800
Mahindra,Mahindra Scorpio,2.2TD S11,2022,67 657,Manual,High Price,R 349 900
Mahindra,Mahindra XUV 3XO,1.2T AX7L,2024,9 800,Automatic,Great Price,R 319 900
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2026,269,Automatic,Fair Price,R 289 950
Mahindra,Mahindra Pik Up,2.2 mHAWK S6 REFRESH P/U S/C,2025,49 988,Manual,Fair Price,R 299 950
Mahindra,Mahindra XUV700,2.0T AX7 L Black Edition,2025,6 500,Automatic,No Rating,R 479 999
Mahindra,Mahindra Scorpio-n,2.2d Z8 4xplor Adventure,2025,25 773,Automatic,No Rating,R 499 900
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,High Price,
Mahindra,ined,,unde,,,,
Mahindra,Mahindra XUV 3XO,1.2T MX1 Panel Van,2026,50,Manual,No Rating,R 239 900
Mahindra,Mahindra XUV 3XO,1.2T AX5 Auto,2026,1 000,Automatic,Fair Price,R 319 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo Dusk,2023,64 000,Automatic,No Rating,R 449 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab 4x4 S11 Karoo Dew,2026,Automa,Diesel,No Rating,R 650 149
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2026,Automa,Petrol,No Rating,R 279 999
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2026,Automa,Petrol,No Rating,R 279 999
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,Man,Petrol,No Rating,R 259 999
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,Man,Petrol,No Rating,R 259 999
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,Man,Petrol,No Rating,R 259 999
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2025,41 000,Manual,Fair Price,R 229 900
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra Scorpio-n,2.2d Z8 4xplor,2024,103 665,Automatic,Great Price,R 379 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2026,19 000,Automatic,Great Price,R 249 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2026,5 000,Automatic,Great Price,R 254 900
Mahindra,Mahindra Scorpio,2.2TD S11,2022,41 857,Manual,High Price,R 339 900
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S6 Karoo,2026,3 034,Manual,Fair Price,R 419 999
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2025,13 500,Automatic,Great Price,R 499 000
Mahindra,Mahindra XUV 3XO,1.2T MX2 Manual,2026,6 900,Manual,Great Price,R 219 900
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2025,1 946,Automatic,Great Price,R 269 900
Mahindra,Mahindra Pik Up,2.2CRDe S4 Dropside,2026,Man,Diesel,No Rating,R 299 900
Mahindra,Mahindra Pik Up,2.2CRDe S4,2026,Man,Diesel,No Rating,R 279 900
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2026,2 550,Automatic,Fair Price,R 269 990
Mahindra,Mahindra XUV 3XO,1.2T MX3 Auto,2026,Automa,Petrol,No Rating,R 278 000
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2026,15,Automatic,Great Price,R 509 890
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2025,33 000,Automatic,Great Price,R 479 900
Mahindra,Mahindra XUV300,1.5TD W6,2020,126 100,Manual,Fair Price,R 179 900
Mahindra,,,,,,Great Price,
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra Scorpio-n,2.2d Z8l 4xplor,2023,106 000,Automatic,Great Price,R 379 700
Mahindra,Mahindra XUV 3XO,1.2T MX3 Manual,2026,1 100,Manual,Fair Price,R 269 990
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab Dropside S4 (aircon),2026,2 500,Manual,Fair Price,R 289 900
Mahindra,Mahindra XUV 3XO,1.2T MX2 Auto,2026,4 200,Automatic,Fair Price,R 269 990
Mahindra,Mahindra XUV 3XO,1.2T MX3 Manual,2025,20 797,Manual,Great Price,R 239 900
Mahindra,Mahindra Pik Up,2.2CRDe Double Cab S11 Karoo,2026,5 000,Automatic,Fair Price,R 429 900
Mahindra,Mahindra XUV300,1.5TD W8,2022,40 345,Manual,Fair Price,R 249 900
Mahindra,Mahindra TUV300,1.5CRDe T8,2018,112 000,Manual,Fair Price,R 139 950
Mahindra,Mahindra Pik Up,2.2CRDe Single Cab S4,2026,100,Manual,Fair Price,R 309 800
Mahindra,Mahindra XUV 3XO,1.2T AX5 Manual,2025,15 000,Manual,Fair Price,R 279 990
Mahindra,,,,,,Great Price,
Mahindra,,,,,,Fair Price,
Mahindra,,,,,,Fair Price,
Mahindra,Mahindra XUV 3XO,1.2T AX7L,2026,50,Automatic,Great Price,R 369 900
