Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mazda,,,,,,No Rating,
Mazda,,,,,,Fair Price,
Mazda,,,,,,Fair Price,
Mazda,ined,,unde,,,,
Mazda,Mazda CX-5,2.5 Individual,2018,106 500,Automatic,Great Price,R 249 995
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2021,88 000,Automatic,Great Price,R 199 900
Mazda,Mazda CX-5,2.2DE AWD Akera,2017,128 000,Automatic,Fair Price,R 309 900
Mazda,Mazda CX-60,3.3d AWD Takumi,2025,20 783,Automatic,No Rating,R 839 800
Mazda,Mazda CX-5,2.0 Carbon Edition,2026,1 800,Automatic,Great Price,R 589 890
Mazda,Mazda CX-3,2.0 Dynamic Auto,2019,141 290,Automatic,Fair Price,R 234 990
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2022,60 400,Automatic,Great Price,R 224 900
Mazda,Mazda CX-3,2.0 Dynamic,2026,7 000,Automatic,Great Price,R 399 900
Mazda,Mazda BT-50,2.2 Double Cab SLE,2014,230 689,Manual,No Rating,R 249 950
Mazda,Mazda BT-50,3.2 Double Cab SLE Auto,2015,205 000,Automatic,No Rating,R 269 950
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,Mazda CX-5,2.0 Active,2026,14 867,Automatic,Low Price,R 439 950
Mazda,Mazda CX-5,2.0 Carbon Edition,2026,5 000,Automatic,Great Price,R 599 900
Mazda,Mazda CX-30,2.0 Dynamic Edition,2026,50,Automatic,No Rating,R 549 900
Mazda,Mazda CX-3,2.0 Individual,2023,8 000,Automatic,Great Price,R 348 888
Mazda,Mazda Mazda3,Hatch 1.5 Active,2020,157 000,Manual,No Rating,R 149 900
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2023,33 435,Automatic,Great Price,R 249 900
Mazda,Mazda Mazda2,1.5 Active,2026,1 000,Manual,Fair Price,R 305 900
Mazda,Mazda CX-3,2.0 Dynamic Auto,2019,138 915,Automatic,Fair Price,R 219 900
Mazda,Mazda CX-30,2.0 Carbon Edition,2023,58 000,Automatic,No Rating,R 359 000
Mazda,Mazda Mazda2,1.5 Dynamic,2017,176 955,Manual,Fair Price,R 159 900
Mazda,Mazda CX-5,2.0 Dynamic,2024,50 500,Automatic,Great Price,R 399 900
Mazda,Mazda CX-5,2.0 Active Auto,2020,128 600,Automatic,Fair Price,R 289 950
Mazda,Mazda CX-3,2.0 Dynamic,2026,500,Automatic,Great Price,R 429 900
Mazda,Mazda BT-50,2.2 88kW FreeStyle Cab SLX,2012,115 486,Manual,No Rating,R 169 990
Mazda,Mazda CX-3,2.0 Active,2021,69 422,Manual,Fair Price,R 259 000
Mazda,,,,,,Fair Price,
Mazda,,,,,,Great Price,
Mazda,,,,,,No Rating,
Mazda,Mazda CX-30,2.0 Active,2021,79 622,Automatic,Low Price,R 219 950
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2025,16 000,Automatic,Fair Price,R 299 950
Mazda,Mazda Mazda3,Hatch 1.5 Dynamic Manual,2026,1 500,Manual,No Rating,R 392 677
Mazda,Mazda CX-5,2.0 Dynamic,2020,77 000,Manual,Great Price,R 289 890
Mazda,Mazda CX-60,2.5 AWD Individual,2025,8 200,Automatic,No Rating,R 659 990
Mazda,Mazda Mazda2,1.5 Individual,2026,2 100,Automatic,No Rating,R 374 890
Mazda,Mazda CX-3,2.0 Dynamic Auto,2021,144 300,Automatic,Great Price,R 219 950
Mazda,Mazda CX-3,2.0 Dynamic Auto,2019,132 400,Automatic,Fair Price,R 219 950
Mazda,Mazda BT-50,3.2 FreeStyle Cab 4x4 SLE,2016,233 200,Manual,No Rating,R 269 800
Mazda,Mazda CX-5,2.0 Active Auto,2021,90 000,Automatic,Fair Price,R 335 990
Mazda,ined,,unde,,,,
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,Mazda CX-5,2.0 Carbon Edition,2026,5 600,Automatic,Great Price,R 579 900
Mazda,Mazda CX-5,2.2DE AWD Akera,2016,110 196,Automatic,High Price,R 319 900
Mazda,Mazda CX-60,2.5 Dynamic,2023,32 000,Automatic,Great Price,R 499 900
Mazda,Mazda CX-30,2.0 Active Edition,2026,7 500,Automatic,No Rating,R 449 900
Mazda,Mazda Mazda3,Hatch 2.0 Astina,2020,98 364,Automatic,Fair Price,R 299 900
Mazda,Mazda CX-3,2.0 Dynamic,2018,78 000,Manual,Fair Price,R 219 900
Mazda,Mazda CX-5,2.0 Carbon Edition,2022,42 500,Automatic,Great Price,R 399 900
Mazda,Mazda CX-5,2.0 Dynamic Auto,2021,82 456,Automatic,Fair Price,R 349 950
Mazda,Mazda Mazda3,Sedan 1.6 Dynamic Auto,2018,157 951,Automatic,Great Price,R 169 995
Mazda,Mazda Mazda3,Hatch 1.6 Dynamic,2017,83 920,Manual,No Rating,R 199 995
Mazda,Mazda CX-30,2.0 Individual,2024,50 000,Automatic,High Price,R 429 900
Mazda,Mazda CX-3,2.0 Dynamic,2023,61 000,Manual,No Rating,R 299 900
Mazda,Mazda CX-5,2.0 Dynamic Auto,2021,81 000,Automatic,Fair Price,R 349 899
Mazda,Mazda CX-5,2.0 Dynamic Auto,2020,96 000,Automatic,Fair Price,R 309 900
Mazda,Mazda Mazda2,1.5 Individual Auto,2021,143 000,Automatic,Great Price,R 209 900
Mazda,,,,,,No Rating,
Mazda,,,,,,High Price,
Mazda,,,,,,Fair Price,
Mazda,Mazda CX-3,2.0 Individual,2021,101 000,Automatic,Great Price,R 269 900
Mazda,Mazda CX-30,2.0 Carbon Edition,2024,32 662,Automatic,No Rating,R 414 900
Mazda,Mazda CX-3,2.0 Active,2021,57 508,Manual,Fair Price,R 244 900
Mazda,Mazda CX-5,2.0 Carbon Edition,2026,50,Automatic,Great Price,R 609 900
Mazda,Mazda CX-3,2.0 Active Auto,2017,101 000,Automatic,Great Price,R 169 900
Mazda,Mazda CX-3,2.0 Active,2020,84 000,Manual,Fair Price,R 215 900
Mazda,Mazda Mazda3,Hatch 1.5 Dynamic Auto,2026,3 800,Automatic,Fair Price,R 429 900
Mazda,Mazda CX-5,2.0 Active Auto,2021,113 550,Automatic,Fair Price,R 299 000
Mazda,Mazda CX-3,2.0 Dynamic Auto,2021,81 000,Automatic,Low Price,R 199 900
Mazda,Mazda CX-3,2.0 Dynamic Auto,2016,167 011,Automatic,Fair Price,R 199 600
Mazda,,,,,,Great Price,
Mazda,,,,,,Fair Price,
Mazda,,,,,,Great Price,
Mazda,Mazda Mazda2,1.5 Dynamic,2019,97 000,Manual,Great Price,R 169 900
Mazda,Mazda Mazda3,Hatch 1.5 Dynamic Auto,2020,105 490,Automatic,Fair Price,R 239 900
Mazda,Mazda Mazda2,1.5 Active,2021,160 000,Manual,Great Price,R 139 900
Mazda,ined,,unde,,,,
Mazda,Mazda CX-5,2.0 Carbon Edition,2026,50,Automatic,Great Price,R 609 900
Mazda,Mazda CX-5,2.0 Carbon Edition,2022,77 500,Automatic,High Price,R 419 900
Mazda,Mazda CX-5,2.0 Dynamic Auto,2018,117 600,Automatic,Fair Price,R 259 995
Mazda,Mazda CX-5,2.0 Active Auto,2021,94 800,Automatic,Great Price,R 279 900
Mazda,Mazda CX-30,2.0 Active,2022,45 000,Automatic,High Price,R 349 900
Mazda,Mazda BT-50,2.2 Double Cab SLE Auto,2018,192 200,Automatic,Great Price,R 269 950
Mazda,Mazda CX-5,2.0 Active Auto,2021,52 500,Automatic,High Price,R 359 900
Mazda,Mazda CX-3,2.0 Carbon Edition,2026,150,Automatic,Fair Price,R 515 500
Mazda,Mazda CX-60,3.3d AWD Takumi,2026,3 914,Automatic,No Rating,R 985 990
Mazda,Mazda CX-3,2.0 Active Auto,2019,91 000,Automatic,No Rating,R 219 999
Mazda,Mazda CX-5,2.0 Carbon Edition,2021,74 000,Automatic,High Price,R 399 900
Mazda,Mazda CX-3,2.0 Dynamic,2026,7 000,Automatic,Fair Price,R 439 900
Mazda,,,,,,Fair Price,
Mazda,,,,,,Fair Price,
Mazda,,,,,,Fair Price,
Mazda,Mazda CX-5,2.2DE AWD Akera,2020,88 000,Automatic,Fair Price,R 389 900
Mazda,Mazda CX-5,2.2DE AWD Akera,2022,141 000,Automatic,Fair Price,R 349 900
Mazda,Mazda CX-5,2.0 Active Auto,2015,134 100,Automatic,Fair Price,R 209 900
Mazda,Mazda CX-5,2.0 Dynamic,2026,50,Automatic,Fair Price,R 559 900
Mazda,Mazda Mazda3,Hatch 1.5 Dynamic Auto,2026,150,Automatic,High Price,R 489 900
Mazda,Mazda CX-5,2.0 Dynamic,2026,50,Automatic,Fair Price,R 559 900
Mazda,Mazda CX-3,2.0 Dynamic Auto,2021,144 300,Automatic,Great Price,R 219 950
Mazda,Mazda CX-5,2.0 Dynamic,2024,48 000,Automatic,Great Price,R 399 900
Mazda,Mazda CX-3,2.0 Individual,2019,91 000,Automatic,High Price,R 289 990
Mazda,Mazda CX-60,2.5 Dynamic,2023,32 000,Automatic,Great Price,R 499 900
Mazda,,,,,,No Rating,
Mazda,,,,,,High Price,
Mazda,,,,,,High Price,
Mazda,Mazda Mazda2,1.5 Active,2019,196 000,Manual,No Rating,R 119 900
Mazda,Mazda CX-3,2.0 Dynamic,2016,110 000,Manual,Fair Price,R 209 950
Mazda,Mazda CX-5,2.0 Active (Auto),2023,25 500,Automatic,Fair Price,R 359 890
Mazda,Mazda CX-60,2.5 AWD Individual,2025,7 510,Automatic,No Rating,R 674 900
Mazda,Mazda Mazda3,Hatch 1.5 Dynamic Auto,2023,38 000,Automatic,No Rating,R 349 000
Mazda,Mazda CX-5,2.2DE AWD Akera,2018,142 069,Automatic,Great Price,R 299 950
Mazda,Mazda CX-5,2.0 Active (Auto),2023,36 692,Automatic,High Price,R 399 900
Mazda,Mazda Mazda3,Hatch 1.5 Active,2023,110 000,Manual,No Rating,R 269 999
Mazda,Mazda CX-5,2.0 Dynamic Auto,2018,78 397,Automatic,Fair Price,R 279 900
Mazda,Mazda CX-5,2.0 Carbon Edition,2023,28 766,Automatic,Fair Price,R 479 900
Mazda,Mazda CX-5,2.0 Dynamic,2026,60,Automatic,Fair Price,R 559 900
Mazda,ined,,unde,,,,
Mazda,Mazda CX-60,3.3d AWD Takumi,2025,13 215,Automatic,No Rating,R 869 900
Mazda,Mazda CX-5,2.0 Active Auto,2016,180 550,Automatic,Fair Price,R 219 950
Mazda,Mazda CX-5,2.0 Dynamic,2026,3 000,Automatic,Fair Price,R 559 990
Mazda,Mazda Mazda2,1.5 Active,2021,112 720,Manual,Great Price,R 184 900
Mazda,,,,,,Great Price,
Mazda,,,,,,No Rating,
Mazda,,,,,,Fair Price,
Mazda,Mazda CX-3,2.0 Individual,2019,91 000,Automatic,High Price,R 289 990
Mazda,Mazda CX-60,2.5 Dynamic,2023,32 000,Automatic,Great Price,R 499 900
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2026,12 000,Automatic,Fair Price,R 319 900
Mazda,Mazda Mazda2,1.5 Active,2019,196 000,Manual,No Rating,R 119 900
Mazda,Mazda CX-3,2.0 Dynamic,2016,110 000,Manual,Fair Price,R 209 950
Mazda,Mazda CX-5,2.0 Active (Auto),2023,25 500,Automatic,Fair Price,R 359 890
Mazda,Mazda CX-60,2.5 AWD Individual,2025,7 510,Automatic,No Rating,R 674 900
Mazda,Mazda Mazda3,Hatch 1.5 Dynamic Auto,2023,38 000,Automatic,No Rating,R 349 000
Mazda,Mazda CX-5,2.2DE AWD Akera,2018,142 069,Automatic,Great Price,R 299 950
Mazda,Mazda CX-5,2.0 Active (Auto),2023,36 692,Automatic,High Price,R 399 900
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,,,,,,No Rating,
Mazda,Mazda Mazda3,Hatch 1.5 Active,2023,110 000,Manual,No Rating,R 269 999
Mazda,Mazda CX-5,2.0 Carbon Edition,2023,28 766,Automatic,Fair Price,R 479 900
Mazda,Mazda CX-5,2.0 Dynamic,2026,60,Automatic,Fair Price,R 559 900
Mazda,Mazda CX-60,3.3d AWD Takumi,2025,13 215,Automatic,No Rating,R 869 900
Mazda,Mazda CX-5,2.0 Active Auto,2016,180 550,Automatic,Fair Price,R 219 950
Mazda,Mazda CX-5,2.0 Dynamic,2026,3 000,Automatic,Fair Price,R 559 990
Mazda,Mazda Mazda2,1.5 Active,2021,112 720,Manual,Great Price,R 184 900
Mazda,ined,,unde,,,,
Mazda,Mazda CX-3,2.0 Dynamic,2023,35 000,Manual,No Rating,R 309 900
Mazda,Mazda Mazda2,1.5 Dynamic,2023,86 200,Manual,Great Price,R 199 900
Mazda,Mazda CX-5,2.5 Individual,2016,106 000,Automatic,No Rating,R 289 900
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2022,42 000,Automatic,Fair Price,R 239 900
Mazda,Mazda CX-5,2.0 Active (Auto),2022,140 000,Automatic,Great Price,R 279 900
Mazda,Mazda CX-60,3.3d AWD Takumi,2026,100,Automatic,No Rating,R 929 900
Mazda,Mazda Mazda3,Sedan 1.5 Dynamic Auto,2019,83 500,Automatic,No Rating,R 249 900
Mazda,Mazda CX-3,2.0 Active,2016,151 000,Manual,Fair Price,R 199 900
Mazda,,,,,,Great Price,
Mazda,,,,,,Fair Price,
Mazda,,,,,,No Rating,
Mazda,Mazda CX-5,2.0 Active (Auto),2024,65 000,Automatic,Fair Price,R 399 900
Mazda,Mazda CX-3,2.0 Active,2024,88 999,Manual,No Rating,R 299 950
Mazda,Mazda Mazda3,Hatch 1.6 Dynamic,2018,164 100,Manual,No Rating,R 169 900
Mazda,Mazda Mazda2,1.5 Dynamic,2020,65 950,Manual,Great Price,R 169 890
Mazda,Mazda CX-3,2.0 Active Auto,2024,57 000,Automatic,Fair Price,R 299 900
Mazda,Mazda Mazda2,1.5 Dynamic Auto,2025,14 500,Automatic,Low Price,R 249 900
Mazda,Mazda CX-5,2.0 Dynamic Auto,2021,102 000,Automatic,Great Price,R 309 900
Mazda,Mazda CX-5,2.5 Individual,2015,136 900,Automatic,No Rating,R 209 900
Mazda,Mazda CX-5,2.0 Dynamic,2026,3 400,Automatic,Great Price,R 519 800
Mazda,Mazda Mazda2,1.5 Dynamic,2021,58 000,Manual,Fair Price,R 209 900
Mazda,,,,,,No Rating,
Mazda,,,,,,Fair Price,
Mazda,,,,,,No Rating,
