Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mercedes-AMG,,,,,,Fair Price,
Mercedes-AMG,,,,,,Great Price,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,Mercedes-AMG SL,SL43,2024,5 000,Automatic,Great Price,R 2 249 900
Mercedes-AMG,Mercedes-AMG G-Class,G63,2022,31 000,Automatic,Great Price,R 3 799 900
Mercedes-AMG,Mercedes-AMG G-Class,G63,2022,50 500,Automatic,Great Price,R 3 579 990
Mercedes-AMG,Mercedes-AMG GT,GT63 S 4Matic+ 4-Door Coupe Edition 1,2020,31 310,Automatic,No Rating,R 1 899 900
Mercedes-AMG,Mercedes-AMG GT,GT R Coupe,2019,16 800,Automatic,No Rating,R 3 149 900
Mercedes-AMG,Mercedes-AMG C-Class,C63 S Coupe,2018,71 000,Automatic,Great Price,R 934 888
Mercedes-AMG,Mercedes-AMG C-Class,C43 4Matic,2019,93 000,Automatic,High Price,R 699 950
Mercedes-AMG,Mercedes-AMG A-Class,A35 Hatch 4Matic,2022,35 920,Automatic,No Rating,R 779 900
Mercedes-AMG,Mercedes-AMG G-Class,G63 Edition 1,2019,66 500,Automatic,No Rating,R 2 999 995
Mercedes-AMG,Mercedes-AMG CLA,CLA45 S 4Matic+,2024,33 000,Automatic,High Price,R 1 419 900
Mercedes-AMG,,,,,,Fair Price,
Mercedes-AMG,,,,,,No Rating,
Mercedes-AMG,,,,,,Great Price,
Mercedes-AMG,Mercedes-AMG G-Class,G63,2026,50,Automatic,Fair Price,R 5 799 995
Mercedes-AMG,ined,,unde,,,,
Mercedes-AMG,Mercedes-AMG GLE,GLE53 Coupe 4Matic+,2021,50 500,Automatic,Great Price,R 1 499 900
Mercedes-AMG,Mercedes-AMG GLE,GLE63 S Coupe 4Matic+,2020,55 200,Automatic,Great Price,R 1 299 999
Mercedes-AMG,Mercedes-AMG S-Class,S63 E Performance,2025,100,Automatic,No Rating,R 4 499 000
Mercedes-AMG,Mercedes-AMG GLC,GLC43 Coupe,2025,7 300,Automatic,No Rating,R 1 799 900
Mercedes-AMG,Mercedes-AMG C-Class,C63 S Coupe,2016,72 000,Automatic,Fair Price,R 899 900
Mercedes-AMG,Mercedes-AMG G-Class,G63,2026,150,Automatic,Fair Price,R 5 999 900
Mercedes-AMG,Mercedes-AMG GLC,GLC43 Coupe 4Matic,2019,57 000,Automatic,Great Price,R 799 000
