Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Mitsubishi,,,,,,Great Price,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Pajero Sport,2.5DI-D Auto,2017,193 000,Automatic,Great Price,R 219 900
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2023,86 000,Automatic,Great Price,R 299 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,2022,46 000,Automatic,Fair Price,R 299 950
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Exceed,2022,59 000,Automatic,Fair Price,R 619 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Heritage,2024,46 500,Automatic,No Rating,R 529 990
Mitsubishi,Mitsubishi Pajero Sport,2.4D  4x4 Shogun,2019,112 343,Automatic,No Rating,R 379 900
Mitsubishi,Mitsubishi Pajero Sport,2.5DI-D Auto,2015,175 000,Automatic,Fair Price,R 229 990
Mitsubishi,Mitsubishi Pajero Sport,3.2DI-D GLS Auto,2012,247 889,Automatic,Great Price,R 169 950
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Exceed,2021,52 000,Automatic,Fair Price,R 549 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS Auto,2025,5 500,Automatic,Great Price,R 589 900
Mitsubishi,ined,,unde,,,,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,Fair Price,
Mitsubishi,,,,,,Fair Price,
Mitsubishi,Mitsubishi ASX,2.0 Auto,2021,92 000,Automatic,Great Price,R 229 480
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Aspire,2022,60 275,Automatic,Great Price,R 559 900
Mitsubishi,Mitsubishi Outlander,2.4 GLS Exceed,2017,181 000,Automatic,No Rating,R 219 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,2023,56 600,Automatic,Fair Price,R 299 950
Mitsubishi,Mitsubishi ASX,2.0 GLX,2012,164 600,Manual,No Rating,R 129 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab Athlete 4x4,2026,Automa,Diesel,No Rating,R 929 900
Mitsubishi,Mitsubishi Pajero,3-Door 3.2DI-D GLS,2019,45 700,Automatic,Fair Price,R 699 999
Mitsubishi,Mitsubishi Pajero Sport,2.4 D4 4x4,2020,122 403,Automatic,Fair Price,R 439 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Auto,2023,102 000,Automatic,Great Price,R 439 990
Mitsubishi,Mitsubishi Xpander,1.5 Auto,2026,2 500,Automatic,No Rating,R 368 500
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,2012,293 000,Automatic,No Rating,R 319 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D,2022,56 738,Automatic,Great Price,R 499 900
Mitsubishi,Mitsubishi Xpander,1.5 Manual,2026,Man,Petrol,No Rating,R 365 995
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Xtreme,2023,101 000,Automatic,Fair Price,R 499 950
Mitsubishi,Mitsubishi Outlander Sport,1.5 Exceed,2025,12 200,Automatic,No Rating,R 389 000
Mitsubishi,,,,,,Great Price,
Mitsubishi,,,,,,Fair Price,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Pajero Sport,2.4 D4,2019,72 560,Automatic,Great Price,R 419 900
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2021,15 000,Automatic,Great Price,R 274 890
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2023,62 000,Automatic,Great Price,R 299 899
Mitsubishi,Mitsubishi Eclipse Cross,1.5T GLS,2021,42 000,Automatic,Fair Price,R 269 900
Mitsubishi,Mitsubishi Pajero,3-Door 3.2DI-D GLS,2021,45 000,Automatic,High Price,R 879 900
Mitsubishi,Mitsubishi Xpander,1.5 Manual,2023,155 000,Manual,Fair Price,R 249 800
Mitsubishi,Mitsubishi Triton,2.4DI-D Single Cab GL,2025,3 900,Manual,No Rating,R 399 900
Mitsubishi,ined,,unde,,,,
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2024,58 000,Automatic,Great Price,R 299 890
Mitsubishi,Mitsubishi ASX,2.0 ES Auto,2024,17 500,Automatic,Fair Price,R 299 990
Mitsubishi,Mitsubishi Eclipse Cross,1.5T GLS,2022,92 000,Automatic,Fair Price,R 299 800
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Outlander Sport,1.5 Exceed,2026,5 000,Automatic,No Rating,R 409 500
Mitsubishi,Mitsubishi ASX,2.0 Auto,2021,67 000,Automatic,Great Price,R 249 000
Mitsubishi,Mitsubishi Outlander Sport,1.5 GL,2026,Automa,Petrol,No Rating,R 449 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,2023,95 500,Automatic,Fair Price,R 289 950
Mitsubishi,Mitsubishi ASX,2.0 ES,2024,17 000,Manual,No Rating,R 219 900
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2022,43 000,Automatic,Fair Price,R 319 950
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Legend II,2017,236 571,Automatic,No Rating,R 459 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS Auto,2026,Automa,Diesel,No Rating,R 679 900
Mitsubishi,Mitsubishi Pajero,3-Door 3.2DI-D GLS,2020,78 000,Automatic,Fair Price,R 699 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Aspire,2022,75 000,Automatic,Fair Price,R 529 900
Mitsubishi,Mitsubishi Pajero,5-Door 3.2DI-D GLS Exceed,2021,67 067,Automatic,Fair Price,R 799 900
Mitsubishi,Mitsubishi Pajero Sport,2.5DI-D 4x4 Auto,2016,150 340,Automatic,Fair Price,R 299 995
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab 4x4 Auto,2017,112 000,Automatic,Fair Price,R 349 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4,2023,57 240,Automatic,Fair Price,R 579 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D Aspire,2023,32 185,Automatic,High Price,R 579 900
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,Great Price,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2023,46 000,Automatic,Great Price,R 299 900
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2023,47 000,Automatic,Great Price,R 299 900
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2023,60 000,Automatic,Great Price,R 299 900
Mitsubishi,ined,,unde,,,,
Mitsubishi,Mitsubishi Eclipse Cross,2.0 GLS,2023,46 500,Automatic,Great Price,R 299 900
Mitsubishi,Mitsubishi ASX,2.0 GLS Auto,2018,75 000,Automatic,No Rating,R 229 995
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4,2020,138 000,Automatic,Fair Price,R 429 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GLS Auto,2025,40 500,Automatic,Fair Price,R 549 900
Mitsubishi,Mitsubishi Xpander,1.5 Manual,2026,200,Manual,Great Price,R 365 990
Mitsubishi,Mitsubishi Xpander,1.5 Manual,2026,100,Manual,Great Price,R 349 900
Mitsubishi,Mitsubishi Pajero Sport,2.5DI-D 4x4 Auto,2016,171 000,Automatic,Fair Price,R 279 900
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,,,,,,No Rating,
Mitsubishi,Mitsubishi Xpander,1.5 Auto,2026,Automa,Petrol,No Rating,R 365 995
Mitsubishi,Mitsubishi ASX,2.0 GLS,2017,85 038,Manual,No Rating,R 199 900
Mitsubishi,Mitsubishi Triton,2.4DI-D Double Cab GL,2023,80 000,Manual,Fair Price,R 400 000
Mitsubishi,Mitsubishi ASX,2.0 LS,2023,75 000,Manual,No Rating,R 309 900
Mitsubishi,Mitsubishi Xpander,1.5 Auto,2025,18 500,Automatic,No Rating,R 319 890
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D Aspire,2023,45 000,Automatic,Great Price,R 529 900
Mitsubishi,Mitsubishi ASX,2.0 Auto,2021,69 000,Automatic,Great Price,R 249 900
Mitsubishi,Mitsubishi Xpander,1.5 Manual,2026,150,Manual,High Price,R 389 950
Mitsubishi,Mitsubishi ASX,2.0 ES Auto,2024,23 900,Automatic,Low Price,R 259 900
Mitsubishi,Mitsubishi Pajero Sport,2.4DI-D 4x4 Aspire,2022,57 159,Automatic,Fair Price,R 599 900
