Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Nissan,,,,,,Fair Price,
Nissan,,,,,,No Rating,
Nissan,,,,,,No Rating,
Nissan,Nissan Navara,2.5DDTi Double Cab LE 4x4 Auto,2021,113 500,Automatic,Great Price,R 429 995
Nissan,Nissan Qashqai,1.6 Acenta,2013,147 000,Manual,No Rating,R 139 900
Nissan,Nissan Micra Active,1.2 Visia,2020,21 900,Manual,Fair Price,R 164 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Auto,2024,28 000,Automatic,Great Price,R 234 900
Nissan,Nissan Qashqai,1.2T Midnight Edition,2021,67 700,Automatic,Fair Price,R 279 900
Nissan,Nissan Magnite,1.0 Acenta Auto,2026,5 000,Automatic,Great Price,R 239 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,2025,25 500,Automatic,Great Price,R 589 900
Nissan,Nissan Qashqai,1.5dCi Acenta,2015,188 000,Manual,Great Price,R 139 900
Nissan,Nissan Qashqai,1.3T Acenta,2024,63 000,Automatic,Fair Price,R 349 950
Nissan,Nissan NP200,1.5dCi Safety Pack,2020,144 000,Manual,Great Price,R 139 950
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,Nissan NV350,Impendulo 2.5i 16-seater (Aircon),2020,84 000,Manual,No Rating,R 369 995
Nissan,Nissan Navara,2.5DDTi Double Cab LE,2022,82 500,Automatic,Great Price,R 429 900
Nissan,Nissan Navara,2.5DDTi Double Cab Pro-4x 4x4 Warrior,2026,1 001,Automatic,No Rating,R 759 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,2023,33 215,Automatic,Great Price,R 229 990
Nissan,Nissan Magnite,1.0 Acenta Auto,2026,1 000,Automatic,Great Price,R 229 900
Nissan,Nissan NP300 Hardbody,2.5TDi Double Cab Hi-Rider,2017,109 184,Manual,Fair Price,R 219 950
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,2022,68 000,Manual,High Price,R 239 950
Nissan,Nissan Magnite,1.0 Turbo Acenta Red Edition Auto,2022,34 000,Automatic,Great Price,R 219 900
Nissan,Nissan Magnite,1.0 Turbo Acenta,2022,70 000,Manual,Great Price,R 179 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Manual,2025,22 901,Manual,Great Price,R 229 900
Nissan,ined,,unde,,,,
Nissan,Nissan Navara,2.5DDTi Double Cab SE Plus 4x4,2021,72 000,Manual,Great Price,R 349 990
Nissan,Nissan Magnite,1.0 Visia Manual,2025,17 000,Manual,High Price,R 249 950
Nissan,Nissan X-Trail,2.5 4x4 Acenta,2021,71 751,Automatic,Fair Price,R 299 900
Nissan,Nissan NP200,1.6 16v High,2020,193 000,Manual,Fair Price,R 179 900
Nissan,Nissan Magnite,1.0 Move Panel Van,2025,50,Manual,Great Price,R 179 900
Nissan,,,,,,Fair Price,
Nissan,,,,,,Great Price,
Nissan,,,,,,Fair Price,
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,2021,144 008,Manual,Fair Price,R 159 000
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,2023,62 000,Manual,Fair Price,R 219 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,2021,37 000,Automatic,Fair Price,R 519 900
Nissan,Nissan NP200,1.5dCi Safety Pack,2016,108 200,Manual,Fair Price,R 164 995
Nissan,Nissan Navara,2.5DDTi Double Cab SE Plus,2023,136 800,Manual,Low Price,R 339 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,2021,87 875,Automatic,Great Price,R 429 900
Nissan,Nissan Magnite,1.0 Acenta Manual,2026,Man,Petrol,No Rating,R 277 300
Nissan,Nissan Magnite,1.0 Acenta Manual,2026,Man,Petrol,No Rating,R 277 300
Nissan,Nissan Magnite,1.0 Visia Manual,2026,Man,Petrol,No Rating,R 246 200
Nissan,Nissan Magnite,1.0 Visia Manual,2026,Man,Petrol,No Rating,R 246 200
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Great Price,
Nissan,ined,,unde,,,,
Nissan,Nissan Magnite,1.0 Visia Manual,2026,Man,Petrol,No Rating,R 246 200
Nissan,Nissan NP300 Hardbody,2.4 Double Cab 4x4,2015,251 132,Manual,No Rating,R 189 990
Nissan,Nissan Navara,2.5DDTi Single Cab XE,2026,1 500,Manual,Fair Price,R 399 900
Nissan,Nissan Navara,2.5DDTi Double Cab LE,2025,15 000,Automatic,Great Price,R 519 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-4X 4x4,2026,3 500,Automatic,Fair Price,R 775 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,2022,54 500,Manual,Great Price,R 199 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,2019,213 800,Manual,Fair Price,R 149 990
Nissan,Nissan X-Trail,2.5 4x4 Tekna,2021,47 000,Automatic,Fair Price,R 349 950
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,2023,38 000,Manual,Great Price,R 199 900
Nissan,Nissan Qashqai,1.2T Midnight Edition,2021,60 000,Automatic,Great Price,R 279 900
Nissan,Nissan X-Trail,2.5 4x4 Acenta Plus,2019,139 000,Automatic,Great Price,R 189 900
Nissan,Nissan Navara,2.5 XE,2022,22 000,Manual,Fair Price,R 299 950
Nissan,Nissan Magnite,1.0 Visia,2023,37 331,Manual,Fair Price,R 189 900
Nissan,Nissan X-Trail,2.5 4x4 SE Auto,2017,128 300,Automatic,Fair Price,R 209 995
Nissan,Nissan NP200,1.5dCi Safety Pack,2019,193 000,Manual,Fair Price,R 169 900
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Great Price,
Nissan,Nissan Magnite,1.0 Acenta Auto,2025,32 000,Automatic,Fair Price,R 259 950
Nissan,Nissan X-Trail,2.0 Visia,2023,11 500,Manual,Fair Price,R 399 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus,2026,7 000,Automatic,Great Price,R 289 900
Nissan,Nissan Qashqai,1.2T Acenta Auto,2019,103 340,Automatic,Great Price,R 199 900
Nissan,Nissan X-Trail,1.6dCi Visia,2018,106 000,Manual,High Price,R 269 950
Nissan,Nissan Navara,2.5DDTi Double Cab SE Plus Auto,2024,21 208,Automatic,Fair Price,R 489 900
Nissan,Nissan NP200,1.6i (Aircon) Safety Pack,2023,40 800,Manual,Fair Price,R 249 900
Nissan,Nissan Navara,2.5DDTi Double Cab SE Plus Auto,2026,3 000,Automatic,Great Price,R 499 900
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,2021,37 000,Automatic,Great Price,R 199 990
Nissan,Nissan Magnite,1.0 Turbo Acenta Plus Auto,2023,47 100,Automatic,Fair Price,R 229 950
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,,,,,,Fair Price,
Nissan,Nissan Magnite,1.0 Visia Manual,2026,Man,Petrol,No Rating,R 246 200
Nissan,Nissan Magnite,1.0 Acenta Manual,2025,9 000,Manual,Great Price,R 219 800
Nissan,Nissan Magnite,1.0 Acenta Auto,2025,32 000,Automatic,Great Price,R 199 900
Nissan,Nissan Navara,2.5DDTi Double Cab PRO-2X,2022,80 000,Automatic,High Price,R 599 950
Nissan,Nissan Magnite,1.0 Turbo Acenta,2022,37 396,Manual,Fair Price,R 228 900
Nissan,ined,,unde,,,,
Nissan,Nissan Qashqai,1.5dCi Acenta Tech,2018,110 000,Manual,Fair Price,R 199 899
