Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,Omoda C7,1.5T SHS PHEV,2026,Automa,Hybrid,No Rating,R 659 900
OMODA,Omoda C5,1.5T 230T Lux X,2026,5 650,Automatic,Great Price,R 378 890
OMODA,Omoda C7,1.6T Luxury,2026,1 000,Automatic,No Rating,R 529 900
OMODA,Omoda C7,1.5T SHS PHEV,2026,Automa,Hybrid,No Rating,R 627 900
OMODA,Omoda C7,1.5T SHS PHEV,2026,Automa,Hybrid,No Rating,R 627 900
OMODA,Omoda C7,1.5T SHS PHEV,2026,Automa,Hybrid,No Rating,R 627 900
OMODA,Omoda C7,1.5T SHS PHEV,2026,Automa,Hybrid,No Rating,R 627 900
OMODA,Omoda C7,1.6T Elegance,2026,Automa,Petrol,No Rating,R 526 900
OMODA,Omoda C7,1.6T Elegance,2026,Automa,Petrol,No Rating,R 526 900
OMODA,Omoda C7,1.6T Luxury,2026,Automa,Petrol,No Rating,R 478 500
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,ined,,unde,,,,
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C7,1.6T Luxury,2026,1 500,Automatic,No Rating,R 485 800
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,Great Price,
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T SHS HEV,2026,Automa,Hybrid,No Rating,R 458 000
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,ined,,unde,,,,
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 000
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 328 900
OMODA,Omoda C5,1.5T 230T Elegance X,2026,Automa,Petrol,No Rating,R 398 000
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 379 500
OMODA,Omoda C5,1.5T 230T Elegance X,2026,Automa,Petrol,No Rating,R 398 000
OMODA,Omoda C5,1.5T 230T Elegance X,2026,Automa,Petrol,No Rating,R 398 000
OMODA,Omoda C5,1.5T 230T Elegance X,2026,Automa,Petrol,No Rating,R 398 000
OMODA,Omoda C5,1.5T 230T Elegance X,2026,Automa,Petrol,No Rating,R 398 000
OMODA,Omoda C5,1.5T 230T Elegance X,2026,Automa,Petrol,No Rating,R 398 000
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 384 000
OMODA,Omoda C5,1.5T 230T Elegance S,2023,31 000,Automatic,Great Price,R 319 900
OMODA,Omoda C5,1.5T 230T Style,2025,2 300,Automatic,Great Price,R 309 900
OMODA,Omoda C5,1.5T 230T Street +,2026,1 500,Automatic,No Rating,R 299 700
OMODA,Omoda C7,1.5T SHS PHEV,2026,7 000,Automatic,No Rating,R 649 900
OMODA,Omoda C7,1.5T SHS PHEV,2026,6 500,Automatic,No Rating,R 599 900
OMODA,Omoda C5,1.5T 230T Elegance X,2026,1 950,Automatic,Great Price,R 384 500
OMODA,,,,,,Low Price,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,Omoda C5,1.5T 230T Elegance X,2026,1 950,Automatic,Great Price,R 384 500
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 344 192
OMODA,Omoda C5,1.5T 230T Elegance S,2024,20 000,Automatic,Fair Price,R 369 900
OMODA,Omoda C9,2.0TGDI 400T Inspire,2025,6 500,Automatic,Great Price,R 599 900
OMODA,Omoda C5,1.5T 230T Elegance S,2023,44 000,Automatic,Great Price,R 319 900
OMODA,Omoda C9,1.5T PHEV Explore AWD,2026,1 500,Automatic,Fair Price,R 918 900
OMODA,ined,,unde,,,,
OMODA,Omoda C9,1.5T PHEV Explore AWD,2025,5 000,Automatic,Fair Price,R 879 900
OMODA,Omoda C7,1.5T SHS PHEV,2026,Automa,Hybrid,No Rating,R 689 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 374 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 363 400
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,Fair Price,
OMODA,Omoda C9,2.0TGDI 400T Explore AWD,2026,1 500,Automatic,Fair Price,R 809 800
OMODA,Omoda C5,1.5T 230T Style X,2026,500,Automatic,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Lux X,2025,5 000,Automatic,Great Price,R 369 000
OMODA,Omoda C5,1.5T 230T Tech,2024,42 500,Automatic,Great Price,R 299 900
OMODA,Omoda C5,1.5T SHS HEV,2026,Automa,Hybrid,No Rating,R 469 900
OMODA,Omoda C5,1.5T SHS HEV,2026,Automa,Hybrid,No Rating,R 469 900
OMODA,Omoda C5,1.5T SHS HEV,2026,Automa,Hybrid,No Rating,R 469 900
OMODA,Omoda C5,1.5T 230T Style,2025,11 000,Automatic,Great Price,R 313 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 374 900
OMODA,Omoda C9,2.0TGDI 400T Explore AWD,2025,17 500,Automatic,Fair Price,R 699 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,8,Automatic,No Rating,R 344 800
OMODA,Omoda C5,1.5T 230T Street +,2026,8,Automatic,No Rating,R 344 800
OMODA,Omoda C5,1.5T 230T Elegance X,2026,1 800,Automatic,Great Price,R 384 890
OMODA,Omoda C5,1.5 Street,2025,27 741,Automatic,Great Price,R 279 900
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,8,Automatic,No Rating,R 344 800
OMODA,Omoda C5,1.5T 230T Street +,2026,8,Automatic,No Rating,R 344 800
OMODA,Omoda C5,1.5T 230T Elegance X,2026,1 800,Automatic,Great Price,R 384 890
OMODA,Omoda C5,1.5 Street,2025,27 741,Automatic,Great Price,R 279 900
OMODA,Omoda C7,1.6T Elegance,2026,1 000,Automatic,No Rating,R 589 900
OMODA,ined,,unde,,,,
OMODA,Omoda C7,1.5T SHS PHEV,2026,1 000,Automatic,No Rating,R 689 900
OMODA,Omoda C5,1.5T 230T Street +,2026,2 350,Automatic,No Rating,R 299 890
OMODA,Omoda C5,1.5T 230T Street +,2026,1 800,Automatic,No Rating,R 299 890
OMODA,Omoda C5,1.5T 230T Style,2025,14 886,Automatic,Fair Price,R 339 000
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,Omoda C9,1.5T PHEV Explore AWD,2026,Automa,Hybrid,No Rating,R 949 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 309 900
OMODA,Omoda C5,1.5T 230T Lux,2024,72 254,Automatic,Great Price,R 329 900
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 425 900
OMODA,Omoda C5,1.5T 230T Lux,2024,26 900,Automatic,Low Price,R 329 900
OMODA,Omoda C5,1.5T 230T Lux,2024,31 000,Automatic,Fair Price,R 368 888
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Style X,2026,1 250,Automatic,No Rating,R 374 900
OMODA,Omoda C5,1.5T 230T Style X,2026,1 250,Automatic,No Rating,R 374 890
OMODA,Omoda C5,1.5T 230T Style X,2026,1 250,Automatic,No Rating,R 374 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,Great Price,
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,ined,,unde,,,,
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C9,Inspire 2WD,2024,13 200,Automatic,Low Price,R 564 000
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,,,,,,No Rating,
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 425 900
OMODA,Omoda C5,1.5T 230T Style X,2025,11 000,Automatic,No Rating,R 319 900
OMODA,Omoda C5,1.5T 230T Lux X,2026,Automa,Petrol,No Rating,R 425 900
OMODA,Omoda C9,2.0TGDI 400T Inspire,2026,5 000,Automatic,Great Price,R 629 900
OMODA,Omoda C5,1.5T 230T Elegance X,2026,1 282,Automatic,Great Price,R 399 900
OMODA,Omoda C5,1.5T 230T Street +,2026,400,Automatic,No Rating,R 379 950
OMODA,Omoda C5,1.5T 230T Street +,2026,10,Automatic,No Rating,R 344 800
OMODA,Omoda C7,1.6T Elegance,2026,1 500,Automatic,No Rating,R 509 800
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Lux X,2026,5,Automatic,Fair Price,R 425 900
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C9,2.0TGDI 400T Inspire,2025,2 300,Automatic,Great Price,R 599 900
OMODA,Omoda C5,1.5T 230T Style X,2026,1 850,Automatic,No Rating,R 339 890
OMODA,Omoda C7,1.6T Elegance,2026,10 436,Automatic,No Rating,R 489 900
OMODA,,,,,,No Rating,
OMODA,,,,,,High Price,
OMODA,,,,,,No Rating,
OMODA,Omoda C5,1.5T 230T Street +,2026,Automa,Petrol,No Rating,R 339 900
OMODA,Omoda C5,1.5T 230T Street +,2026,19,Automatic,No Rating,R 349 900
OMODA,Omoda C5,1.5T 230T Elegance X,2026,15,Automatic,Fair Price,R 439 900
OMODA,Omoda C9,1.5T PHEV Explore AWD,2026,4 500,Automatic,Fair Price,R 879 900
OMODA,Omoda C7,1.5T SHS PHEV,2025,12 000,Automatic,No Rating,R 559 900
OMODA,Omoda C7,1.6T Elegance,2026,13 000,Automatic,No Rating,R 529 820
OMODA,Omoda C5,1.5T 230T Street +,2026,200,Automatic,No Rating,R 319 800
OMODA,Omoda C5,1.5T 230T Street +,2026,200,Automatic,No Rating,R 319 800
OMODA,Omoda C5,1.5T 230T Street +,2026,200,Automatic,No Rating,R 329 800
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 374 900
OMODA,,,,,,Low Price,
OMODA,,,,,,Great Price,
OMODA,,,,,,Fair Price,
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 374 900
OMODA,Omoda C5,1.5T 230T Style X,2026,Automa,Petrol,No Rating,R 374 900
OMODA,Omoda C5,1.5T 230T Street +,2026,1 000,Automatic,No Rating,R 309 900
