Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
porsche,,,,,,Fair Price,
porsche,,,,,,Fair Price,
porsche,,,,,,Fair Price,
porsche,Porsche Cayenne,Cayenne Platinum Edition,2023,22 800,Automatic,No Rating,R 1 860 000
porsche,Porsche Cayenne,Diesel,2012,145 000,Automatic,Great Price,R 349 950
porsche,Porsche Cayenne,Coupe,2023,24 000,Automatic,No Rating,R 1 990 000
porsche,Porsche Cayenne,GTS,2017,107 000,Automatic,Fair Price,R 749 900
porsche,Porsche Cayenne,S Coupe,2020,115 500,Automatic,Fair Price,R 1 099 900
porsche,Porsche Cayenne,GTS Coupe,2023,19 500,Automatic,Great Price,R 1 999 900
porsche,Porsche 911,Turbo S Cabriolet,2021,17 000,Automatic,No Rating,R 4 699 900
porsche,Porsche 911,Carrera,2020,17 200,Automatic,No Rating,R 2 199 995
porsche,Porsche Cayenne,S,2019,69 500,Automatic,Fair Price,R 1 195 000
porsche,Porsche 911,Turbo S Coupe,2022,29 900,Automatic,No Rating,R 4 495 000
porsche,,,,,,Fair Price,
porsche,,,,,,No Rating,
porsche,,,,,,No Rating,
porsche,Porsche Cayenne,E-Hybrid,2019,100 700,Automatic,No Rating,R 1 050 000
porsche,Porsche 911,Carrera S Cabriolet Auto,2014,66 500,Automatic,No Rating,R 1 349 990
porsche,Porsche 911,Carrera GTS Coupe,2025,950,Automatic,No Rating,R 3 850 000
porsche,Porsche 911,Carrera 4S Cabriolet,2021,19 892,Automatic,No Rating,R 2 650 000
porsche,ined,,unde,,,,
porsche,Porsche 718 Cayman,718 Cayman GT4 RS,2024,3 500,Automatic,No Rating,R 5 299 900
porsche,Porsche 911,Carrera GTS Coupe,2025,2 200,Automatic,No Rating,R 3 725 000
porsche,Porsche Cayenne,Turbo GT,2023,11 900,Automatic,No Rating,R 3 695 000
porsche,Porsche 911,Carrera GTS Coupe Auto,2022,26 500,Automatic,Fair Price,R 2 999 999
porsche,Porsche Macan,Macan,2025,10 200,Automatic,No Rating,R 1 495 000
porsche,Porsche Macan,GTS,2016,109 000,Automatic,Fair Price,R 729 995
porsche,Porsche 911,Carrera S Cabriolet,2020,14 900,Automatic,No Rating,R 2 545 000
porsche,Porsche 911,GT3 Touring Auto,2023,3 600,Automatic,No Rating,R 6 199 950
porsche,Porsche 911,Carrera GTS Cabriolet Auto,2022,16 000,Automatic,No Rating,R 3 299 900
porsche,Porsche Cayenne,Coupe Platinum Edition,2023,5 000,Automatic,No Rating,R 1 995 000
porsche,Porsche Cayenne,GTS Coupe,2020,57 900,Automatic,Fair Price,R 1 695 000
porsche,,,,,,Great Price,
porsche,,,,,,Great Price,
porsche,,,,,,Great Price,
porsche,Porsche Cayman,GTS Auto,2015,13 000,Automatic,Fair Price,R 1 295 950
porsche,Porsche 911,Carrera S Coupe Auto,2017,35 900,Automatic,No Rating,R 1 745 000
porsche,Porsche 911,Carrera Coupe,2025,19 800,Automatic,No Rating,R 2 685 000
porsche,Porsche Cayenne,S,2019,54 800,Automatic,Fair Price,R 1 245 000
porsche,Porsche Cayenne,GTS Coupe,2022,22 500,Automatic,Fair Price,R 2 050 000
porsche,Porsche Cayenne,Turbo GT,2022,45 900,Automatic,No Rating,R 3 255 000
porsche,Porsche Cayman,S Auto,2015,30 602,Automatic,No Rating,R 1 145 000
porsche,Porsche Cayenne,GTS Coupe,2023,18 000,Automatic,Fair Price,R 2 299 900
porsche,Porsche Cayenne,Cayenne,2023,45 000,Automatic,No Rating,R 1 535 000
porsche,Porsche 911,Carrera GTS Coupe Auto,2015,48 000,Automatic,Fair Price,R 1 735 000
porsche,,,,,,High Price,
porsche,,,,,,No Rating,
porsche,,,,,,Fair Price,
porsche,Porsche Cayenne,GTS,2018,88 950,Automatic,Great Price,R 809 900
porsche,Porsche Cayenne,S,2018,112 000,Automatic,Great Price,R 849 000
porsche,Porsche Macan,Macan,2020,77 200,Automatic,High Price,R 965 000
porsche,Porsche Cayenne,S,2019,111 300,Automatic,Fair Price,R 995 000
porsche,Porsche Cayenne,GTS Coupe,2023,26 000,Automatic,Great Price,R 2 099 900
porsche,Porsche Cayenne,Turbo,2020,34 000,Automatic,No Rating,R 1 799 999
porsche,ined,,unde,,,,
porsche,Porsche Cayenne,GTS Coupe,2021,78 000,Automatic,Fair Price,R 1 685 000
porsche,Porsche Macan,S,2019,47 747,Automatic,Great Price,R 1 049 900
