Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Ghost,6.6L,2013,27 000,Automatic,,POA
Rolls-Royce,Rolls-Royce Cullinan,Black Badge Series II,2025,3 500,Automatic,No Rating,R 18 999 999
Rolls-Royce,Rolls-Royce Cullinan,Black Badge Series II,2025,5 000,Automatic,No Rating,R 18 595 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,2013,35 670,Automatic,,POA
Rolls-Royce,Rolls-Royce Phantom,Phantom,2015,17 000,Automatic,No Rating,R 6 499 999
Rolls-Royce,Rolls-Royce Cullinan,Black Badge,2025,200,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,2012,48 500,Automatic,No Rating,R 3 799 999
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,2021,39 000,Automatic,,POA
Rolls-Royce,Rolls-Royce Corniche,Convertible 6.75L V8,1982,70 000,Automatic,No Rating,R 2 500 000
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,2015,20 809,Automatic,,POA
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,2026,300,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,2023,24 000,Automatic,,POA
Rolls-Royce,Rolls-Royce Silver,Shadow II,1979,61 000,Automatic,No Rating,R 579 900
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,2016,17 000,Automatic,No Rating,R 7 999 995
Rolls-Royce,Rolls-Royce Phantom II,7.7 i6,1935,22 778,Manual,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,2014,18 853,Automatic,,POA
Rolls-Royce,Rolls-Royce Wraith,Black Badge,2017,12 100,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,2010,39 000,Automatic,No Rating,R 4 150 000
Rolls-Royce,ined,,unde,,,,
Rolls-Royce,Rolls-Royce Corniche,Convertible 6.75L V8,1983,84 000,Automatic,No Rating,R 1 999 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,2015,57 500,Automatic,No Rating,R 5 190 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,2014,12 000,Automatic,No Rating,R 5 999 999
Rolls-Royce,Rolls-Royce Phantom,Phantom,2006,84 353,Automatic,No Rating,R 3 999 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,2021,23 450,Automatic,No Rating,R 11 999 500
Rolls-Royce,Rolls-Royce Ghost,Extended Wheelbase,2019,41 940,Automatic,No Rating,R 6 999 000
Rolls-Royce,Rolls-Royce Ghost,Black Badge,2023,1 600,Automatic,No Rating,R 12 999 999
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Cullinan,Black Badge Series II,2025,3 500,Automatic,No Rating,R 18 999 999
Rolls-Royce,Rolls-Royce Cullinan,Black Badge Series II,2025,5 000,Automatic,No Rating,R 18 595 000
Rolls-Royce,Rolls-Royce Phantom,Phantom,2015,17 000,Automatic,No Rating,R 6 499 999
Rolls-Royce,Rolls-Royce Cullinan,Black Badge,2025,200,Automatic,,POA
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,2021,39 000,Automatic,,POA
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,2015,20 809,Automatic,,POA
Rolls-Royce,Rolls-Royce Cullinan,6.7 V12,2026,300,Automatic,,POA
Rolls-Royce,Rolls-Royce Ghost,6.6L,2023,24 000,Automatic,,POA
Rolls-Royce,ined,,unde,,,,
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,2016,17 000,Automatic,No Rating,R 7 999 995
Rolls-Royce,Rolls-Royce Wraith,Black Badge,2017,12 100,Automatic,,POA
Rolls-Royce,,,,,,No Rating,
Rolls-Royce,Rolls-Royce Ghost,6.6L,2015,57 500,Automatic,No Rating,R 5 190 000
Rolls-Royce,Rolls-Royce Ghost,6.6L,2021,23 450,Automatic,No Rating,R 11 999 500
Rolls-Royce,Rolls-Royce Ghost,Extended Wheelbase,2019,41 940,Automatic,No Rating,R 6 999 000
Rolls-Royce,Rolls-Royce Ghost,Black Badge,2023,1 600,Automatic,No Rating,R 12 999 999
Rolls-Royce,Rolls-Royce Ghost,6.6L,2016,60 150,Automatic,No Rating,R 4 999 900
Rolls-Royce,Rolls-Royce Cullinan,Black Badge,2022,5 000,Automatic,No Rating,R 15 999 995
Rolls-Royce,Rolls-Royce Ghost,6.6L,2016,58 000,Automatic,No Rating,R 4 999 950
Rolls-Royce,Rolls-Royce Wraith,V12 Coupe,2015,68 000,Automatic,No Rating,R 4 999 990
