Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,High Price,
Suzuki,Suzuki Jimny,1.5 GLX AllGrip,2022,76 137,Manual,Great Price,R 299 500
Suzuki,Suzuki Ciaz,1.5 GLX Manual,2024,47 500,Manual,Great Price,R 229 900
Suzuki,Suzuki Fronx,1.5 GL Manual,2025,12 500,Manual,Great Price,R 269 900
Suzuki,Suzuki Vitara,1.6 GLX Auto,2016,80 000,Automatic,Great Price,R 189 900
Suzuki,Suzuki Fronx,1.5 GL Auto,2024,44 523,Automatic,Great Price,R 279 900
Suzuki,Suzuki S-Presso,1.0 GL,2022,153 009,Manual,Great Price,R 109 900
Suzuki,Suzuki DZire,1.2 GA,2024,42 023,Manual,Great Price,R 178 900
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Auto,2025,7 060,Automatic,Fair Price,R 449 000
Suzuki,Suzuki Vitara Brezza,1.5 GL,2022,69 100,Manual,Great Price,R 204 900
Suzuki,Suzuki Super Carry,1.2,2023,58 900,Manual,Great Price,R 134 900
Suzuki,,,,,,High Price,
Suzuki,,,,,,Great Price,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Fronx,1.5 GL Auto,2024,25 000,Automatic,Great Price,R 269 900
Suzuki,Suzuki Jimny,1.5 GL Allgrip Auto,2022,85 500,Automatic,Great Price,R 289 900
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Swift,1.2 GL Auto,2022,99 122,Automatic,Fair Price,R 189 950
Suzuki,Suzuki Baleno,1.5 GL Manual,2026,15,Manual,Great Price,R 249 900
Suzuki,Suzuki Swift,1.2 GL+ Auto,2026,500,Automatic,Great Price,R 252 900
Suzuki,Suzuki Baleno,1.5 GLX Auto,2026,200,Automatic,Great Price,R 309 900
Suzuki,Suzuki Fronx,1.5 GL Auto,2024,80 167,Automatic,Great Price,R 269 900
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Auto,2025,4 874,Automatic,Fair Price,R 439 990
Suzuki,Suzuki Swift,1.2 GL Auto,2024,61 248,Automatic,Great Price,R 199 900
Suzuki,Suzuki S-Presso,1.0 GL Manual,2022,59 000,Manual,Great Price,R 134 900
Suzuki,Suzuki Grand Vitara,1.5 GLX Manual,2023,34 000,Manual,Great Price,R 299 900
Suzuki,Suzuki Jimny,1.3 Auto,2016,49 803,Automatic,Fair Price,R 229 950
Suzuki,Suzuki Fronx,1.5 GL Manual,2026,1 914,Manual,Great Price,R 279 900
Suzuki,Suzuki S-Presso,1.0 GL+,2020,80 700,Manual,Fair Price,R 129 900
Suzuki,Suzuki S-Presso,1.0 GL+ Auto,2023,28 000,Automatic,Great Price,R 159 900
Suzuki,,,,,,Great Price,
Suzuki,,,,,,Great Price,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Ertiga,1.5 GL,2023,121 000,Manual,Fair Price,R 299 950
Suzuki,Suzuki Fronx,1.5 GL Auto,2026,21 000,Automatic,Great Price,R 299 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,2025,27 176,Manual,Great Price,R 209 000
Suzuki,Suzuki Ertiga,1.5 GL,2025,6 475,Manual,Great Price,R 319 900
Suzuki,Suzuki Fronx,1.5 GL Manual,2025,19 197,Manual,Great Price,R 269 995
Suzuki,Suzuki S-Presso,1.0 GL+ Auto,2021,42 000,Automatic,Great Price,R 139 900
Suzuki,Suzuki Grand Vitara,1.5 GL Auto,2025,14 000,Automatic,Great Price,R 329 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,2025,18 000,Manual,Great Price,R 209 500
Suzuki,Suzuki Swift,1.2 GL,2026,3 001,Manual,Fair Price,R 229 800
Suzuki,Suzuki Swift,1.2 GL,2022,49 876,Manual,Fair Price,R 189 500
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Jimny,1.5 GLX AllGrip Auto,2024,94 700,Automatic,Fair Price,R 339 950
Suzuki,Suzuki Celerio,1.0 GL,2023,125 300,Manual,Fair Price,R 169 950
Suzuki,Suzuki Swift,1.2 GL,2022,57 000,Manual,Fair Price,R 179 900
Suzuki,Suzuki Grand Vitara,1.5 GL Auto,2024,33 000,Automatic,Fair Price,R 299 900
Suzuki,Suzuki Ertiga,1.5 GLX Auto,2021,79 236,Automatic,No Rating,R 309 900
Suzuki,Suzuki Ciaz,1.5 GL Manual,2024,48 296,Manual,Fair Price,R 219 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,212,Manual,No Rating,R 359 900
Suzuki,Suzuki Ciaz,1.5 GL Auto,2024,48 800,Automatic,Fair Price,R 229 900
Suzuki,Suzuki Celerio,1.0 GL Auto,2025,5 622,Automatic,Great Price,R 199 900
Suzuki,Suzuki Eeco,1.2 Panel Van,2026,6 000,Manual,Great Price,R 199 900
Suzuki,Suzuki Ertiga,1.5 GL Manual,2026,101,Manual,No Rating,R 398 888
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Vitara Brezza,1.5 GLX,2021,83 982,Manual,Great Price,R 219 800
Suzuki,Suzuki Baleno,1.5 GL Limited Edition,2026,865,Manual,No Rating,R 269 950
Suzuki,Suzuki S-Presso,1.0 GL Auto,2026,700,Automatic,Great Price,R 184 900
Suzuki,Suzuki Swift,1.2 GA,2023,59 000,Manual,Fair Price,R 179 950
Suzuki,,,,,,Fair Price,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Fronx,1.5 GL Auto,2025,22 000,Automatic,Fair Price,R 299 950
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Auto,2025,9 900,Automatic,Fair Price,R 429 900
Suzuki,Suzuki Baleno,1.5 GLX Manual,2026,Man,Petrol,No Rating,R 289 900
Suzuki,Suzuki Jimny,1.5 GLX AllGrip,2022,77 000,Manual,Fair Price,R 314 900
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Swift,1.2 GL Auto,2021,80 855,Automatic,Great Price,R 169 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,2026,500,Manual,Fair Price,R 234 900
Suzuki,Suzuki Swift,1.2 GL Auto,2023,72 500,Automatic,Fair Price,R 199 900
Suzuki,Suzuki Swift,1.2 GL+ CVT,2025,31 212,Automatic,Fair Price,R 239 000
Suzuki,Suzuki Ciaz,1.5 GLX Manual,2024,35 419,Manual,Fair Price,R 239 000
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Auto,2026,Automa,Petrol,No Rating,R 479 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Grand Vitara,1.5 GLX Auto,2026,Automa,Petrol,No Rating,R 423 900
Suzuki,Suzuki Ciaz,1.5 GL Manual,2024,38 564,Manual,Fair Price,R 213 500
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Auto,2025,14 813,Automatic,Fair Price,R 439 800
Suzuki,Suzuki Jimny,1.5 GLX AllGrip Auto,2024,50 121,Automatic,Fair Price,R 369 900
Suzuki,Suzuki Baleno,1.5 GLX Auto,2025,2 500,Automatic,Great Price,R 289 900
Suzuki,Suzuki Fronx,1.5 GL Auto,2023,43 215,Automatic,Great Price,R 274 990
Suzuki,Suzuki Vitara Brezza,1.5 GL,2021,30 000,Manual,High Price,R 239 900
Suzuki,Suzuki Celerio,1.0 GL Auto,2025,12 350,Automatic,Great Price,R 199 900
Suzuki,Suzuki Grand Vitara,1.5 GLX Auto,2026,101,Automatic,No Rating,R 423 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,2026,4 000,Manual,Great Price,R 229 950
Suzuki,Suzuki Ertiga,1.5 GA,2026,550,Manual,No Rating,R 349 900
Suzuki,Suzuki S-Presso,1.0 GL Manual,2026,1 200,Manual,Fair Price,R 189 950
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Manual,2026,Man,Petrol,No Rating,R 444 900
Suzuki,Suzuki Fronx,1.5 GL Manual,2026,204,Manual,Fair Price,R 299 900
Suzuki,Suzuki S-Presso,1.0 GL+,2021,51 300,Manual,Fair Price,R 139 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Celerio,1.0 GL,2023,40 159,Manual,Fair Price,R 174 950
Suzuki,Suzuki Vitara Brezza,1.5 GLX Auto,2022,47 000,Automatic,Great Price,R 259 700
Suzuki,Suzuki Swift,1.2 GLX,2024,12 300,Manual,Fair Price,R 219 900
Suzuki,Suzuki Fronx,1.5 GLX Auto,2023,40 838,Automatic,Great Price,R 289 900
Suzuki,Suzuki Vitara Brezza,1.5 GLX,2022,58 800,Manual,Fair Price,R 244 800
Suzuki,Suzuki Swift,1.2 GL+ Manual,2026,2 648,Manual,Great Price,R 229 950
Suzuki,Suzuki Swift,1.2 GLX,2022,38 000,Manual,Great Price,R 194 499
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Swift,1.2 GL Auto,2022,34 809,Automatic,Great Price,R 189 800
Suzuki,Suzuki DZire,1.2 GL+ Auto,2026,3 100,Automatic,No Rating,R 239 900
Suzuki,Suzuki DZire,1.2 GL+ Auto,2026,5 400,Automatic,No Rating,R 239 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Ertiga,1.5 GA,2026,200,Manual,No Rating,R 359 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,200,Manual,No Rating,R 359 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,200,Manual,No Rating,R 359 900
Suzuki,Suzuki Fronx,1.5 GLX Auto,2026,3 774,Automatic,Fair Price,R 359 950
Suzuki,Suzuki Ertiga,1.5 GL,2025,10 457,Manual,Great Price,R 319 995
Suzuki,Suzuki Fronx,1.5 GL Auto,2025,15 000,Automatic,Great Price,R 288 995
Suzuki,Suzuki Fronx,1.5 GL Manual,2025,15 000,Manual,Great Price,R 269 995
Suzuki,Suzuki Swift,1.2 GL,2025,23 807,Manual,Great Price,R 204 500
Suzuki,Suzuki Swift,1.2 GL+ Manual,2026,10 000,Manual,Great Price,R 219 900
Suzuki,Suzuki Across,1.5 GL Auto,2026,Automa,Petrol,No Rating,R 372 900
Suzuki,Suzuki S-Presso,1.0 GL+ Auto,2026,101,Automatic,Great Price,R 185 900
Suzuki,Suzuki Fronx,1.5 GLX Auto,2026,5,Automatic,Fair Price,R 349 900
Suzuki,Suzuki Fronx,1.5 GLX Manual,2026,3 700,Manual,Fair Price,R 329 900
Suzuki,Suzuki Across,1.5 GL Auto,2026,Automa,Petrol,No Rating,R 372 900
Suzuki,Suzuki Super Carry,1.2,2025,20 600,Manual,Fair Price,R 169 900
Suzuki,,,,,,Fair Price,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Ertiga,1.5 GL Auto,2026,100,Automatic,No Rating,R 366 900
Suzuki,Suzuki DZire,1.2 GA,2022,76 840,Manual,Fair Price,R 159 900
Suzuki,Suzuki Ertiga,1.5 GA,2025,18 181,Manual,No Rating,R 299 900
Suzuki,Suzuki Jimny,1.5 GLX AllGrip,2022,45 338,Manual,Great Price,R 319 900
Suzuki,Suzuki Celerio,1.0 GA,2025,23 200,Manual,No Rating,R 169 900
Suzuki,Suzuki Fronx,1.5 GL Auto,2024,44 500,Automatic,Fair Price,R 289 900
Suzuki,Suzuki Vitara Brezza,1.5 GL Auto,2022,55 000,Automatic,Great Price,R 219 995
Suzuki,Suzuki Fronx,1.5 GL Auto,2024,52 645,Automatic,Fair Price,R 279 900
Suzuki,Suzuki Swift,1.2 GLX Manual,2026,550,Manual,Fair Price,R 273 800
Suzuki,Suzuki Ertiga,1.5 GA,2026,151,Manual,No Rating,R 354 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Fronx,1.5 GLX Manual,2026,10 000,Manual,Great Price,R 309 900
Suzuki,Suzuki Swift,1.2 GLX Auto,2024,44 700,Automatic,Great Price,R 219 900
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Baleno,1.5 GL Auto,2022,59 465,Automatic,Fair Price,R 229 900
Suzuki,Suzuki Grand Vitara,1.5 GLX Auto,2024,3 060,Automatic,Great Price,R 369 900
Suzuki,Suzuki Across,1.5 GL Auto,2026,101,Automatic,No Rating,R 372 900
Suzuki,Suzuki Across,1.5 GL Manual,2026,6 000,Manual,No Rating,R 329 900
Suzuki,Suzuki Ertiga,1.5 GA,2024,73 000,Manual,High Price,R 329 950
Suzuki,Suzuki Swift,1.2 GA,2024,33 838,Manual,Fair Price,R 199 900
Suzuki,Suzuki Swift,1.2 GL+ CVT,2025,23 899,Automatic,Fair Price,R 239 900
Suzuki,Suzuki Jimny,1.5 GLX AllGrip Auto,2021,96 800,Automatic,Fair Price,R 319 900
Suzuki,Suzuki Swift,1.2 GL+ Manual,2026,5 000,Manual,Fair Price,R 234 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,100,Manual,No Rating,R 364 950
Suzuki,Suzuki S-Presso,1.0 GL,2021,235 678,Manual,Fair Price,R 89 000
Suzuki,Suzuki Swift,1.2 GL+ Manual,2025,24 436,Manual,Great Price,R 209 900
Suzuki,Suzuki Swift,1.2 GL,2025,25 062,Manual,Fair Price,R 214 900
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Swift,1.2 GL+ CVT,2025,27 807,Automatic,Fair Price,R 229 500
Suzuki,Suzuki Across,1.5 GL Auto,2026,Automa,Petrol,No Rating,R 372 900
Suzuki,Suzuki Vitara Brezza,1.5 GL,2022,70 530,Manual,Fair Price,R 229 900
Suzuki,Suzuki Baleno,1.5 GL Manual,2022,51 700,Manual,High Price,R 229 950
Suzuki,Suzuki Swift,1.2 GL Auto,2021,77 000,Automatic,Fair Price,R 199 899
Suzuki,Suzuki Grand Vitara,1.5 GL Auto,2026,9 563,Automatic,No Rating,R 339 800
Suzuki,Suzuki Swift,1.2 GL+ Auto,2026,650,Automatic,High Price,R 284 950
Suzuki,Suzuki Swift,1.2 GL+ CVT,2025,45 340,Automatic,Fair Price,R 239 901
Suzuki,Suzuki S-Presso,1.0 GL+,2026,8 500,Manual,Fair Price,R 184 500
Suzuki,Suzuki Ertiga,1.5 GA,2026,400,Manual,No Rating,R 364 950
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Ertiga,1.5 GA,2026,100,Manual,No Rating,R 364 950
Suzuki,Suzuki Swift,1.2 GLX Auto,2026,3 500,Automatic,Great Price,R 259 890
Suzuki,Suzuki Swift,1.2 GLX Auto,2026,3 500,Automatic,Great Price,R 259 890
Suzuki,Suzuki S-Presso,1.0 GL Auto,2026,1 000,Automatic,High Price,R 199 950
Suzuki,Suzuki Swift,1.2 GL+ Auto,2026,150,Automatic,High Price,R 284 950
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Ciaz,1.5 GL Manual,2024,43 000,Manual,Fair Price,R 214 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,10,Manual,No Rating,R 359 900
Suzuki,Suzuki Fronx,1.5 GLX Manual,2026,1 500,Manual,Great Price,R 319 990
Suzuki,Suzuki Celerio,1.0 GL Auto,2026,14 000,Automatic,Great Price,R 209 500
Suzuki,Suzuki Fronx,1.5 GL Manual,2026,101,Manual,Great Price,R 284 389
Suzuki,Suzuki Fronx,1.5 GLX Manual,2026,101,Manual,Great Price,R 323 847
Suzuki,Suzuki Fronx,1.5 GL Manual,2026,101,Manual,Great Price,R 284 359
Suzuki,Suzuki Grand Vitara,1.5 GLX Auto,2023,63 000,Automatic,Great Price,R 319 800
Suzuki,Suzuki Swift,1.2 GL,2025,29 402,Manual,Fair Price,R 209 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,300,Manual,No Rating,R 399 950
Suzuki,,,,,,No Rating,
Suzuki,,,,,,Fair Price,
Suzuki,,,,,,Fair Price,
Suzuki,Suzuki Fronx,1.5 GL Manual,2026,101,Manual,Great Price,R 284 359
Suzuki,Suzuki Grand Vitara,1.5 GLX Auto,2023,63 000,Automatic,Great Price,R 319 800
Suzuki,Suzuki Swift,1.2 GL,2025,29 402,Manual,Fair Price,R 209 900
Suzuki,Suzuki Ertiga,1.5 GA,2026,300,Manual,No Rating,R 399 950
Suzuki,Suzuki Vitara Brezza,1.5 GLX,2022,81 000,Manual,Fair Price,R 239 900
Suzuki,Suzuki DZire,1.2 GA,2024,43 263,Manual,Great Price,R 178 900
Suzuki,Suzuki DZire,1.2 GA,2024,43 168,Manual,Great Price,R 178 900
Suzuki,Suzuki S-Presso,1.0 GL Manual,2023,40 847,Manual,Great Price,R 143 900
Suzuki,Suzuki Swift,1.2 GL,2023,45 000,Manual,Fair Price,R 199 900
Suzuki,Suzuki DZire,1.2 GA,2026,300,Manual,No Rating,R 249 950
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,,,,,,No Rating,
Suzuki,Suzuki Fronx,1.5 GL Auto,2023,48 000,Automatic,Fair Price,R 289 899
Suzuki,ined,,unde,,,,
Suzuki,Suzuki Swift,1.2 GL,2020,79 000,Manual,Fair Price,R 174 899
Suzuki,Suzuki Swift,Hatch 1.2 GL,2017,52 000,Manual,Fair Price,R 149 899
Suzuki,Suzuki Jimny,1.5 GLX Allgrip 5-door Auto,2024,31 189,Automatic,Great Price,R 379 500
Suzuki,Suzuki XL6,1.5 GL Auto,2026,2 600,Automatic,No Rating,R 339 800
Suzuki,Suzuki Fronx,1.5 GL Auto,2025,41 342,Automatic,Low Price,R 269 499
