Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Toyota,,,,,,No Rating,
Toyota,,,,,,Fair Price,
Toyota,,,,,,Fair Price,
Toyota,Toyota Starlet,1.5 Xi,2026,8 900,Manual,Great Price,R 249 000
Toyota,Toyota Starlet,1.5 XS Manual,2026,13 000,Manual,Great Price,R 249 000
Toyota,Toyota Corolla Cross,1.8 XR,2026,11 000,Automatic,Great Price,R 419 000
Toyota,Toyota Starlet,1.5 Xi,2026,8 944,Manual,Great Price,R 249 000
Toyota,Toyota Corolla Cross,1.8 HEV XR,2025,16 860,Automatic,Great Price,R 460 000
Toyota,Toyota Land Cruiser 300,3.3D ZX,2022,80 000,Automatic,Fair Price,R 1 629 995
Toyota,Toyota Fortuner,2.4GD-6 4x4,2024,63 800,Automatic,Great Price,R 569 900
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider,2021,140 500,Manual,Fair Price,R 469 900
Toyota,Toyota Corolla Cross,1.8 XR,2024,14 500,Automatic,Great Price,R 384 995
Toyota,ined,,unde,,,,
Toyota,Toyota Land Cruiser Prado,3.0DT VX,2019,68 097,Automatic,Great Price,R 799 800
Toyota,,,,,,No Rating,
Toyota,,,,,,No Rating,
Toyota,,,,,,No Rating,
Toyota,Toyota Land Cruiser Prado,2.8GD VX-L,2023,76 888,Automatic,Great Price,R 969 950
Toyota,Toyota C-HR,1.2T Luxury,2020,68 000,Automatic,Great Price,R 319 900
Toyota,Toyota Land Cruiser 200,4.5D-4D V8 VX-R,2021,175 000,Automatic,Fair Price,R 1 399 950
Toyota,Toyota Fortuner,2.4GD-6 4x4,2025,46 183,Automatic,Great Price,R 609 900
Toyota,Toyota Corolla Quest,1.8 Plus Auto,2024,40 800,Automatic,Great Price,R 259 900
Toyota,Toyota Fortuner,2.8GD-6 4x4 GR-Sport,2025,8 410,Automatic,Fair Price,R 879 000
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 Raider,2022,196 000,Manual,Great Price,R 429 000
Toyota,Toyota HiAce,2.5D-4D Ses-Fikile 16-seater,2025,34 000,Manual,Great Price,R 499 950
Toyota,Toyota Hilux,2.4GD-6 Xtra Cab Raider Auto,2021,179 000,Automatic,Great Price,R 379 990
Toyota,Toyota Hilux,2.4GD-6 Single Cab 4x4 SR,2023,234 500,Manual,Great Price,R 359 900
Toyota,Toyota Corolla Quest,1.8 Plus Auto,2024,46 776,Automatic,Great Price,R 254 900
Toyota,Toyota Fortuner,2.4GD-6 4x4,2025,55 093,Automatic,Great Price,R 579 800
Toyota,Toyota Starlet,1.5 XS Auto,2025,17 262,Automatic,Great Price,R 259 995
Toyota,Toyota Starlet,1.5 XS Auto,2025,23 547,Automatic,Great Price,R 259 995
Toyota,Toyota Yaris,1.5 XS,2018,141 000,Manual,Great Price,R 159 999
Toyota,,,,,,Fair Price,
Toyota,,,,,,No Rating,
Toyota,,,,,,Fair Price,
Toyota,Toyota Land Cruiser Prado,2.8GD TX,2026,6 000,Automatic,Great Price,R 1 279 800
Toyota,Toyota Urban Cruiser,1.5 XR Auto,2026,3 362,Automatic,Great Price,R 339 800
Toyota,Toyota Hilux,2.8GD-6 Double Cab 4x4 Legend Auto,2024,85 693,Automatic,Great Price,R 709 900
Toyota,Toyota Hilux,2.4GD-6 Double Cab 4x4 SR,2024,97 100,Manual,No Rating,R 459 000
Toyota,Toyota Corolla Cross,1.8 XR,2024,34 000,Automatic,Fair Price,R 399 900
Toyota,Toyota Starlet,1.5 XR Manual,2026,11 258,Manual,Great Price,R 279 800
Toyota,Toyota Hilux,2.4GD S (Aircon),2022,130 000,Manual,Fair Price,R 299 900
Toyota,Toyota Fortuner,2.4GD-6 Auto,2019,123 500,Automatic,Great Price,R 399 995
Toyota,Toyota C-HR,1.2T Plus Auto,2020,86 000,Automatic,Great Price,R 289 900
Toyota,Toyota Hilux,2.4GD-6 Single Cab SR,2025,2 500,Manual,Great Price,R 419 995
Toyota,,,,,,No Rating,
Toyota,,,,,,High Price,
Toyota,,,,,,Fair Price,
Toyota,Toyota Fortuner,2.8GD-6 VX,2025,30 200,Automatic,Fair Price,R 729 900
Toyota,Toyota Hilux,2.8GD-6 Xtra Cab Legend Auto,2024,58 800,Automatic,Great Price,R 589 950
Toyota,Toyota Fortuner,2.8GD-6 48v 4x4,2024,28 929,Automatic,Great Price,R 669 900
Toyota,Toyota Urban Cruiser,1.5 XR Manual,2024,32 300,Manual,Great Price,R 289 900
Toyota,Toyota Starlet,1.5 Xi,2025,1,Manual,Great Price,R 229 900
Toyota,Toyota RAV4,2.0 VX,2020,57 700,Automatic,Great Price,R 419 900
Toyota,Toyota Land Cruiser 200,4.5D-4D V8 VX-R,2020,129 937,Automatic,Great Price,R 1 229 900
Toyota,ined,,unde,,,,
Toyota,Toyota Corolla Cross,1.8 XS,2025,33 199,Automatic,Great Price,R 369 499
Toyota,Toyota RAV4,2.0 GX Auto,2017,83 200,Automatic,Fair Price,R 289 900
Toyota,Toyota Land Cruiser 300,3.5T GR-Sport,2024,52 500,Automatic,Great Price,R 1 649 900
Toyota,Toyota Corolla Cross,1.8 Xi,2022,57 668,Automatic,Great Price,R 269 900
Toyota,Toyota Urban Cruiser,1.5 XR Auto,2026,35,Automatic,Great Price,R 359 900
