Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,Great Price,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI Trendline,2020,120 000,Automatic,Great Price,R 309 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,2024,58 000,Manual,Great Price,R 209 900
Volkswagen,Volkswagen Tiguan,2.0TDI 4Motion Comfortline,2020,155 100,Automatic,Great Price,R 349 900
Volkswagen,Volkswagen Amarok,2.0BiTDI Double Cab Highline,2013,253 000,Manual,Great Price,R 189 900
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI 110kW,2024,51 500,Automatic,Great Price,R 409 900
Volkswagen,Volkswagen T-Roc,2.0TSI 140kW 4Motion R-Line,2021,70 000,Automatic,Great Price,R 414 900
Volkswagen,Volkswagen Touareg,V6 TDI Executive R-Line,2023,49 500,Automatic,Great Price,R 1 059 995
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,2025,9 425,Automatic,Great Price,R 345 999
Volkswagen,Volkswagen Tiguan,2.0TDI 4Motion Highline R-Line,2020,83 000,Automatic,Fair Price,R 509 000
Volkswagen,Volkswagen Amarok,3.0TDI V6 Double Cab Style 4Motion,2024,24 290,Automatic,Great Price,R 779 900
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI 110kW R-Line,2025,17 000,Automatic,Great Price,R 649 900
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Comfortline R-Line,2023,123 000,Automatic,Great Price,R 284 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI 70kW,2024,9 000,Manual,Great Price,R 289 000
Volkswagen,Volkswagen T-Roc,2.0TSI 140kW 4Motion R-Line,2023,47 701,Automatic,Great Price,R 489 900
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Life,2025,8 300,Manual,Great Price,R 239 900
Volkswagen,Volkswagen T-Cross,1.0TSI R-Line,2026,5 150,Automatic,Great Price,R 469 000
Volkswagen,Volkswagen Tiguan,1.4TSI Life,2026,15 000,Automatic,Great Price,R 599 900
Volkswagen,Volkswagen Polo,Hatch 1.0TSI,2025,19 000,Manual,Great Price,R 289 950
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4,2026,200,Manual,Great Price,R 259 800
Volkswagen,ined,,unde,,,,
Volkswagen,Volkswagen Golf,R,2025,25 409,Automatic,Great Price,R 927 000
Volkswagen,Volkswagen Polo Vivo,Hatch 1.4 Life,2026,5 000,Manual,No Rating,R 289 900
Volkswagen,Volkswagen Polo Vivo,1.6 Style,2025,6 552,Manual,Great Price,R 245 500
Volkswagen,Volkswagen T-Cross,1.0TSI Life DSG 85kW,2026,6 083,Automatic,Great Price,R 369 500
Volkswagen,Volkswagen T-Cross,1.0TSI Auto,2025,5 900,Automatic,Great Price,R 360 000
Volkswagen,Volkswagen T-Cross,1.0TSI 85kW Highline,2020,42 500,Automatic,Fair Price,R 309 995
Volkswagen,,,,,,Fair Price,
Volkswagen,,,,,,No Rating,
Volkswagen,,,,,,No Rating,
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI Trendline,2018,105 691,Automatic,Great Price,R 269 900
Volkswagen,Volkswagen Tiguan Allspace,1.4TSI 110kW Life,2023,93 000,Automatic,Fair Price,R 429 900
