Brand,Model,Variant,Year,Milage,Manual_Automatic,Price_rating,Price
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,Volvo V40,D3 Inscription,2017,193 500,Automatic,No Rating,R 179 900
Volvo,Volvo XC40,B4 Plus Bright,2023,43 601,Automatic,No Rating,R 499 900
Volvo,Volvo S60,Polestar,2017,79 700,Automatic,Fair Price,R 425 995
Volvo,Volvo XC60,D4 Momentum,2017,114 000,Automatic,No Rating,R 289 995
Volvo,Volvo XC40,D4 AWD R-Design,2018,129 000,Automatic,Fair Price,R 379 950
Volvo,Volvo XC60,D4 Inscription,2018,105 065,Automatic,Fair Price,R 289 995
Volvo,Volvo XC90,D5 AWD Inscription,2017,98 000,Automatic,Fair Price,R 449 900
Volvo,Volvo V40,D2 Kinetic,2018,93 000,Manual,No Rating,R 219 900
Volvo,Volvo S60,D4 Momentum,2017,126 200,Automatic,No Rating,R 209 995
Volvo,Volvo XC60,T6 AWD Inscription,2019,97 000,Automatic,No Rating,R 339 000
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,Volvo XC40,P6 Recharge Plus,2023,30 000,Automatic,No Rating,R 619 900
Volvo,Volvo V40,D3 Momentum,2019,75 000,Automatic,Great Price,R 269 899
Volvo,Volvo XC40,B4 Plus Dark,2024,31 154,Automatic,Great Price,R 629 900
Volvo,Volvo S90,D5 AWD Inscription,2021,61 000,Automatic,No Rating,R 439 900
Volvo,Volvo XC90,T8 Twin Engine AWD Inscription,2019,41 800,Automatic,No Rating,R 730 000
Volvo,Volvo EX30,Single Motor Extended Range Ultra,2026,1 000,Automatic,No Rating,R 929 900
Volvo,Volvo S60,T3 Essential,2014,157 000,Manual,No Rating,R 79 900
Volvo,Volvo XC40,T3 Inscription,2021,41 500,Automatic,No Rating,R 439 900
Volvo,Volvo XC40,T4 R-Design,2022,49 900,Automatic,No Rating,R 488 500
Volvo,ined,,unde,,,,
Volvo,Volvo C30,T5 R-Design Auto,2011,159 000,Automatic,No Rating,R 125 000
Volvo,Volvo XC90,B6 AWD Inscription,2022,77 000,Automatic,No Rating,R 719 950
Volvo,Volvo XC40,Recharge Twin Motor Ultimate,2025,17 000,Automatic,No Rating,R 1 029 000
Volvo,Volvo XC60,D4 AWD Momentum,2020,150 000,Automatic,Low Price,R 349 990
Volvo,Volvo XC60,D4 Elite Auto,2014,181 000,Automatic,No Rating,R 209 900
Volvo,Volvo XC90,D5 AWD Inscription,2018,226 600,Automatic,Great Price,R 295 000
Volvo,,,,,,Fair Price,
Volvo,,,,,,No Rating,
Volvo,,,,,,No Rating,
Volvo,Volvo XC60,B5 AWD Plus Dark,2025,32 500,Automatic,High Price,R 879 900
Volvo,Volvo XC60,B5 AWD Plus Dark,2025,29 000,Automatic,High Price,R 879 900
Volvo,Volvo XC60,T5 AWD Momentum,2021,69 152,Automatic,No Rating,R 499 900
Volvo,Volvo XC40,D4 AWD Momentum,2021,81 968,Automatic,No Rating,R 419 900
Volvo,Volvo EX30,Cross Country Ultra Twin Motor Performance,2026,3 000,Automatic,No Rating,R 1 129 900
Volvo,Volvo XC60,B5 AWD Plus Dark,2025,27 500,Automatic,High Price,R 879 900
Volvo,Volvo XC60,B5 P Geartronic AWD Plus Bright,2024,34 000,Manual,No Rating,R 759 950
Volvo,Volvo XC40,B3 Essential,2026,500,Automatic,No Rating,R 759 900
Volvo,Volvo XC40,B3 Essential,2026,800,Automatic,No Rating,R 769 900
Volvo,Volvo XC60,B5 AWD Plus Dark,2025,28 000,Automatic,High Price,R 879 900
Volvo,,,,,,High Price,
Volvo,,,,,,High Price,
Volvo,,,,,,No Rating,
Volvo,ined,,unde,,,,
Volvo,Volvo EX30,Ultra Twin Motor Performance,2024,47 000,Automatic,High Price,R 789 950
Volvo,Volvo XC40,Recharge Twin Motor Ultimate,2024,12 000,Automatic,No Rating,R 829 950
Volvo,Volvo XC60,T5 Inscription,2015,125 000,Automatic,No Rating,R 219 950
Volvo,Volvo XC90,D5 AWD R-Design,2018,80 000,Automatic,Fair Price,R 549 950
